asset,status,side,monitor_action,observations,first_seen_at,last_seen_at,mean_score,max_score,min_score,mean_return_24h,mean_annualized_funding,mean_mark_oracle_diff,mean_premium,mean_oi_volume_ratio,mean_impact_spread
VIRTUAL,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,8,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,13.56700339,13.74199872,13.39271375,0.06064093,-0.11467475,-0.000846465126,-0.000837765300,3.25939100,0.000810700232
IMX,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,7,2026-06-07T23:45:01.568536+00:00,2026-06-07T23:49:54.677760+00:00,13.60515292,13.84242116,13.23076878,0.07708527,0.10950000,0.000147345229,0.000000000000,2.36905347,0.004179233959
BNB,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,13.47891041,13.54964561,13.41671738,0.05297992,0.10950000,0.000063382352,-0.000138104533,3.56687060,0.000251325771
CFX,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,13.42865397,13.55906165,13.35044468,0.05363368,0.50990675,0.002505736870,0.000257136217,4.26005311,0.002836932970
SOL,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,13.34990428,13.49341374,13.21221389,0.06940935,-0.08360967,-0.000493918411,-0.000888173100,0.68418039,0.000110365553
AERO,paper_mark_oracle_reversion_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,13.10165283,13.17800822,12.95226542,0.05715725,-0.57598810,-0.002129131806,-0.001740596000,9.79481986,0.001285831524
ONDO,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.93892147,13.23868639,12.76570742,0.07365608,0.10950000,-0.000640818205,-0.000580953167,0.59818619,0.000916852284
BCH,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.90810759,13.01482756,12.79267460,0.05661604,0.10950000,-0.000701573950,-0.000726173000,2.94922986,0.000789301554
ZEN,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.76777793,12.90346270,12.69103899,0.09369298,-0.42145163,-0.001727525955,-0.001687451000,0.96983900,0.001537661385
ATOM,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.76613170,12.85875663,12.63395955,0.05133723,0.10950000,-0.001459820241,-0.001002461783,6.46933523,0.002028226282
ETH,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.67492302,12.78790590,12.56102279,0.07577595,0.07663292,-0.000375585423,-0.000718593967,1.29629992,0.000119597091
RUNE,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.61591181,12.70798197,12.50209080,0.07688837,0.10950000,-0.001351592263,-0.000476504933,3.66958921,0.003577095451
POPCAT,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.60488444,12.67509208,12.55969690,0.05924126,-0.41493857,-0.001442603481,-0.001282030450,2.73538807,0.001864210203
STABLE,paper_mark_oracle_reversion_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.59332377,12.83992513,12.28275843,0.00168206,-5.45576873,-0.006428342139,-0.005461659667,2.44803179,0.002534640321
SEI,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.57662414,12.65785031,12.50255215,0.05543018,-0.31757321,-0.001332932253,-0.001393550700,2.97189954,0.001241253623
XRP,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.49053680,12.58528841,12.38791192,0.05876078,-0.02197723,-0.000575370077,-0.000924396950,1.60883688,0.000140515430
STRK,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.43677141,12.50976323,12.37428602,0.07028939,-0.16271788,-0.000985611024,-0.000936563867,3.42243016,0.001332735621
FIL,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.29592078,12.38616283,12.11582043,0.05494366,0.06838479,-0.001221072460,-0.000865973583,3.04534452,0.001618398695
TRUMP,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.20695692,12.28933629,12.08442359,0.05489376,-0.53819425,-0.001649083412,-0.001846162233,4.33326805,0.000644093093
kLUNC,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.10757849,12.30791161,11.84810166,0.07034254,-0.11751818,-0.001553925429,-0.001588517050,0.98691898,0.001558103240
NXPC,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.03452474,12.25676003,11.86713118,0.06657520,0.10950000,-0.001551353538,-0.000685997650,1.89333172,0.003025756116
kPEPE,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,12.01949873,12.21848665,11.76292973,0.05165546,0.10950000,-0.000295739296,-0.000650685383,2.55809256,0.000651568520
DOGE,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,11.98682611,12.06712191,11.88126951,0.05388007,0.09252969,-0.000476908561,-0.000621789850,1.93810138,0.000195147261
SPX,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,11.89560320,12.08254924,11.65156361,0.07282530,-0.50295803,-0.002472523848,-0.001976363150,2.16532968,0.001856714504
XPL,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,11.83655991,12.08895223,11.65425935,0.05620588,0.10950000,-0.000714294971,-0.000860597217,1.87050089,0.001341793626
FET,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,11.78315826,11.89631972,11.68976810,0.07060661,0.10950000,0.000257399444,-0.000247462917,2.40513955,0.001398544674
VIRTUAL,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,6,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:54.677760+00:00,11.58008230,11.68069891,11.47222529,0.06121707,-0.10913062,-0.000851761188,-0.000955501783,3.26077795,0.000844256961
IMX,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,5,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:49.318109+00:00,11.64229653,11.76605798,11.43699442,0.07754325,0.10950000,0.000162051842,0.000000000000,2.36968544,0.004035321518
INJ,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,5,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:49.318109+00:00,11.56357009,11.73436179,11.42208913,0.05360188,0.08194244,-0.001016452681,-0.000568994280,2.20596716,0.001377785714
CRV,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,3,2026-06-07T23:49:38.317169+00:00,2026-06-07T23:49:54.677760+00:00,11.42239427,11.48816901,11.35705974,0.05130534,0.10950000,-0.000423312708,-0.001083804400,2.10079501,0.000644363687
kBONK,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,2,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:32.814831+00:00,11.76824416,11.80991672,11.72657161,0.05018894,0.10950000,-0.000112435350,-0.000337306050,2.87281179,0.001125163271
ADA,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,2,2026-06-07T23:49:32.814831+00:00,2026-06-07T23:49:38.317169+00:00,11.51572165,11.55721917,11.47422414,0.05551312,0.02190701,-0.000903886795,-0.001181071500,1.35542250,0.000389213483
CFX,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,2,2026-06-07T23:49:49.318109+00:00,2026-06-07T23:49:54.677760+00:00,11.47083744,11.52520241,11.41647247,0.05297529,0.50811811,0.002478260870,0.000315217400,4.25692310,0.002235580167
BNB,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,2,2026-06-07T23:49:43.812558+00:00,2026-06-07T23:49:54.677760+00:00,11.43225502,11.44527329,11.41923675,0.05260272,0.10950000,0.000074434301,-0.000306875350,3.56538600,0.000181172981
PENDLE,paper_mark_oracle_reversion_candidate,long_perp,first_seen_label_candidate,1,2026-06-07T23:49:43.812558+00:00,2026-06-07T23:49:43.812558+00:00,11.63260005,11.63260005,11.63260005,0.04194025,0.10950000,-0.001572945340,-0.001322060600,6.89757641,0.000682999842
TIA,paper_crowded_momentum_continuation_candidate,long_perp,first_seen_label_candidate,1,2026-06-07T23:49:27.324781+00:00,2026-06-07T23:49:27.324781+00:00,11.61216883,11.61216883,11.61216883,0.05482856,0.10950000,-0.001254705144,-0.000941028900,2.25149524,0.001225259189
MET,paper_mark_oracle_reversion_candidate,long_perp,first_seen_label_candidate,1,2026-06-07T23:49:54.677760+00:00,2026-06-07T23:49:54.677760+00:00,11.45508691,11.45508691,11.45508691,0.01167343,0.08755445,-0.001700201207,-0.001458752500,7.38972885,0.002330014827
