asset,status,side,queue_action,priority_score,observations,mean_score,last_outcome_15m,last_net_15m_bps,last_outcome_1h,last_net_1h_bps,execution_gate,conservative_net_15m_bps,reason,next_step
AERO,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,27.24998077,9,15.24998077,paper_15m_loss,-20.73652919,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for AERO 1h label, then rerun execution check if still visible"
ATOM,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,27.00916374,9,15.00916374,paper_15m_loss,-29.94107023,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for ATOM 1h label, then rerun execution check if still visible"
ZEN,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,26.90774843,9,14.90774843,paper_15m_loss,-63.21219018,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for ZEN 1h label, then rerun execution check if still visible"
ETH,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,26.86428690,9,14.86428690,paper_15m_loss,-12.98536585,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for ETH 1h label, then rerun execution check if still visible"
RUNE,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,26.69738999,9,14.69738999,paper_15m_loss,-29.51999016,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for RUNE 1h label, then rerun execution check if still visible"
NEAR,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,26.67293546,9,14.67293546,paper_15m_loss,-46.26575830,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for NEAR 1h label, then rerun execution check if still visible"
STRK,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,26.60087043,9,14.60087043,paper_15m_loss,-33.63450426,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for STRK 1h label, then rerun execution check if still visible"
PENGU,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,26.53153663,9,14.53153663,paper_15m_loss,-24.31502726,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for PENGU 1h label, then rerun execution check if still visible"
FARTCOIN,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,26.35931271,9,14.35931271,paper_15m_loss,-27.36612534,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for FARTCOIN 1h label, then rerun execution check if still visible"
TRUMP,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,26.21551141,9,14.21551141,paper_15m_loss,-34.96870372,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for TRUMP 1h label, then rerun execution check if still visible"
DYDX,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,26.10330907,9,14.10330907,paper_15m_loss,-88.23425040,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for DYDX 1h label, then rerun execution check if still visible"
MON,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,25.95496729,9,13.95496729,paper_15m_loss,-78.35274056,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for MON 1h label, then rerun execution check if still visible"
PUMP,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,25.89612125,9,13.89612125,paper_15m_loss,-23.14316411,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for PUMP 1h label, then rerun execution check if still visible"
SPX,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,25.87536542,9,13.87536542,paper_15m_loss,-38.86728317,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for SPX 1h label, then rerun execution check if still visible"
FET,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,25.79770884,9,13.79770884,paper_15m_loss,-8.89492239,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for FET 1h label, then rerun execution check if still visible"
BIO,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,25.72597568,9,13.72597568,paper_15m_loss,-9.27911853,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for BIO 1h label, then rerun execution check if still visible"
IMX,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,25.60515292,7,13.60515292,paper_15m_loss,-41.87315202,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for IMX 1h label, then rerun execution check if still visible"
VIRTUAL,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,25.56700339,8,13.56700339,paper_15m_loss,-41.06022675,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for VIRTUAL 1h label, then rerun execution check if still visible"
BNB,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,25.47891041,6,13.47891041,paper_15m_loss,-31.32202573,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for BNB 1h label, then rerun execution check if still visible"
CFX,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,25.42865397,6,13.42865397,paper_15m_loss,-40.47597828,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for CFX 1h label, then rerun execution check if still visible"
PURR,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,25.41641724,9,13.41641724,paper_15m_loss,-104.35813564,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for PURR 1h label, then rerun execution check if still visible"
SOL,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,25.34990428,6,13.34990428,paper_15m_loss,-26.61091143,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for SOL 1h label, then rerun execution check if still visible"
AERO,paper_mark_oracle_reversion_candidate,long_perp,monitor_conflict_relabel,25.10165283,6,13.10165283,paper_15m_loss,-29.51858047,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for AERO 1h label, then rerun execution check if still visible"
BCH,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,24.90810759,6,12.90810759,paper_15m_loss,-27.90673319,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for BCH 1h label, then rerun execution check if still visible"
ATOM,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,24.76613170,6,12.76613170,paper_15m_loss,-29.87857023,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for ATOM 1h label, then rerun execution check if still visible"
ETH,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,24.67492302,6,12.67492302,paper_15m_loss,-10.58255851,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for ETH 1h label, then rerun execution check if still visible"
RUNE,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,24.61591181,6,12.61591181,paper_15m_loss,-30.61845840,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for RUNE 1h label, then rerun execution check if still visible"
POPCAT,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,24.60488444,6,12.60488444,paper_15m_loss,-46.89422740,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for POPCAT 1h label, then rerun execution check if still visible"
STABLE,paper_mark_oracle_reversion_candidate,long_perp,monitor_conflict_relabel,24.59332377,6,12.59332377,paper_15m_loss,-39.27415635,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for STABLE 1h label, then rerun execution check if still visible"
SEI,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,24.57662414,6,12.57662414,paper_15m_loss,-32.91851702,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for SEI 1h label, then rerun execution check if still visible"
XPL,paper_crowded_momentum_continuation_candidate,long_perp,repeat_forward_label_priority,24.49506315,6,11.83655991,paper_15m_win,6.58503245,pending_1h,,,,repeated monitor candidate has a positive prior paper label,"wait for XPL 1h label, then rerun execution check if still visible"
XRP,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,24.49053680,6,12.49053680,paper_15m_loss,-31.51089742,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for XRP 1h label, then rerun execution check if still visible"
STRK,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,24.43677141,6,12.43677141,paper_15m_loss,-10.06217820,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for STRK 1h label, then rerun execution check if still visible"
FIL,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,24.29592078,6,12.29592078,paper_15m_loss,-47.81519228,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for FIL 1h label, then rerun execution check if still visible"
