asset,action,annualized_funding,mark_oracle_diff,premium,open_interest,open_interest_notional,day_notional_volume,oi_volume_ratio,impact_spread,carry_reversion_score,reason
ETC,long_carry_reversion_watch,-0.12410818,-0.001203880745,-0.000977267900,182470.46000000,1286781.68392000,167930.12126800,7.66260200,0.001404235401,8.31547944,long perp receives funding and mark is below oracle
UMA,long_carry_reversion_watch,-0.80624324,-0.002166536152,-0.001435656500,438071.00000000,167461.40117000,42145.81928000,3.97338109,0.002040762931,7.75052687,long perp receives funding and mark is below oracle
VINE,short_carry_reversion_watch,0.10950000,0.003079794680,0.000000000000,36640222.00000000,393809.10605600,51824.66834800,7.59887364,0.006981290142,7.72496584,short perp receives funding and mark is above oracle
TRUMP,long_carry_reversion_watch,-0.42029954,-0.001088599940,-0.000840641100,3525251.40000000,5822657.73738000,1194638.44084000,4.87399161,0.000720513442,7.48607599,long perp receives funding and mark is below oracle
STBL,short_carry_reversion_watch,0.10950000,0.001527453975,0.000000000000,89941838.00000000,2240990.83560800,340117.95174500,6.58886373,0.004453181417,6.90200442,short perp receives funding and mark is above oracle
ZEC,long_carry_reversion_watch,-0.72504768,-0.001697286635,-0.001706690500,477110.50000000,207662345.12499994,468406539.78270018,0.44333784,0.000439633677,6.89838546,long perp receives funding and mark is below oracle
KAITO,long_carry_reversion_watch,-0.24367692,-0.001389072629,-0.000546809500,1876340.00000000,849813.14940000,169718.36124000,5.00719629,0.002051723757,6.22896563,long perp receives funding and mark is below oracle
ETHFI,short_carry_reversion_watch,0.10950000,0.000233100233,0.000000000000,8876998.00000000,2666383.88926000,478007.13327700,5.57812573,0.002063708684,6.01696295,short perp receives funding and mark is above oracle
FIL,long_carry_reversion_watch,-0.14162642,-0.000651635605,-0.000430079500,3796470.40000000,2911133.50272000,563802.87133300,5.16338893,0.001369612856,5.91685476,long perp receives funding and mark is below oracle
ZORA,long_carry_reversion_watch,-0.20725547,-0.002546689304,0.000000000000,69222868.00000000,569358.08930000,117389.91520900,4.85014482,0.005471789883,5.60834348,long perp receives funding and mark is below oracle
GRIFFAIN,short_carry_reversion_watch,0.10950000,0.001218026797,0.000000000000,66956242.00000000,550380.30924000,111779.44708600,4.92380597,0.003771289538,5.22127533,short perp receives funding and mark is above oracle
POPCAT,long_carry_reversion_watch,-0.37114894,-0.002107077866,-0.001484532100,27828206.00000000,1159768.31325600,391708.86945500,2.96079156,0.001823810324,5.10205405,long perp receives funding and mark is below oracle
RSR,long_carry_reversion_watch,-0.31983023,-0.002857142857,-0.001428571400,90478420.00000000,126307.87432000,34194.68131800,3.69378715,0.005017921147,4.96352061,long perp receives funding and mark is below oracle
COMP,long_carry_reversion_watch,-0.17171440,-0.002722323049,-0.001143375700,50222.34000000,827915.27490000,206325.80397000,4.01265988,0.002990506809,4.92701127,long perp receives funding and mark is below oracle
S,long_carry_reversion_watch,-0.44989520,-0.002688172043,-0.000840053800,16980500.00000000,503981.24000000,208354.10353200,2.41886880,0.003031630006,4.79842786,long perp receives funding and mark is below oracle
IO,long_carry_reversion_watch,-0.72276307,-0.001488095238,0.000000000000,2996315.40000000,402105.52668000,443243.00036700,0.90718980,0.003948446696,4.74233887,long perp receives funding and mark is below oracle
W,long_carry_reversion_watch,-0.23279963,-0.003151260504,-0.001050420200,77495651.39999999,735433.73178600,220951.65949400,3.32848250,0.003161222339,4.59789725,long perp receives funding and mark is below oracle
kSHIB,long_carry_reversion_watch,-0.42117905,-0.001272264631,-0.000848176400,365661178.00000000,1722264.14838000,857999.56166300,2.00730190,0.001061571125,4.54863610,long perp receives funding and mark is below oracle
POL,long_carry_reversion_watch,-0.10757718,-0.001194668008,-0.000326961800,26509204.00000000,2105493.52770000,533809.14237300,3.94428151,0.001976956494,4.49036274,long perp receives funding and mark is below oracle
OP,long_carry_reversion_watch,-0.15367756,-0.001136950904,-0.000206718300,31636611.40000000,3057362.12569600,861640.41962900,3.54830397,0.002173913043,4.36190215,long perp receives funding and mark is below oracle
INJ,long_carry_reversion_watch,-0.40495991,-0.001516793066,-0.001036475300,977714.60000000,5406370.65216000,3416231.69591000,1.58255386,0.000934866732,4.31248311,long perp receives funding and mark is below oracle
AIXBT,long_carry_reversion_watch,-0.63770960,-0.002109607888,-0.001100665000,11617024.00000000,252774.82521600,344702.13580500,0.73331378,0.002344180916,4.26865428,long perp receives funding and mark is below oracle
TURBO,long_carry_reversion_watch,-0.32353220,-0.002304147465,-0.001152073700,245026552.00000000,212192.99403200,78289.05992200,2.71037862,0.003464203233,4.20644476,long perp receives funding and mark is below oracle
