asset,source_status,side,status,action,score,candidate_score,monitor_observations,monitor_action,current_outcome_15m,current_net_15m_bps,current_outcome_1h,current_net_1h_bps,execution_gate,candidate_size_usd,conservative_net_15m_bps,conservative_net_1h_bps,spread_bps,visible_depth_usage_10bps,history_action,history_observations,history_win_1h,history_mean_net_1h_bps,reason,next_step
SPX,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,11.42268927,13,repeat_label_priority,paper_15m_win,46.96037758,paper_1h_loss,-196.21301049,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,2,-9.90649180,15m edge failed after the 1h label matured,deprioritize SPX until a fresh 1h label supports the same lane
STABLE,paper_mark_oracle_reversion_candidate,long_perp,dislocation_monitor_conflict_relabel,relabel_before_probe,34.00000000,11.22786249,10,repeat_label_priority,paper_15m_loss,-33.49069345,paper_1h_loss,-202.44549140,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,deprioritize_until_fresh_snapshot,3,0,-118.77160438,repeated monitor conflicts with the latest paper label,relabel STABLE because monitor and latest label disagree
NXPC,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_monitor_conflict_relabel,relabel_before_probe,34.00000000,11.07825280,10,repeat_label_priority,paper_15m_loss,-71.77109375,paper_1h_loss,-301.52849763,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,2,-29.93018847,repeated monitor conflicts with the latest paper label,relabel NXPC because monitor and latest label disagree
SUI,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,10.75858681,4,repeat_label_priority,paper_15m_win,45.32150205,paper_1h_loss,-117.71709132,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,2,-14.41914415,15m edge failed after the 1h label matured,deprioritize SUI until a fresh 1h label supports the same lane
TRUMP,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,9.05029673,0,,paper_15m_win,65.75780281,paper_1h_loss,-99.11653380,failed_1h_confirmation,250.00,70.96054599,-93.91385401,3.64365094,0.00390031,wait_for_1h_or_repeat_label,1,0,-99.11653380,15m edge failed after the 1h label matured,deprioritize TRUMP until a fresh 1h label supports the same lane
EIGEN,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,7.90683320,0,,paper_15m_win,122.13718952,paper_1h_loss,-76.52247333,failed_1h_confirmation,250.00,137.97390228,-60.68579772,5.52638851,0.09086092,wait_for_1h_or_repeat_label,1,0,-76.52247333,15m edge failed after the 1h label matured,deprioritize EIGEN until a fresh 1h label supports the same lane
TRUMP,paper_extreme_funding_carry_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,7.75277259,0,,paper_15m_win,65.75780281,paper_1h_loss,-99.11653380,failed_1h_confirmation,250.00,70.96054599,-93.91385401,3.64365094,0.00390031,wait_for_1h_or_repeat_label,3,1,-31.19869948,15m edge failed after the 1h label matured,deprioritize TRUMP until a fresh 1h label supports the same lane
2Z,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,7.19202502,0,,paper_15m_win,46.31689114,paper_1h_loss,-36.48646792,failed_1h_confirmation,250.00,66.30429306,-16.49910694,1.68385603,0.06561509,repeat_paper_probe_priority,3,2,48.94158582,15m edge failed after the 1h label matured,deprioritize 2Z until a fresh 1h label supports the same lane
POPCAT,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,7.12459688,0,,paper_15m_win,53.40565068,paper_1h_loss,-126.30664503,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,2,1,-56.75509915,15m edge failed after the 1h label matured,deprioritize POPCAT until a fresh 1h label supports the same lane
ZK,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,6.78389718,0,,paper_15m_win,44.72434598,paper_1h_loss,-126.45530279,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,1,-31.65018661,15m edge failed after the 1h label matured,deprioritize ZK until a fresh 1h label supports the same lane
