observed_at,symbol,name,coin_id,status,side,direction,market_cap_rank,current_price,volume_to_market_cap,price_change_24h,price_change_7d,price_change_30d,score,observation_status,next_step
2026-06-07T22:55:00+00:00,TRUMP,Official Trump,official-trump,volume_reversal_candidate,long_reversal,1,117,1.660000000000,0.18866146,5.95382829,-17.74689524,-32.59491598,44.17041127,ready_for_label,"paper-label TRUMP volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,UB,Unibase,unibase,volume_reversal_candidate,long_reversal,1,130,0.127406000000,0.06151395,14.69971394,-35.36315345,10.91674747,51.89055072,ready_for_label,"paper-label UB volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,UNI,Uniswap,uniswap,volume_reversal_candidate,long_reversal,1,51,2.570000000000,0.09039275,5.37906681,-14.68021204,-30.13758047,37.93284373,ready_for_label,"paper-label UNI volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,VELVET,Velvet,velvet,chase_risk,wait_or_fade_watch,-1,260,0.255468000000,0.12882342,38.48300758,158.61776410,180.03755723,39.72940538,ready_for_label,avoid chasing VELVET; label pullback or fade setup first
2026-06-07T22:55:00+00:00,VIRTUAL,Virtuals Protocol,virtual-protocol,volume_reversal_candidate,long_reversal,1,121,0.576889000000,0.19483293,6.87931778,-18.42529475,-36.96202220,45.94458804,ready_for_label,"paper-label VIRTUAL volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,WIF,dogwifhat,dogwifcoin,volume_reversal_candidate,long_reversal,1,196,0.160798000000,0.22322857,6.73930883,-15.85829800,-28.47722536,41.19132114,ready_for_label,"paper-label WIF volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,WLD,Worldcoin,worldcoin-wld,chase_risk,wait_or_fade_watch,-1,50,0.479653000000,0.38946687,15.21964005,41.73672218,74.87024647,49.21756162,ready_for_label,avoid chasing WLD; label pullback or fade setup first
2026-06-07T22:55:00+00:00,XPL,Plasma,plasma,volume_reversal_candidate,long_reversal,1,181,0.070263000000,0.36855732,8.25387798,-21.82442603,-35.53467627,54.02830401,ready_for_label,"paper-label XPL volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,ZEC,Zcash,zcash,volume_reversal_candidate,long_reversal,1,15,442.880000000000,0.17418040,26.47598241,-19.23481277,-25.36468429,58.93563677,ready_for_label,"paper-label ZEC volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,ZK,ZKsync,zksync,volume_reversal_candidate,long_reversal,1,269,0.010534350000,0.09686003,3.22953410,-26.41146318,-46.88446008,35.59113587,ready_for_label,"paper-label ZK volume-backed reversal over 1h, 4h, 12h, and 24h"
