candidate,predictions,mean_daily_rank_ic,positive_score_hit_rate,total_return,sharpe,max_drawdown,mean_daily_turnover
funding_premium_rank_ridge_top_3_14d,17719,0.0243051047,0.484606,-0.5707050378,-0.1304491829,-0.8525066608,0.0965630115
funding_premium_contrarian_return_ridge_top_2_14d,17719,0.0161233285,0.475815,-0.4735235411,-0.1346301838,-0.7437468091,0.1211129296
funding_premium_rank_ridge_top_2_1d,17719,0.0243051047,0.484606,-0.6130709091,-0.1350380961,-0.8796126895,1.3060556465
flow_sign_ridge_top_3_1d,17719,0.0093094688,0.467105,-0.5069041207,-0.1369031108,-0.8422063352,1.1729405346
funding_premium_rank_ridge_top_2_3d,17719,0.0243051047,0.484606,-0.6269701590,-0.1388207473,-0.8846813374,0.4402618658
flow_return_ridge_top_3_1d,17719,0.0041863538,0.473689,-0.5718465583,-0.1445481737,-0.8873096046,1.3093289689
momentum_return_ridge_top_2_1d,17719,-0.0030800741,0.475719,-0.6460070603,-0.1502441313,-0.8739685746,0.8494271686
flow_return_ridge_top_1_7d,17719,0.0041863538,0.473689,-0.6708088879,-0.1525743229,-0.8929766394,0.2733224223
flow_contrarian_return_ridge_top_3_3d,17719,-0.0041863538,0.479762,-0.4867431608,-0.1592480802,-0.6779265905,0.4909983633
structure_sign_ridge_top_3_3d,17719,-0.0032680374,0.461059,-0.6114854610,-0.1694227532,-0.9084405791,0.4817239498
funding_premium_return_ridge_top_3_14d,17719,-0.0161233285,0.475605,-0.5724260780,-0.1792659419,-0.8362996690,0.0987452264
funding_premium_return_ridge_top_1_1d,17719,-0.0161233285,0.475605,-0.8055659347,-0.1792664538,-0.8596552705,1.2618657938
structure_sign_ridge_top_2_1d,17719,-0.0032680374,0.461059,-0.6286560356,-0.1968424584,-0.8332958995,1.3044189853
funding_premium_contrarian_return_ridge_top_3_1d,17719,0.0161233285,0.475815,-0.6070429069,-0.2020223763,-0.8435141652,1.5395526459
flow_rank_ridge_top_1_7d,17719,0.0090577041,0.475284,-0.6467486153,-0.2047787070,-0.7977994010,0.2373158756
all_contrarian_return_ridge_top_1_7d,17719,-0.0004776483,0.469506,-0.6915779417,-0.2159203354,-0.8950641497,0.2602291326
funding_premium_sign_ridge_top_2_14d,17719,-0.0107189828,0.468270,-0.5893306638,-0.2198525713,-0.8541369584,0.0932896890
momentum_return_ridge_top_1_7d,17719,-0.0030800741,0.475719,-0.7302788588,-0.2213200091,-0.8739560934,0.2373158756
momentum_sign_ridge_top_3_14d,17719,0.0329443084,0.465162,-0.3931140746,-0.2226045747,-0.6254336318,0.0954719040
momentum_return_ridge_top_3_1d,17719,-0.0030800741,0.475719,-0.6249969280,-0.2322721956,-0.8668366157,0.8166939444
funding_premium_rank_ridge_top_1_3d,17719,0.0243051047,0.484606,-0.7043215042,-0.2342625168,-0.8742180612,0.4468085106
flow_rank_ridge_top_1_3d,17719,0.0090577041,0.475284,-0.6091731760,-0.2499682077,-0.8124031985,0.5220949264
flow_return_ridge_top_1_1d,17719,0.0041863538,0.473689,-0.8061654713,-0.2543346971,-0.9319178105,1.5237315876
structure_rank_ridge_top_3_1d,17719,0.0233645443,0.476778,-0.6133252100,-0.2586497194,-0.8267456778,1.4544462630
funding_premium_return_ridge_top_2_1d,17719,-0.0161233285,0.475605,-0.6980813388,-0.2609853146,-0.8080305219,1.2209492635
momentum_return_ridge_top_3_7d,17719,-0.0030800741,0.475719,-0.5777979013,-0.2629071058,-0.7815542220,0.2100381888
momentum_sign_ridge_top_2_3d,17719,0.0329443084,0.465162,-0.4986207272,-0.2639595341,-0.7373447759,0.4386252046
funding_premium_contrarian_return_ridge_top_3_14d,17719,0.0161233285,0.475815,-0.5617722297,-0.2961140394,-0.7555018965,0.1162029460
flow_contrarian_return_ridge_top_2_14d,17719,-0.0041863538,0.479762,-0.5957836707,-0.3033548711,-0.7371648851,0.1145662848
structure_rank_ridge_top_2_1d,17719,0.0233645443,0.476778,-0.6696922990,-0.3151623016,-0.8484932684,1.5155482815
flow_contrarian_return_ridge_top_1_3d,17719,-0.0041863538,0.479762,-0.6820122115,-0.3214457742,-0.8045964186,0.5351882160
all_contrarian_return_ridge_top_2_3d,17719,-0.0004776483,0.469506,-0.6679216088,-0.3361926852,-0.8805103151,0.5810147300
flow_sign_ridge_top_1_3d,17719,0.0093094688,0.467105,-0.7094365267,-0.3468735422,-0.9224418120,0.4517184943
funding_premium_rank_ridge_top_3_7d,17719,0.0243051047,0.484606,-0.6718936046,-0.3563561611,-0.8369197936,0.2045826514
structure_return_ridge_top_2_1d,17719,-0.0050225179,0.478192,-0.7425245264,-0.3594688335,-0.9070748004,1.3338788871
momentum_sign_ridge_top_1_14d,17719,0.0329443084,0.465162,-0.5518755815,-0.3778046836,-0.7619477729,0.0949263502
momentum_return_ridge_top_1_14d,17719,-0.0030800741,0.475719,-0.7708110856,-0.3783995599,-0.8831267187,0.1260229133
all_contrarian_return_ridge_top_3_14d,17719,-0.0004776483,0.469506,-0.6612911089,-0.3840868268,-0.8391367171,0.1183851609
funding_premium_sign_ridge_top_1_14d,17719,-0.0107189828,0.468270,-0.7248723373,-0.3920486866,-0.8510158247,0.0916530278
structure_sign_ridge_top_2_3d,17719,-0.0032680374,0.461059,-0.7530939552,-0.3976914932,-0.9192845075,0.4959083470
all_sign_ridge_top_3_3d,17719,0.0176250912,0.477840,-0.6274666690,-0.4034269106,-0.7778271991,0.5379159847
all_contrarian_return_ridge_top_2_14d,17719,-0.0004776483,0.469506,-0.7191476129,-0.4101671820,-0.9023010063,0.1243862520
flow_rank_ridge_top_1_14d,17719,0.0090577041,0.475284,-0.7296296966,-0.4193293056,-0.8887158770,0.1358428805
all_contrarian_return_ridge_top_3_3d,17719,-0.0004776483,0.469506,-0.6926551729,-0.4210212230,-0.8740155667,0.5570103655
funding_premium_return_ridge_top_2_14d,17719,-0.0161233285,0.475605,-0.7105455053,-0.4266680952,-0.8770476718,0.1063829787
funding_premium_sign_ridge_top_1_3d,17719,-0.0107189828,0.468270,-0.7752469192,-0.4269456772,-0.8745308004,0.4255319149
momentum_return_ridge_top_2_14d,17719,-0.0030800741,0.475719,-0.7014211123,-0.4398696385,-0.8193659775,0.1178396072
momentum_rank_ridge_top_2_1d,17719,0.0648881175,0.484897,-0.4201439289,-0.4440564741,-0.5925499038,0.5040916530
funding_premium_contrarian_return_ridge_top_2_1d,17719,0.0161233285,0.475815,-0.7568722491,-0.4456898465,-0.8941066738,1.5679214403
funding_premium_return_ridge_top_2_3d,17719,-0.0161233285,0.475605,-0.7681908931,-0.4469904804,-0.8921749764,0.4337152209
all_return_ridge_top_3_3d,17719,0.0004776483,0.481326,-0.6745209834,-0.4488527551,-0.8532428462,0.5395526459
funding_premium_sign_ridge_top_3_14d,17719,-0.0107189828,0.468270,-0.6962824905,-0.4591037876,-0.8706221337,0.0916530278
all_sign_ridge_top_1_3d,17719,0.0176250912,0.477840,-0.7562333516,-0.4713611165,-0.8640619655,0.5810147300
funding_premium_rank_ridge_top_2_7d,17719,0.0243051047,0.484606,-0.7328019549,-0.4722635577,-0.8480552062,0.1996726678
momentum_sign_ridge_top_1_3d,17719,0.0329443084,0.465162,-0.6286902112,-0.4888369196,-0.7969108112,0.4631751227
flow_contrarian_return_ridge_top_1_14d,17719,-0.0041863538,0.479762,-0.6703683453,-0.4893754058,-0.7672819258,0.1162029460
momentum_sign_ridge_top_2_14d,17719,0.0329443084,0.465162,-0.5342467006,-0.4945702728,-0.6951788411,0.0949263502
all_return_ridge_top_1_3d,17719,0.0004776483,0.481326,-0.8069342634,-0.4954333716,-0.8856195406,0.6006546645
momentum_sign_ridge_top_3_3d,17719,0.0329443084,0.465162,-0.5923657969,-0.4998512833,-0.7649077265,0.4331696672
structure_contrarian_return_ridge_top_3_1d,17719,0.0050225179,0.472450,-0.7267962306,-0.5188538112,-0.9035808458,1.5275504637
structure_sign_ridge_top_1_3d,17719,-0.0032680374,0.461059,-0.8092793007,-0.5194113545,-0.9501921182,0.5024549918
structure_sign_ridge_top_1_1d,17719,-0.0032680374,0.461059,-0.8164177011,-0.5355051408,-0.8843147443,1.3175122750
structure_return_ridge_top_3_1d,17719,-0.0050225179,0.478192,-0.7551372846,-0.5376030916,-0.9012317642,1.3240589198
all_return_ridge_top_2_3d,17719,0.0004776483,0.481326,-0.7533362832,-0.5539502993,-0.8625080073,0.5482815057
funding_premium_return_ridge_top_3_7d,17719,-0.0161233285,0.475605,-0.7497376301,-0.5633110714,-0.8790800387,0.1936715767
flow_rank_ridge_top_2_7d,17719,0.0090577041,0.475284,-0.7516052826,-0.5674543615,-0.8501047777,0.2324058920
flow_sign_ridge_top_2_1d,17719,0.0093094688,0.467105,-0.7395970830,-0.5754069189,-0.9062162780,1.2062193126
funding_premium_sign_ridge_top_2_1d,17719,-0.0107189828,0.468270,-0.8094204182,-0.5961559771,-0.8628176574,1.1342062193
funding_premium_contrarian_return_ridge_top_1_1d,17719,0.0161233285,0.475815,-0.8464838191,-0.6066629032,-0.9288381840,1.6219312602
funding_premium_return_ridge_top_3_1d,17719,-0.0161233285,0.475605,-0.7874224942,-0.6112067095,-0.8695901941,1.1854882706
momentum_return_ridge_top_3_14d,17719,-0.0030800741,0.475719,-0.7286695002,-0.6201435904,-0.8397095558,0.1118385161
funding_premium_return_ridge_top_3_3d,17719,-0.0161233285,0.475605,-0.7922162646,-0.6235628125,-0.8974410969,0.4293507911
all_contrarian_return_ridge_top_3_1d,17719,-0.0004776483,0.469506,-0.8022105487,-0.6363439591,-0.9331738253,1.5673758865
flow_rank_ridge_top_3_7d,17719,0.0090577041,0.475284,-0.7454585281,-0.6366099618,-0.8519948187,0.2274959083
structure_contrarian_return_ridge_top_2_1d,17719,0.0050225179,0.472450,-0.7719938441,-0.6434423490,-0.9110024499,1.5924713584
funding_premium_sign_ridge_top_2_3d,17719,-0.0107189828,0.468270,-0.8284885980,-0.6465040473,-0.8977130351,0.4173486088
funding_premium_return_ridge_top_2_7d,17719,-0.0161233285,0.475605,-0.8183289833,-0.7235186918,-0.9139182672,0.1963993453
all_sign_ridge_top_2_3d,17719,0.0176250912,0.477840,-0.7734331773,-0.7335046876,-0.8252955293,0.5482815057
funding_premium_sign_ridge_top_3_3d,17719,-0.0107189828,0.468270,-0.8366229748,-0.7813486786,-0.8818259291,0.4217130387
funding_premium_return_ridge_top_1_3d,17719,-0.0161233285,0.475605,-0.9279643209,-0.7849025427,-0.9348300668,0.4369885434
all_sign_ridge_top_3_1d,17719,0.0176250912,0.477840,-0.7432015178,-0.7862398786,-0.8303054846,1.4260774686
all_return_ridge_top_2_1d,17719,0.0004776483,0.481326,-0.8274938143,-0.8048216291,-0.9097602197,1.5204582651
structure_rank_ridge_top_1_1d,17719,0.0233645443,0.476778,-0.8759903880,-0.8225473862,-0.9390410952,1.6022913257
all_return_ridge_top_3_1d,17719,0.0004776483,0.481326,-0.8217551330,-0.8279004996,-0.9101503368,1.4680851064
all_contrarian_return_ridge_top_1_14d,17719,-0.0004776483,0.469506,-0.8811272794,-0.8345671301,-0.9554251625,0.1358428805
funding_premium_sign_ridge_top_3_1d,17719,-0.0107189828,0.468270,-0.8526008382,-0.8385373967,-0.8973465059,1.1222040371
funding_premium_return_ridge_top_1_7d,17719,-0.0161233285,0.475605,-0.9084285536,-0.8574064346,-0.9377024275,0.1947626841
funding_premium_sign_ridge_top_2_7d,17719,-0.0107189828,0.468270,-0.8445532756,-0.8980866622,-0.9195770370,0.1816693944
all_sign_ridge_top_2_1d,17719,0.0176250912,0.477840,-0.7886531381,-0.9050253712,-0.8328042730,1.4484451718
all_sign_ridge_top_1_1d,17719,0.0176250912,0.477840,-0.8473475229,-0.9193580393,-0.8632176596,1.5433715221
flow_rank_ridge_top_2_14d,17719,0.0090577041,0.475284,-0.8467891514,-0.9297713860,-0.9080986198,0.1260229133
funding_premium_sign_ridge_top_1_1d,17719,-0.0107189828,0.468270,-0.8911519905,-0.9413614515,-0.9056601535,1.1260229133
flow_sign_ridge_top_1_1d,17719,0.0093094688,0.467105,-0.8833779864,-0.9445352533,-0.9601319751,1.2356792144
funding_premium_sign_ridge_top_3_7d,17719,-0.0107189828,0.468270,-0.8460825578,-0.9452027249,-0.9146340729,0.1762138571
structure_return_ridge_top_1_1d,17719,-0.0050225179,0.478192,-0.9348854483,-1.0176171740,-0.9699627951,1.4222585925
all_contrarian_return_ridge_top_2_1d,17719,-0.0004776483,0.469506,-0.8905098021,-1.0198639075,-0.9570556012,1.6579378069
flow_contrarian_return_ridge_top_3_1d,17719,-0.0041863538,0.479762,-0.8377759188,-1.0525358624,-0.9260084528,1.4571740316
flow_rank_ridge_top_3_1d,17719,0.0090577041,0.475284,-0.8373755979,-1.0909817573,-0.8962774280,1.2907801418
flow_rank_ridge_top_3_14d,17719,0.0090577041,0.475284,-0.8679190910,-1.1048311511,-0.9121473702,0.1238406983
flow_rank_ridge_top_1_1d,17719,0.0090577041,0.475284,-0.8797098581,-1.1601964954,-0.9312395713,1.4615384615
momentum_sign_ridge_top_1_1d,17719,0.0329443084,0.465162,-0.8435901589,-1.1645160858,-0.8606154354,0.9967266776
flow_rank_ridge_top_2_1d,17719,0.0090577041,0.475284,-0.8686347283,-1.1973881300,-0.9094986515,1.3584288052
funding_premium_sign_ridge_top_1_7d,17719,-0.0107189828,0.468270,-0.9099951645,-1.2007673016,-0.9498075777,0.1865793781
flow_contrarian_return_ridge_top_2_1d,17719,-0.0041863538,0.479762,-0.8774521583,-1.2031390865,-0.9466774056,1.4746317512
momentum_sign_ridge_top_3_1d,17719,0.0329443084,0.465162,-0.8308627140,-1.2567548393,-0.8424366298,0.9121658483
momentum_sign_ridge_top_2_1d,17719,0.0329443084,0.465162,-0.8420671102,-1.2824112870,-0.8511721013,0.9378068740
all_contrarian_return_ridge_top_1_1d,17719,-0.0004776483,0.469506,-0.9524671652,-1.3439349783,-0.9753918168,1.7234042553
flow_contrarian_return_ridge_top_1_1d,17719,-0.0041863538,0.479762,-0.9315638699,-1.4058658218,-0.9587879169,1.5662847791
