candidate,symbol,held_steps,mean_weight_when_held,gross_contribution,funding_contribution,basis_contribution,mean_funding_rate_sum_when_held,mean_pair_return_when_held
spot_perp_positive_funding_top_1_14d,APTUSDT,84,1.0000000000,0.0107621069,0.0122804250,-0.0015183181,0.0002923911,0.0001281203
spot_perp_positive_funding_top_1_14d,TRXUSDT,56,1.0000000000,0.0088659149,0.0075298700,0.0013360449,0.0002689239,0.0001583199
spot_perp_positive_funding_top_1_14d,OPUSDT,41,1.0000000000,0.0079130723,0.0074075050,0.0005055673,0.0003613417,0.0001930018
spot_perp_positive_funding_top_1_14d,FETUSDT,70,1.0000000000,0.0051361242,0.0063333900,-0.0011972658,0.0001809540,0.0000733732
spot_perp_positive_funding_top_1_14d,RUNEUSDT,70,1.0000000000,0.0047664233,0.0056036200,-0.0008371967,0.0001601034,0.0000680918
spot_perp_positive_funding_top_1_14d,AAVEUSDT,42,1.0000000000,0.0042575444,0.0041342750,0.0001232694,0.0001968702,0.0001013701
spot_perp_positive_funding_top_1_14d,HBARUSDT,70,1.0000000000,0.0037653214,0.0018326750,0.0019326464,0.0000523621,0.0000537903
spot_perp_positive_funding_top_1_14d,XRPUSDT,14,1.0000000000,0.0030932539,0.0024175600,0.0006756939,0.0003453657,0.0002209467
spot_perp_positive_funding_top_1_14d,ARBUSDT,28,1.0000000000,0.0025129939,0.0022759100,0.0002370839,0.0001625650,0.0000897498
spot_perp_positive_funding_top_1_14d,BCHUSDT,14,1.0000000000,0.0021323362,0.0019657100,0.0001666262,0.0002808157,0.0001523097
spot_perp_positive_funding_top_1_14d,ADAUSDT,28,1.0000000000,0.0016415156,0.0018815350,-0.0002400194,0.0001343954,0.0000586256
spot_perp_positive_funding_top_1_14d,UNIUSDT,14,1.0000000000,0.0016126183,0.0016651300,-0.0000525117,0.0002378757,0.0001151870
spot_perp_positive_funding_top_1_14d,LINKUSDT,14,1.0000000000,0.0011513884,0.0006828300,0.0004685584,0.0000975471,0.0000822420
spot_perp_positive_funding_top_1_14d,ETCUSDT,14,1.0000000000,0.0009631637,0.0006854700,0.0002776937,0.0000979243,0.0000687974
spot_perp_positive_funding_top_1_14d,BNBUSDT,28,1.0000000000,0.0008512016,-0.0000787100,0.0009299116,-0.0000056221,0.0000304001
spot_perp_positive_funding_top_1_14d,NEARUSDT,14,1.0000000000,0.0008464337,0.0004989750,0.0003474587,0.0000712821,0.0000604596
spot_perp_positive_funding_top_1_14d,SEIUSDT,42,1.0000000000,-0.0017476738,-0.0026917100,0.0009440362,-0.0001281767,-0.0000416113
spot_perp_positive_funding_top_1_14d,FILUSDT,28,1.0000000000,-0.0035075149,-0.0013977250,-0.0021097899,-0.0000998375,-0.0001252684
