chain,project,symbol,yield_status,yield_side,tvl_usd,apy,apy_base,reward_share,yield_score,peg_symbol,peg_status,peg_side,peg_price,peg_deviation,peg_score,match_kind,score,status,side,reason,next_step
Ethereum,ember-protocol,USDC,yield_context_watch,none,37630835.00,12.461940,12.461940,0.00000000,19.170205,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,19.170205,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/ember-protocol custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,re,REUSDE,yield_context_watch,none,19696309.00,12.000320,12.000320,0.00000000,19.060144,,,,0.00000000,0.00000000,0.00000000,none,19.060144,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/re custody, APY source, withdrawal path, capacity, and exit liquidity"
Arbitrum,usd-ai,SUSDAI,paper_base_yield_watch,allocate_stablecoin_capital,289508959.00,8.000000,8.000000,0.00000000,18.143383,USDai,peg_supply_stress_watch,none,1.00293509,0.00293509,54.35090493,leading_s_wrapper,18.686892,yield_supply_stress_watch,watch_supply_or_redemption_risk,yield asset has material supply stress even though price is near peg,"check USDai supply change, issuer updates, redemption route, and pool exit liquidity"
Ethereum,morpho-blue,FAUSDE,yield_context_watch,none,16484781.00,11.002170,11.002170,0.00000000,17.410064,,,,0.00000000,0.00000000,0.00000000,none,17.410064,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,maple,USDC,yield_context_watch,none,3140623415.00,4.644130,4.644130,0.00000000,17.351054,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,17.351054,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/maple custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,ethena-usde,SUSDE,yield_context_watch,none,1778506504.00,4.494420,4.494420,0.00000000,16.880596,USDe,peg_supply_stress_watch,none,0.99925534,-0.00074466,32.44657003,leading_s_wrapper,17.205062,yield_supply_stress_watch,watch_supply_or_redemption_risk,yield asset has material supply stress even though price is near peg,"check USDe supply change, issuer updates, redemption route, and pool exit liquidity"
BSC,unitas,SUSDU,yield_context_watch,none,43504812.00,9.957190,9.957190,0.00000000,16.797442,USDU,peg_supply_stress_watch,none,0.99868564,-0.00131436,38.14363291,leading_s_wrapper,17.178878,yield_supply_stress_watch,watch_supply_or_redemption_risk,yield asset has material supply stress even though price is near peg,"check USDU supply change, issuer updates, redemption route, and pool exit liquidity"
Ethereum,goldfinch,USDC,yield_context_watch,none,36716539.00,10.123410,10.123410,0.00000000,16.897449,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,16.897449,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/goldfinch custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,centrifuge-protocol,USDS,yield_context_watch,none,865275344.00,4.759970,4.759970,0.00000000,16.748910,USDS,watch,none,0.99951827,-0.00048173,29.81729715,exact_symbol,16.748910,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/centrifuge-protocol custody, APY source, withdrawal path, capacity, and exit liquidity"
Hyperliquid L1,harmonix-finance,USDC,yield_context_watch,none,17123039.00,10.180400,10.180400,0.00000000,16.599787,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,16.599787,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Hyperliquid L1/harmonix-finance custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,maple,USDT,yield_context_watch,none,848022494.00,4.144590,4.144590,0.00000000,16.574002,USDT,watch,none,0.99925452,-0.00074548,18.18843091,exact_symbol,16.574002,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/maple custody, APY source, withdrawal path, capacity, and exit liquidity"
Arbitrum,pendle,SUSDAI,yield_context_watch,none,12283183.00,9.787310,9.787310,0.00000000,15.782186,USDai,peg_supply_stress_watch,none,1.00293509,0.00293509,54.35090493,leading_s_wrapper,16.325695,yield_supply_stress_watch,watch_supply_or_redemption_risk,yield asset has material supply stress even though price is near peg,"check USDai supply change, issuer updates, redemption route, and pool exit liquidity"
BSC,bitway-earn,USDT,yield_context_watch,none,24326052.00,10.000000,10.000000,0.00000000,16.262247,USDT,watch,none,0.99925452,-0.00074548,18.18843091,exact_symbol,16.262247,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check BSC/bitway-earn custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,sky-lending,SUSDS,yield_context_watch,none,6193035278.00,3.600000,3.600000,0.00000000,15.742834,USDS,watch,none,0.99951827,-0.00048173,29.81729715,leading_s_wrapper,15.742834,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/sky-lending custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,blackrock-buidl,BUIDL,yield_context_watch,none,828949106.00,3.546210,3.546210,0.00000000,15.668440,BUIDL,watch,none,1.00000000,0.00000000,14.21025244,exact_symbol,15.668440,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/blackrock-buidl custody, APY source, withdrawal path, capacity, and exit liquidity"
Solana,blackrock-buidl,BUIDL,yield_context_watch,none,571650734.00,3.515110,3.515110,0.00000000,15.618638,BUIDL,watch,none,1.00000000,0.00000000,14.21025244,exact_symbol,15.618638,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Solana/blackrock-buidl custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,invesco-ustb,USTB,yield_context_watch,none,736438708.00,3.259990,3.259990,0.00000000,15.187430,,,,0.00000000,0.00000000,0.00000000,none,15.187430,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/invesco-ustb custody, APY source, withdrawal path, capacity, and exit liquidity"
Aptos,blackrock-buidl,BUIDL,yield_context_watch,none,785054568.00,3.205180,3.205180,0.00000000,15.122840,BUIDL,watch,none,1.00000000,0.00000000,14.21025244,exact_symbol,15.122840,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Aptos/blackrock-buidl custody, APY source, withdrawal path, capacity, and exit liquidity"
Avalanche,avant-avusd,SAVUSD,paper_base_yield_watch,allocate_stablecoin_capital,79463344.00,8.525650,8.525650,0.00000000,15.016017,avUSD,watch,none,0.99851325,-0.00148675,31.81224478,leading_s_wrapper,15.016017,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Avalanche/avant-avusd custody, APY source, withdrawal path, capacity, and exit liquidity"
Monad,accountable,USDC,yield_context_watch,none,45118675.00,9.800000,8.800000,0.10204082,14.915032,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,14.915032,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Monad/accountable custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,ALPHAUSDCDELTAV2,yield_context_watch,none,30527231.00,9.147770,9.147770,0.00000000,14.866481,,,,0.00000000,0.00000000,0.00000000,none,14.866481,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Base,morpho-blue,GTUSDCP,yield_context_watch,none,438187465.00,3.829230,3.829230,0.00000000,14.557595,,,,0.00000000,0.00000000,0.00000000,none,14.557595,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Base/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,gami-labs,GAMICUSPC,yield_context_watch,none,11992146.00,9.358970,9.358970,0.00000000,14.348599,,,,0.00000000,0.00000000,0.00000000,none,14.348599,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/gami-labs custody, APY source, withdrawal path, capacity, and exit liquidity"
Avalanche,blackrock-buidl,BUIDL,yield_context_watch,none,409807461.00,3.515300,3.515300,0.00000000,13.815181,BUIDL,watch,none,1.00000000,0.00000000,14.21025244,exact_symbol,13.815181,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Avalanche/blackrock-buidl custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,ALPHAUSDCCOREV2,yield_context_watch,none,12348896.00,8.615860,8.615860,0.00000000,13.764916,,,,0.00000000,0.00000000,0.00000000,none,13.764916,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Monad,accountable,AUSD,yield_context_watch,none,118146624.00,7.275000,7.275000,0.00000000,13.684944,AUSD,watch,none,0.99941215,-0.00058785,30.87852780,exact_symbol,13.684944,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Monad/accountable custody, APY source, withdrawal path, capacity, and exit liquidity"
Arbitrum,pendle,SUSDAI,yield_context_watch,none,12283183.00,8.290780,8.122160,0.02033826,13.122815,USDai,peg_supply_stress_watch,none,1.00293509,0.00293509,54.35090493,leading_s_wrapper,13.666324,yield_supply_stress_watch,watch_supply_or_redemption_risk,yield asset has material supply stress even though price is near peg,"check USDai supply change, issuer updates, redemption route, and pool exit liquidity"
Plasma,yuzu-money,SYZUSD,yield_context_watch,none,27506991.00,8.103190,8.103190,0.00000000,13.256014,,,,0.00000000,0.00000000,0.00000000,none,13.256014,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Plasma/yuzu-money custody, APY source, withdrawal path, capacity, and exit liquidity"
Arbitrum,spark-savings,USDS,yield_context_watch,none,359283317.00,3.600000,3.600000,0.00000000,12.928602,USDS,watch,none,0.99951827,-0.00048173,29.81729715,exact_symbol,12.928602,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Arbitrum/spark-savings custody, APY source, withdrawal path, capacity, and exit liquidity"
Arbitrum,sky-lending,SUSDS,yield_context_watch,none,359283317.00,3.600000,3.600000,0.00000000,12.928500,USDS,watch,none,0.99951827,-0.00048173,29.81729715,leading_s_wrapper,12.928500,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Arbitrum/sky-lending custody, APY source, withdrawal path, capacity, and exit liquidity"
Stellar,blend-pools-v2,USDC,yield_context_watch,none,11575374.00,7.953700,7.953700,0.00000000,12.677197,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,12.677197,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Stellar/blend-pools-v2 custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,strata-markets,SRUSDAT,yield_context_watch,none,10012297.00,7.787580,7.787580,0.00000000,12.660374,,,,0.00000000,0.00000000,0.00000000,none,12.660374,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/strata-markets custody, APY source, withdrawal path, capacity, and exit liquidity"
Arbitrum,pendle,USDAI,yield_context_watch,none,35302497.00,7.292960,7.292960,0.00000000,12.110468,USDai,peg_supply_stress_watch,none,1.00293509,0.00293509,54.35090493,exact_symbol,12.653977,yield_supply_stress_watch,watch_supply_or_redemption_risk,yield asset has material supply stress even though price is near peg,"check USDai supply change, issuer updates, redemption route, and pool exit liquidity"
Base,morpho-blue,STEAKUSDC,yield_context_watch,none,335942886.00,3.829520,3.829520,0.00000000,12.513660,,,,0.00000000,0.00000000,0.00000000,none,12.513660,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Base/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Base,avantis,USDC,yield_context_watch,none,36744659.00,8.120620,8.120620,0.00000000,12.260771,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,12.260771,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Base/avantis custody, APY source, withdrawal path, capacity, and exit liquidity"
Monad,upshift,EARNAUSD,paper_incentive_yield_watch,watch_incentive_decay,22389770.00,10.772550,9.104350,0.15485656,12.222311,,,,0.00000000,0.00000000,0.00000000,none,12.222311,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Monad/upshift custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,spark-savings,USDC,yield_context_watch,none,318671506.00,3.600000,3.600000,0.00000000,12.116366,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,12.116366,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/spark-savings custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,HYPERUSDCA,yield_context_watch,none,13929181.00,7.873460,7.873460,0.00000000,11.941296,,,,0.00000000,0.00000000,0.00000000,none,11.941296,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Plasma,fluid-lending,USDT0,yield_context_watch,none,65686875.00,7.300000,6.960000,0.04657534,11.403682,,,,0.00000000,0.00000000,0.00000000,none,11.403682,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Plasma/fluid-lending custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,zerobase-cedefi,USDT,yield_context_watch,none,14301024.00,9.000000,7.000000,0.22222222,11.397132,USDT,watch,none,0.99925452,-0.00074548,18.18843091,exact_symbol,11.397132,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/zerobase-cedefi custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,pendle,USDAT,yield_context_watch,none,12202975.00,7.459600,7.459600,0.00000000,11.304176,,,,0.00000000,0.00000000,0.00000000,none,11.304176,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/pendle custody, APY source, withdrawal path, capacity, and exit liquidity"
BSC,zerobase-cedefi,USDT,yield_context_watch,none,23826018.00,8.760000,6.760000,0.22831050,11.179278,USDT,watch,none,0.99925452,-0.00074548,18.18843091,exact_symbol,11.179278,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check BSC/zerobase-cedefi custody, APY source, withdrawal path, capacity, and exit liquidity"
Base,spark-savings,USDS,yield_context_watch,none,222821990.00,3.600000,3.600000,0.00000000,10.199376,USDS,watch,none,0.99951827,-0.00048173,29.81729715,exact_symbol,10.199376,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Base/spark-savings custody, APY source, withdrawal path, capacity, and exit liquidity"
Wc,morpho-blue,RE7USDC,yield_context_watch,none,11899439.00,6.439500,6.439500,0.00000000,10.106993,,,,0.00000000,0.00000000,0.00000000,none,10.106993,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Wc/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,infinifi,SIUSD,yield_context_watch,none,42656795.00,5.568440,5.568440,0.00000000,9.718780,IUSD,peg_supply_stress_watch,none,1.00090135,0.00090135,34.01352298,leading_s_wrapper,10.058915,yield_supply_stress_watch,watch_supply_or_redemption_risk,yield asset has material supply stress even though price is near peg,"check IUSD supply change, issuer updates, redemption route, and pool exit liquidity"
Base,morpho-blue,STEAKUSDC,yield_context_watch,none,189118107.00,3.921360,3.921360,0.00000000,9.768058,,,,0.00000000,0.00000000,0.00000000,none,9.768058,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Base/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Monad,morpho-blue,HYPERUSDCA,yield_context_watch,none,14318021.00,8.514220,6.343080,0.25500163,9.577208,,,,0.00000000,0.00000000,0.00000000,none,9.577208,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Monad/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Hyperliquid L1,morpho-blue,FEUSDC,yield_context_watch,none,12263592.00,6.168240,6.168240,0.00000000,9.479506,,,,0.00000000,0.00000000,0.00000000,none,9.479506,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Hyperliquid L1/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,STEAKUSDT,yield_context_watch,none,92726841.00,5.197260,5.197260,0.00000000,9.355767,,,,0.00000000,0.00000000,0.00000000,none,9.355767,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,falcon-finance,SUSDF,yield_context_watch,none,75552123.00,4.891110,4.891110,0.00000000,9.335258,USDF,watch,none,0.99772944,-0.00227056,28.92995334,leading_s_wrapper,9.335258,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/falcon-finance custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,BBQUSDC,yield_context_watch,none,36547678.00,5.641220,5.641220,0.00000000,9.289974,,,,0.00000000,0.00000000,0.00000000,none,9.289974,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,aave-v3,SGHO,yield_context_watch,none,122220154.00,4.250000,4.250000,0.00000000,9.244403,,,,0.00000000,0.00000000,0.00000000,none,9.244403,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/aave-v3 custody, APY source, withdrawal path, capacity, and exit liquidity"
Hyperliquid L1,morpho-blue,FEUSDC2,yield_context_watch,none,36932889.00,5.762740,5.762740,0.00000000,9.122702,,,,0.00000000,0.00000000,0.00000000,none,9.122702,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Hyperliquid L1/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,fluid-lending,GHO,yield_context_watch,none,13785914.00,8.290000,6.590000,0.20506634,9.111551,GHO,watch,none,0.99928785,-0.00071215,7.12151740,exact_symbol,9.111551,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/fluid-lending custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,STEAKUSDT,yield_context_watch,none,23981986.00,6.260190,6.260190,0.00000000,9.033018,,,,0.00000000,0.00000000,0.00000000,none,9.033018,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,GTUSDTP,yield_context_watch,none,30175142.00,6.104160,6.104160,0.00000000,8.965169,,,,0.00000000,0.00000000,0.00000000,none,8.965169,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Hyperliquid L1,hyperlend-pooled,USDC,yield_context_watch,none,10536759.00,5.622950,5.622950,0.00000000,8.917517,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,8.917517,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Hyperliquid L1/hyperlend-pooled custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,ether.fi-liquid,LIQUIDUSD,yield_context_watch,none,34546141.00,5.250680,5.250680,0.00000000,8.826013,,,,0.00000000,0.00000000,0.00000000,none,8.826013,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/ether.fi-liquid custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,SKYMONEYUSDCRISKCAPITAL,yield_context_watch,none,14706905.00,5.302300,5.302300,0.00000000,8.741542,,,,0.00000000,0.00000000,0.00000000,none,8.741542,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,GTUSDCF,yield_context_watch,none,17872515.00,5.327960,5.327960,0.00000000,8.695400,,,,0.00000000,0.00000000,0.00000000,none,8.695400,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,blackrock-buidl,BUIDL,yield_context_watch,none,178606543.00,3.205180,3.205180,0.00000000,8.694887,BUIDL,watch,none,1.00000000,0.00000000,14.21025244,exact_symbol,8.694887,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/blackrock-buidl custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,GTUSDCP,yield_context_watch,none,94616130.00,4.159410,4.159410,0.00000000,8.414239,,,,0.00000000,0.00000000,0.00000000,none,8.414239,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,yearn-finance,USDC,yield_context_watch,none,11548914.00,5.140500,5.140500,0.00000000,8.349278,USDC,watch,none,0.99969196,-0.00030804,14.91498070,exact_symbol,8.349278,paper_yield_without_peg_stress_watch,allocate_stablecoin_capital_after_ops_check,yield candidate has no current material peg stress in the peg screen,"check Ethereum/yearn-finance custody, APY source, withdrawal path, capacity, and exit liquidity"
Base,gauntlet,GTUSDA,yield_context_watch,none,67354360.00,4.329920,4.329920,0.00000000,8.262617,,,,0.00000000,0.00000000,0.00000000,none,8.262617,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Base/gauntlet custody, APY source, withdrawal path, capacity, and exit liquidity"
Ethereum,morpho-blue,GUSDTQ,yield_context_watch,none,24493356.00,5.541240,5.541240,0.00000000,8.238885,,,,0.00000000,0.00000000,0.00000000,none,8.238885,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Ethereum/morpho-blue custody, APY source, withdrawal path, capacity, and exit liquidity"
Plasma,aave-v3,USDT0,yield_context_watch,none,43662634.00,5.947100,5.181780,0.12868793,8.117829,,,,0.00000000,0.00000000,0.00000000,none,8.117829,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Plasma/aave-v3 custody, APY source, withdrawal path, capacity, and exit liquidity"
Gnosis,sdai,SDAI,yield_context_watch,none,69687170.00,4.181600,4.181600,0.00000000,8.064587,,,,0.00000000,0.00000000,0.00000000,none,8.064587,yield_context_watch,none,yield is context but peg linkage is not yet actionable,"check Gnosis/sdai custody, APY source, withdrawal path, capacity, and exit liquidity"
