chain,project,symbol,pool,tvl_usd,apy,apy_base,apy_reward,apy_mean_30d,reward_share,apy_deviation_30d,score,status,side,reason,next_step
Solana,ondo-yield-assets,USDY,00b83068-9f87-4411-b5d7-5d2ff48c40c4,181136169.00,3.550000,3.550000,0.000000,3.550000,0.00000000,0.000000,9.302723,yield_context_watch,none,yield is context but not yet actionable,"check Solana/ondo-yield-assets custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,BBQUSDC,f8d7740c-4cef-420e-a944-1b7caffde643,35989051.00,5.641220,5.641220,0.000000,4.874930,0.00000000,0.766290,9.285959,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,aave-v3,SGHO,19d024ed-9c70-4323-9a81-fe873ea5f0e0,123365438.00,4.250000,4.250000,0.000000,4.250000,0.00000000,0.000000,9.267309,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/aave-v3 custody, withdrawal path, APY source, capacity, and exit liquidity"
Avalanche,centrifuge-protocol,USDC,80359eae-ff65-4fa6-842d-c971dc2928de,259203243.00,2.867510,2.867510,0.000000,3.798710,0.00000000,0.931200,9.213361,yield_context_watch,none,yield is context but not yet actionable,"check Avalanche/centrifuge-protocol custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,STEAKUSDT,ded5a855-23c1-459d-8390-ba2707fac7c5,92758165.00,5.020490,5.020490,0.000000,3.866840,0.00000000,1.153650,9.195757,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Hyperliquid L1,morpho-blue,FEUSDC2,38996a70-76e3-4e7c-a00f-22182d73b2be,36819564.00,5.777900,5.777900,0.000000,7.160750,0.00000000,1.382850,9.151321,yield_context_watch,none,yield is context but not yet actionable,"check Hyperliquid L1/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Monad,upshift,EARNAUSD,e10580de-1ad2-4bbc-a0e8-ad4db95df4a3,22097113.00,7.810630,6.169920,1.640710,6.059030,0.21006116,1.751600,9.078894,yield_context_watch,none,yield is context but not yet actionable,"check Monad/upshift custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,STEAKUSDT,ef5d3acb-b974-4db1-8076-e8db9f142493,21842407.00,6.260190,6.260190,0.000000,3.847970,0.00000000,2.412220,9.005820,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,GTUSDTP,339db613-74f9-4141-ac35-04724dce2d23,29881300.00,6.104160,6.104160,0.000000,3.786970,0.00000000,2.317190,8.973968,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,ether.fi-liquid,LIQUIDUSD,7c12f175-37bc-41db-967a-1d7f1f4a23c4,34547533.00,5.250680,5.250680,0.000000,4.820550,0.00000000,0.430130,8.833961,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/ether.fi-liquid custody, withdrawal path, APY source, capacity, and exit liquidity"
Flare,mystic-finance-lending,COREUSDT0,5ea185f4-b3cc-4fd8-afe6-39037bf483dd,19636299.00,14.998370,4.429040,10.569330,15.177650,0.70469858,0.179280,8.780560,yield_context_watch,none,yield is context but not yet actionable,"check Flare/mystic-finance-lending custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,SKYMONEYUSDCRISKCAPITAL,438ef4a3-aad3-41a0-831b-f8cba5a6bdc5,14866704.00,5.302300,5.302300,0.000000,5.364430,0.00000000,0.062130,8.743736,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,GTUSDCF,ff113246-f6e0-4e10-b92c-abd3cd1d7dd6,17789759.00,5.327960,5.327960,0.000000,5.020910,0.00000000,0.307050,8.696301,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,blackrock-buidl,BUIDL,b2b1d98f-cac1-4e7b-8cd8-d67b576fd259,178652859.00,3.205180,3.205180,0.000000,3.214560,0.00000000,0.009380,8.695717,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/blackrock-buidl custody, withdrawal path, APY source, capacity, and exit liquidity"
MegaETH,aave-v3,USDE,7b13e8df-9e04-4920-a711-6aeef16f9f7c,432269743.00,0.005560,0.005560,0.000000,0.006400,0.00000000,0.000840,8.653787,yield_context_watch,none,yield is context but not yet actionable,"check MegaETH/aave-v3 custody, withdrawal path, APY source, capacity, and exit liquidity"
Hyperliquid L1,hyperlend-pooled,USDC,9d21c8a0-4ea9-4585-81a7-e3d09ab24a45,13923161.00,5.170240,5.170240,0.000000,5.142570,0.00000000,0.027670,8.534245,yield_context_watch,none,yield is context but not yet actionable,"check Hyperliquid L1/hyperlend-pooled custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,GTUSDCP,71b34441-5a46-431b-a9b3-8c081cd0d74c,93018779.00,4.159410,4.159410,0.000000,3.943430,0.00000000,0.215980,8.385844,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,GUSDTQ,09946099-2c68-4fcb-bc6c-32b6bf6019fe,24348293.00,5.541240,5.541240,0.000000,3.702630,0.00000000,1.838610,8.249784,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Base,gauntlet,GTUSDA,c043062f-fcd6-47aa-b063-70691dc25c1c,67635639.00,4.245280,4.245280,0.000000,4.306810,0.00000000,0.061530,8.108243,yield_context_watch,none,yield is context but not yet actionable,"check Base/gauntlet custody, withdrawal path, APY source, capacity, and exit liquidity"
Gnosis,sdai,SDAI,13392973-be6e-4b2f-bce9-4f7dd53d1c3a,69658696.00,4.184770,4.184770,0.000000,4.213550,0.00000000,0.028780,8.071538,yield_context_watch,none,yield is context but not yet actionable,"check Gnosis/sdai custody, withdrawal path, APY source, capacity, and exit liquidity"
Arbitrum,fluid-lending,USDC,4c45cc9e-e1a4-43c9-8a3d-687d96abb07c,37843205.00,4.810000,4.810000,0.000000,5.609060,0.00000000,0.799060,7.973428,yield_context_watch,none,yield is context but not yet actionable,"check Arbitrum/fluid-lending custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,STEAKUSDC,931ea9be-5f4d-428e-beaf-205fc5b4e2b5,67344310.00,4.219530,4.219530,0.000000,3.955820,0.00000000,0.263710,7.939908,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,BBQUSDT,c743eac6-1906-4d96-a7aa-667426ec3cc7,25470928.00,4.631730,4.631730,0.000000,4.587730,0.00000000,0.044000,7.893787,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
