chain,project,symbol,pool,tvl_usd,apy,apy_base,apy_reward,apy_mean_30d,stablecoin,il_risk,exposure,outlier,score
Ethereum,morpho-blue,SKYMONEYUSDCRISKCAPITAL,438ef4a3-aad3-41a0-831b-f8cba5a6bdc5,14767143.00,5.302300,5.302300,0.000000,5.363070,True,no,single,False,5.287107
Ethereum,morpho-blue,GTUSDCF,ff113246-f6e0-4e10-b92c-abd3cd1d7dd6,17879742.00,5.327960,5.327960,0.000000,5.017830,True,no,single,False,5.250427
Mantle,aave-v3,USDT0,47da0cdd-7b1d-4927-9545-20b53b73afa8,20854872.00,5.228410,3.156910,2.071500,5.354690,True,no,single,False,5.196840
Ethereum,aave-v3,USDE,21e1ac8a-b3aa-4576-9506-0b40137721a0,140259575.00,5.235310,1.175540,4.059780,5.021480,True,no,single,False,5.181852
Ethereum,ether.fi-liquid,LIQUIDUSD,7c12f175-37bc-41db-967a-1d7f1f4a23c4,34549310.00,5.250680,5.250680,,4.811300,True,no,single,False,5.140835
Plasma,aave-v3,USDT0,e338c687-a5d8-4abf-bc04-127990811b0a,47825040.00,5.289890,4.480640,0.809250,4.552170,True,no,single,False,5.105460
Ethereum,yearn-finance,USDC,d5959f91-86ce-4177-b234-49e1f17d8f82,11548914.00,5.140500,5.140500,0.000000,4.963000,True,no,single,False,5.096125
Ethereum,aave-v3,RLUSD,98d07333-f5e4-4a48-8061-cfb4b73ccf79,82489430.00,5.239150,1.909540,3.329620,4.599190,True,no,single,False,5.079160
Ethereum,morpho-blue,GUSDTQ,09946099-2c68-4fcb-bc6c-32b6bf6019fe,24346467.00,5.541240,5.541240,0.000000,3.684730,True,no,single,False,5.077113
Ethereum,cap,STCUSD,bf6ca887-e357-49ec-8031-0d1a6141c455,72131064.00,5.083800,,,5.147990,True,no,single,False,5.067753
Ethereum,reservoir-protocol,WSRUSD,d646f32f-d5af-4e34-a29f-8ebeea6a8520,68547095.00,5.003510,,,4.772200,True,no,single,False,4.945683
Ethereum,morpho-blue,SKYMONEYUSDTSAVINGS,89641d1d-6ee2-431b-b131-a0b49c59e2c5,76254763.00,5.421410,4.739650,0.681760,3.495720,True,no,single,False,4.939987
Ethereum,falcon-finance,SUSDF,0f67a08c-3f24-4a4b-963e-541f5a5c0364,75567557.00,4.908070,4.908070,,4.892620,True,no,single,False,4.904208
Ethereum,fluid-lending,USDT,4e8cc592-c8d5-4824-8155-128ba521e903,107009254.00,5.100000,3.820000,1.280000,4.228800,True,no,single,False,4.882200
Ethereum,morpho-blue,STEAKUSDT,ded5a855-23c1-459d-8390-ba2707fac7c5,92769271.00,5.136590,5.136590,0.000000,3.847880,True,no,single,False,4.814412
Solana,jupiter-lend,JUPUSD,0dbb5021-00c7-40e2-9e2b-a757f4305ebf,78583509.00,4.857980,2.336810,2.521170,5.318890,True,no,single,False,4.742753
Ethereum,pendle,SRUSDE,db1bcb02-a222-479a-9efe-5d1a3625af36,10991996.00,4.731950,4.731950,,4.700640,True,no,single,False,4.724123
Ethereum,morpho-blue,BBQUSDT,c743eac6-1906-4d96-a7aa-667426ec3cc7,25474830.00,4.703710,4.703710,0.000000,4.587080,True,no,single,False,4.674552
Ethereum,morpho-blue,GTUSDCRWA,086d98c3-e23e-42b2-9425-cb8915724337,12993983.00,4.715320,4.715320,0.000000,5.078950,True,no,single,False,4.624413
Ethereum,maple,USDC,43641cf5-a92e-416b-bce9-27113d3c0db6,3146160051.00,4.644130,4.644130,0.000000,4.775090,True,no,single,False,4.611390
Ethereum,morpho-blue,SKYMONEYUSDSFLAGSHIP,61a5c79a-42d3-4de2-bcd2-13f73729c139,35739816.00,4.599490,0.330570,4.268920,4.519170,True,no,single,False,4.579410
Ethereum,morpho-blue,BBQUSDC,36977448-9ad9-43ea-85f2-60ee1b92ecd0,18839968.00,4.470150,4.470150,0.000000,4.636450,True,no,single,False,4.428575
Berachain,berapaw,RE7HONEY,6e43f0da-2563-40f3-95fa-8bcf6e10b72b,11320601.00,4.758060,,4.758060,6.099990,True,no,single,False,4.422578
Ethereum,centrifuge-protocol,USDS,ff1bb959-d160-4906-bad2-d3e37a1e92e8,865366178.00,4.759970,4.759970,,3.321590,True,no,single,False,4.400375
Pharos,centrifuge-protocol,USDC,b7ce5baf-7d76-46f7-8a7b-28b7e72ed2b7,15061110.00,4.759970,4.759970,,3.263260,True,no,single,False,4.385792
Ethereum,ethena-usde,SUSDE,66985a81-9c51-46ca-9977-42b4fe7bc6df,1772820104.00,4.509150,4.509150,,3.979120,True,no,single,False,4.376642
Ethereum,fluid-lending,USDC,4438dabc-7f0c-430b-8136-2722711ae663,107480243.00,4.760000,3.480000,1.280000,6.317660,True,no,single,False,4.370585
Base,morpho-blue,BBQUSDC,832c94db-4948-4f14-aa65-af6e737d984e,30269870.00,4.635070,4.635070,0.000000,5.716040,True,no,single,False,4.364827
Ethereum,pendle,USDAT,95b3493d-e474-4098-9794-973e86a06213,12203685.00,4.462940,3.642910,0.820030,5.017080,True,no,single,False,4.324405
Base,gauntlet,GTUSDA,c043062f-fcd6-47aa-b063-70691dc25c1c,67365730.00,4.281900,4.281900,,4.308490,True,no,single,False,4.275253
Ethereum,aave-v3,SGHO,19d024ed-9c70-4323-9a81-fe873ea5f0e0,122227277.00,4.250000,4.250000,,4.250000,True,no,single,False,4.250000
Ethereum,morpho-blue,ARMUSDCS,d2a99602-b0c7-4f6a-a329-82bdaad3df0c,31245750.00,4.316440,4.316440,0.000000,4.029090,True,no,single,False,4.244603
Plasma,fluid-lending,GHO,9c03c77d-e19c-4fcd-9b68-14e254676552,13172456.00,4.680000,2.050000,2.630000,6.551260,True,no,single,False,4.212185
Ethereum,crvusd,SCRVUSD,5fd328af-4203-471b-bd16-1705c726d926,19339758.00,4.694470,4.694470,,2.625990,True,no,single,False,4.177350
Gnosis,sdai,SDAI,13392973-be6e-4b2f-bce9-4f7dd53d1c3a,69714626.00,4.181030,4.181030,,4.214200,True,no,single,False,4.172738
Ethereum,morpho-blue,STEAKUSDC,931ea9be-5f4d-428e-beaf-205fc5b4e2b5,66399568.00,4.219530,4.219530,0.000000,3.950360,True,no,single,False,4.152238
Ethereum,morpho-blue,GUSDCQ,ba8f47b8-2cc2-4976-a0f9-1bd8da4bcb91,28879459.00,4.210410,4.210410,0.000000,3.936830,True,no,single,False,4.142015
Ethereum,euler-v2,PYUSD,fa55aa2b-e244-4ce4-ab00-9e96b39df32b,13955764.00,4.440150,1.610950,2.829190,5.657030,True,no,single,False,4.135930
Ethereum,morpho-blue,ARMUSDCP,49ff023e-209e-495a-9c1a-95d188e954b4,20598158.00,4.178820,4.178820,0.000000,3.949390,True,no,single,False,4.121462
Ethereum,maple,USDT,8edfdf02-cdbb-43f7-bca6-954e5fe56813,850335024.00,4.144590,4.144590,0.000000,4.239420,True,no,single,False,4.120883
Plasma,aave-v3,SUSDE,6cf9108a-4832-4681-95d7-757d51d3b24a,283628834.00,4.238040,0.000000,4.238040,3.711440,True,no,single,False,4.106390
Ethereum,morpho-blue,GTUSDCP,71b34441-5a46-431b-a9b3-8c081cd0d74c,94660824.00,4.159410,4.159410,0.000000,3.938450,True,no,single,False,4.104170
Ethereum,morpho-blue,HUSDT,ab3e992c-dffc-4895-a1a7-58f23460b092,12437213.00,4.341340,4.341340,0.000000,3.238840,True,no,single,False,4.065715
Katana,yearn-finance,VBUSDC,0f185c65-9d48-48d2-85ab-7728314988e6,13531266.00,4.193860,2.131530,2.062330,4.780180,True,no,single,False,4.047280
Mantle,aave-v3,SUSDE,a4e37545-203b-4412-9acd-3e8b1aa4d744,103797112.00,4.500000,0.000000,4.500000,2.639910,True,no,single,False,4.034978
Ethereum,multipli.fi,RWAUSDI,8863fc1e-2029-481d-a625-06abbcba9e11,137347908.00,3.888000,,,3.888000,True,no,single,False,3.888000
Base,multipli.fi,RWAUSDI,503c47d7-33e4-4527-8326-5fafb25fc65b,123817261.00,3.888000,,,3.888000,True,no,single,False,3.888000
Ethereum,morpho-blue,STEAKEURCV,d3b28212-a46b-4db8-8bb7-2c946b3cbe76,79332807.00,4.000000,4.000000,0.000000,3.349040,True,no,single,False,3.837260
Tron,justlend,USDD,f179ea6c-3345-432f-b727-9e68e7881105,281340591.00,3.865550,0.001090,3.864460,4.000930,True,no,single,False,3.831705
Ethereum,frax,SFRXUSD,42523cca-14b0-44f6-95fb-4781069520a5,33931386.00,3.849450,3.849450,,3.952570,True,no,single,False,3.823670
Base,morpho-blue,STEAKUSDC,ba68527f-8ec2-4c55-827a-8f4673ae047c,188230114.00,3.921360,3.921360,0.000000,4.401790,True,no,single,False,3.801252
Base,morpho-blue,GTUSDCP,df7ccfd1-2642-4d79-851a-a5b07d9b8a97,77235135.00,3.921220,3.921220,0.000000,4.403510,True,no,single,False,3.800648
