timestamp,close,volume,funding_rate,open_interest
2024-03-10T00:00:00+00:00,69019.7890625,35683977532.0,0.00054479,77404.994
2024-03-11T00:00:00+00:00,72123.90625,65716656765.0,0.00066396,79393.551
2024-03-12T00:00:00+00:00,71481.2890625,62554434520.0,0.00047935,78117.048
2024-03-13T00:00:00+00:00,73083.5,48212536929.0,0.00045402,80397.27
2024-03-14T00:00:00+00:00,71396.59375,59594605698.0,0.00038258,83981.907
2024-03-15T00:00:00+00:00,69403.7734375,78320453976.0,0.00015306,79345.217
2024-03-16T00:00:00+00:00,65315.1171875,46842198371.0,0.00020813,76563.969
2024-03-17T00:00:00+00:00,68390.625,44716864318.0,0.00024827,78535.72
2024-03-18T00:00:00+00:00,67548.59375,49261579492.0,0.00027195,79113.281
2024-03-19T00:00:00+00:00,61912.7734375,74215844794.0,0.00024018,77962.651
2024-03-20T00:00:00+00:00,67913.671875,66792634382.0,0.0001,76952.183
2024-03-21T00:00:00+00:00,65491.390625,44480350565.0,0.0001951,75345.505
2024-03-22T00:00:00+00:00,63778.76171875,41401116964.0,0.00011993,73071.968
2024-03-23T00:00:00+00:00,64062.203125,24738964812.0,0.00010806,73940.077
2024-03-24T00:00:00+00:00,67234.171875,27206630673.0,0.00015884,77033.64
2024-03-25T00:00:00+00:00,69958.8125,42700139523.0,0.00028815,78825.936
2024-03-26T00:00:00+00:00,69987.8359375,36010437368.0,0.00026764,79655.738
2024-03-27T00:00:00+00:00,69455.34375,40827113309.0,0.00043631,83137.811
2024-03-28T00:00:00+00:00,70744.953125,34374900617.0,0.0002943,83098.968
2024-03-29T00:00:00+00:00,69892.828125,25230851763.0,0.0003017,81097.306
2024-03-30T00:00:00+00:00,69645.3046875,17130241883.0,0.0003436,80226.288
2024-03-31T00:00:00+00:00,71333.6484375,20050941373.0,0.00040301,82700.764
2024-04-01T00:00:00+00:00,69702.1484375,34873527352.0,0.00027469,84163.725
2024-04-02T00:00:00+00:00,65446.97265625,50705240709.0,0.00016456,78042.079
2024-04-03T00:00:00+00:00,65980.8125,34488018367.0,0.0001,80098.881
2024-04-04T00:00:00+00:00,68508.84375,34439527442.0,0.0001,78454.81
2024-04-05T00:00:00+00:00,67837.640625,33748230056.0,0.0001,75172.17
2024-04-06T00:00:00+00:00,68896.109375,19967785809.0,0.0001,76496.262
2024-04-07T00:00:00+00:00,69362.5546875,21204930369.0,0.0001,80048.156
2024-04-08T00:00:00+00:00,71631.359375,37261432669.0,0.00035189,80241.385
2024-04-09T00:00:00+00:00,69139.015625,36426900409.0,0.00019061,80191.405
2024-04-10T00:00:00+00:00,70587.8828125,38318601774.0,0.0001,79461.363
2024-04-11T00:00:00+00:00,70060.609375,30153382941.0,0.00019763,81696.93
2024-04-12T00:00:00+00:00,67195.8671875,44129299406.0,0.00012214,80077.322
2024-04-13T00:00:00+00:00,63821.47265625,52869738185.0,0.0001,66896.244
2024-04-14T00:00:00+00:00,65738.7265625,49084320047.0,0.0001,67002.787
2024-04-15T00:00:00+00:00,63426.2109375,43595917654.0,0.0001,65973.063
2024-04-16T00:00:00+00:00,63811.86328125,42847528078.0,3.513e-05,64171.039
2024-04-17T00:00:00+00:00,61276.69140625,41915247049.0,6.534e-05,67046.957
2024-04-18T00:00:00+00:00,63512.75390625,36006307335.0,-3.334e-05,67633.638
2024-04-19T00:00:00+00:00,63843.5703125,49920425401.0,5.88e-05,65864.86
