asset,action,candidate_size_usd,gross_continuation_bps,fee_bps_per_fill,round_trip_fee_bps,spread_cost_bps,visible_depth_impact_bps,conservative_cost_bps,conservative_net_bps,near_touch_depth_5bps,visible_depth_usage,gate_action,reason
BSB,short_liquidation_squeeze_watch,500.00,,5.00000000,10.00000000,2.99535720,2.01210563,15.00746283,,2484.95900000,0.20121056,wait_for_label,no positive-direction monitor label yet
BEAT,long_liquidation_cascade_watch,1000.00,,5.00000000,10.00000000,0.22846438,2.78514371,13.01360809,,3590.47900000,0.27851437,wait_for_label,no positive-direction monitor label yet
ALLO,mixed_liquidation_flow_watch,500.00,,5.00000000,10.00000000,0.22303257,3.84407420,14.06710677,,1300.70330000,0.38440742,wait_for_label,no positive-direction monitor label yet
WLD,mixed_liquidation_flow_watch,5000.00,,5.00000000,10.00000000,2.08659364,3.91829465,16.00488829,,12760.65340000,0.39182947,wait_for_label,no positive-direction monitor label yet
BSB,short_liquidation_squeeze_watch,1000.00,,5.00000000,10.00000000,2.99535720,4.02421126,17.01956846,,2484.95900000,0.40242113,wait_for_label,no positive-direction monitor label yet
HOME,short_liquidation_squeeze_watch,250.00,,5.00000000,10.00000000,3.22216852,4.42395661,17.64612513,,565.10500000,0.44239566,wait_for_label,no positive-direction monitor label yet
BEAT,long_liquidation_cascade_watch,2500.00,,5.00000000,10.00000000,0.22846438,6.96285927,17.19132365,,3590.47900000,0.69628593,wait_for_label,no positive-direction monitor label yet
ALLO,mixed_liquidation_flow_watch,1000.00,,5.00000000,10.00000000,0.22303257,7.68814840,17.91118097,,1300.70330000,0.76881484,wait_for_label,no positive-direction monitor label yet
HOME,short_liquidation_squeeze_watch,500.00,,5.00000000,10.00000000,3.22216852,8.84791322,22.07008174,,565.10500000,0.88479132,wait_for_label,no positive-direction monitor label yet
BSB,short_liquidation_squeeze_watch,2500.00,,5.00000000,10.00000000,2.99535720,10.00000000,22.99535720,,2484.95900000,1.00605282,wait_for_label,no positive-direction monitor label yet
BEAT,long_liquidation_cascade_watch,5000.00,,5.00000000,10.00000000,0.22846438,10.00000000,20.22846438,,3590.47900000,1.39257185,wait_for_label,no positive-direction monitor label yet
HOME,short_liquidation_squeeze_watch,1000.00,,5.00000000,10.00000000,3.22216852,10.00000000,23.22216852,,565.10500000,1.76958264,wait_for_label,no positive-direction monitor label yet
ALLO,mixed_liquidation_flow_watch,2500.00,,5.00000000,10.00000000,0.22303257,10.00000000,20.22303257,,1300.70330000,1.92203710,wait_for_label,no positive-direction monitor label yet
BSB,short_liquidation_squeeze_watch,5000.00,,5.00000000,10.00000000,2.99535720,10.00000000,22.99535720,,2484.95900000,2.01210563,wait_for_label,no positive-direction monitor label yet
ALLO,mixed_liquidation_flow_watch,5000.00,,5.00000000,10.00000000,0.22303257,10.00000000,20.22303257,,1300.70330000,3.84407420,wait_for_label,no positive-direction monitor label yet
