timestamp,symbol,name,peg_type,peg_mechanism,current_supply_usd,day_change_usd,week_change_usd,month_change_usd,price
2026-06-08T15:11:40.503707+00:00,USP,USP,peggedUSD,crypto-backed,18152942.17,-8534.43,1036053.87,1161930.33,1.09439606
2026-06-08T15:11:40.503707+00:00,USDB,USDB Blast,peggedUSD,crypto-backed,14414798.00,-156.57,-839279.87,-5219902.46,0.99833345
2026-06-08T15:11:40.503707+00:00,DOC,Dollar on Chain,peggedUSD,crypto-backed,3715354.48,-1058.74,-757942.57,-871391.16,0.99967417
2026-06-08T15:11:40.503707+00:00,MUSD,Mezo USD,peggedUSD,crypto-backed,29527480.33,24093.70,-742340.51,7102631.07,1.00377572
2026-06-08T15:11:40.503707+00:00,avUSD,Avant USD,peggedUSD,fiat-backed,96850290.38,-30577.38,-742224.66,-2952391.98,0.99923690
2026-06-08T15:11:40.503707+00:00,USDA,Anzens USDA,peggedUSD,fiat-backed,7760155.16,0.00,-722043.39,-1809235.22,1.00005899
2026-06-08T15:11:40.503707+00:00,iUSD,Initia iUSD,peggedUSD,crytpo-backed,4699145.16,0.00,-704795.42,579894.31,0.00000000
2026-06-08T15:11:40.503707+00:00,OUSD,Origin Dollar,peggedUSD,crypto-backed,6368971.02,146814.53,704414.45,882714.01,1.00084897
2026-06-08T15:11:40.503707+00:00,USD0,Usual USD,peggedUSD,fiat-backed,553096176.09,-24960.08,-674266.94,-5287438.87,0.99949183
2026-06-08T15:11:40.503707+00:00,pUSD,Plume USD,peggedUSD,crypto-backed,4852972.69,-49302.20,-669917.26,-1336785.31,0.99619370
2026-06-08T15:11:40.503707+00:00,USDL,Liquid Loans USDL,peggedUSD,crypto-backed,1259887.14,-285786.58,-644843.33,-705209.84,1.04575091
2026-06-08T15:11:40.503707+00:00,pathUSD,PathUSD,peggedUSD,fiat-backed,8851277.87,83812.88,637757.85,2872402.57,0.99960761
2026-06-08T15:11:40.503707+00:00,LUSD,Liquity USD,peggedUSD,crypto-backed,28244888.30,-469597.19,-510898.83,-644534.73,1.00844279
2026-06-08T15:11:40.503707+00:00,GUSD,Gemini Dollar,peggedUSD,fiat-backed,39776489.21,61910.31,-510058.28,-733063.33,0.99879769
2026-06-08T15:11:40.503707+00:00,USDX,Hex Trust USDX,peggedUSD,fiat-backed,28427917.94,0.00,497043.11,-8434821.64,0.99408623
2026-06-08T15:11:40.503707+00:00,HOLLAR,Hydrated Dollar,peggedUSD,crypto-backed,11337129.25,-196426.05,-485532.98,342434.49,0.00000000
2026-06-08T15:11:40.503707+00:00,USDp,Parallel USDp,peggedUSD,crypto-backed,3332942.67,12360.96,471951.26,462977.85,0.99967417
2026-06-08T15:11:40.503707+00:00,USDO,OpenDollar USDO,peggedUSD,fiat-backed,34270000.19,580106.84,466969.13,-1171977.38,0.99837974
2026-06-08T15:11:40.503707+00:00,USDnr,Nerona USD,peggedUSD,fiat-backed,5646245.38,-351183.48,-419213.49,-4657972.37,0.99967417
2026-06-08T15:11:40.503707+00:00,SBC,Stable Coin,peggedUSD,fiat-backed,9013115.23,277794.65,393427.84,-973154.51,1.00002066
2026-06-08T15:11:40.503707+00:00,FEUSD,Felix feUSD,peggedUSD,crypto-backed,12625052.57,-22993.55,-389822.86,-1237008.67,0.99700293
2026-06-08T15:11:40.503707+00:00,USDV,Solomon USDv,peggedUSD,crypto-backed,1511870.41,0.00,-358106.40,-1509000.11,1.00077715
2026-06-08T15:11:40.503707+00:00,USDN,Noble Dollar,peggedUSD,fiat-backed,4544582.31,622.92,-344092.60,-2524669.59,0.00000000
2026-06-08T15:11:40.503707+00:00,MSUSD,Main Street USD,peggedUSD,crypto-backed,81793000.79,59884.31,333689.85,11928308.12,0.99935473
2026-06-08T15:11:40.503707+00:00,BtcUSD,Bitcoin USD,peggedUSD,crypto-backed,7958491.11,12304.50,240828.72,265120.23,1.00013945
2026-06-08T15:11:40.503707+00:00,UUSD,Youves uUSD,peggedUSD,crypto-backed,11742395.11,9927.11,-236497.24,-369656.08,0.97098068
2026-06-08T15:11:40.503707+00:00,IUSD,iUSD,peggedUSD,crypto-backed,1941259.62,26805.70,-236354.38,-237209.95,1.00606084
2026-06-08T15:11:40.503707+00:00,LISUSD,Lista USD,peggedUSD,crypto-backed,75146378.52,2367.20,-219877.08,-948841.10,0.99725183
2026-06-08T15:11:40.503707+00:00,USDN,SMARDEX USDN,peggedUSD,crypto-backed,757210.91,0.00,-219109.05,-555823.73,0.98887643
