sample_index,timestamp,asset,spread_bps,bid_depth_10_bps,ask_depth_10_bps,mid_price,imbalance_10_bps,near_depth_10bps_notional
0,2026-06-08T15:14:20.668057+00:00,ADA,4.09776087,543411.00000000,346950.00000000,0.170825000000,0.22065320,59267.73375000
0,2026-06-08T15:14:20.668057+00:00,AVAX,1.74743709,9548.51000000,11623.77000000,6.867200000000,-0.09801779,65571.52787200
0,2026-06-08T15:14:20.668057+00:00,BNB,0.33021282,96.82300000,126.17400000,605.670000000000,-0.13162060,58642.78641000
0,2026-06-08T15:14:20.668057+00:00,XMR,1.89012097,34.33500000,28.35100000,317.440000000000,0.09545991,8999.74144000
0,2026-06-08T15:14:20.668057+00:00,ENA,3.70655330,379254.00000000,413124.00000000,0.089031500000,-0.04274475,33765.55250100
1,2026-06-08T15:14:31.246839+00:00,BTC,0.15584942,62.34254000,98.22591000,64164.500000000000,-0.22347709,4000177.90783000
1,2026-06-08T15:14:31.246839+00:00,ETH,0.58721630,6006.97510000,7349.39590000,1702.950000000000,-0.10050790,10229578.24654500
1,2026-06-08T15:14:31.246839+00:00,SOL,0.14760474,9614.47000000,2307.97000000,67.748500000000,0.61283596,156361.50554500
1,2026-06-08T15:14:31.246839+00:00,HYPE,0.61565929,2972.90000000,9782.56000000,64.971000000000,-0.53386236,193152.28590000
1,2026-06-08T15:14:31.246839+00:00,WLD,3.07266861,910604.90000000,25845.70000000,0.488175000000,0.94480072,12617.22459750
1,2026-06-08T15:14:31.246839+00:00,JTO,14.85013092,3147.00000000,3034.00000000,0.639725000000,0.01828183,1940.92565000
1,2026-06-08T15:14:31.246839+00:00,ONDO,2.71333605,28802.00000000,50494.00000000,0.368550000000,-0.27355730,10614.97710000
1,2026-06-08T15:14:31.246839+00:00,AERO,13.22409084,5290.00000000,887.00000000,0.347850000000,0.71280557,308.54295000
1,2026-06-08T15:14:31.246839+00:00,ZEC,1.58229636,245.05000000,235.24000000,442.395000000000,0.02042516,104068.99980000
1,2026-06-08T15:14:31.246839+00:00,NEAR,3.65230095,16252.00000000,18610.10000000,2.190400000000,-0.06764079,35598.38080000
1,2026-06-08T15:14:31.246839+00:00,DOGE,1.71895144,2580261.00000000,1954619.00000000,0.087262500000,0.13796220,170564.94048750
1,2026-06-08T15:14:31.246839+00:00,LTC,0.45996044,2050.30000000,549.63000000,43.482000000000,0.57719631,23899.01166000
1,2026-06-08T15:14:31.246839+00:00,XRP,0.84505852,617334.00000000,463355.00000000,1.183350000000,0.14248225,548311.13925000
1,2026-06-08T15:14:31.246839+00:00,SUI,1.29560531,176303.60000000,162259.30000000,0.771840000000,0.04148210,125238.21811200
1,2026-06-08T15:14:31.246839+00:00,TON,2.26372383,9760.80000000,106262.50000000,1.767000000000,-0.83174414,17247.33360000
1,2026-06-08T15:14:31.246839+00:00,LIT,7.69872330,263.00000000,4405.00000000,1.558700000000,-0.88731791,409.93810000
1,2026-06-08T15:14:31.246839+00:00,VVV,0.54946564,962.39000000,357.63000000,18.199500000000,0.45814457,6508.68718500
1,2026-06-08T15:14:31.246839+00:00,ADA,2.33972859,443065.00000000,392447.00000000,0.170960000000,0.06058321,67092.73912000
1,2026-06-08T15:14:31.246839+00:00,AVAX,0.72779674,7076.71000000,7867.71000000,6.870050000000,-0.05292945,48617.35153550
1,2026-06-08T15:14:31.246839+00:00,BNB,0.66029482,182.97100000,168.16200000,605.790000000000,0.04217490,101870.85798000
1,2026-06-08T15:14:31.246839+00:00,XMR,0.31494575,45.43000000,46.28600000,317.515000000000,-0.00933316,14424.70645000
1,2026-06-08T15:14:31.246839+00:00,ENA,3.47886589,623671.00000000,387864.00000000,0.089109500000,0.23311798,34562.36710800
2,2026-06-08T15:14:41.810103+00:00,BTC,0.15581542,81.95458000,219.54522000,64178.500000000000,-0.45635400,5259722.01253000
2,2026-06-08T15:14:41.810103+00:00,ETH,0.58697502,7668.61830000,4048.25250000,1703.650000000000,0.30898743,6896805.37162500
2,2026-06-08T15:14:41.810103+00:00,SOL,0.14755030,8014.64000000,7474.54000000,67.773500000000,0.03486950,506575.73669000
2,2026-06-08T15:14:41.810103+00:00,HYPE,0.15389943,1738.32000000,69580.02000000,64.977500000000,-0.95125181,112951.68780000
2,2026-06-08T15:14:41.810103+00:00,WLD,0.20514293,52429.90000000,55260.70000000,0.487465000000,-0.02628642,25557.74120350
2,2026-06-08T15:14:41.810103+00:00,JTO,9.69568073,3894.00000000,18747.00000000,0.639460000000,-0.65602226,2490.05724000
2,2026-06-08T15:14:41.810103+00:00,ONDO,1.35760735,38499.00000000,50542.00000000,0.368295000000,-0.13525230,14178.98920500
2,2026-06-08T15:14:41.810103+00:00,AERO,8.04690194,5621.00000000,928.00000000,0.347960000000,0.71659795,322.90688000
2,2026-06-08T15:14:41.810103+00:00,ZEC,0.45221245,115.50000000,457.04000000,442.270000000000,-0.59653474,51082.18500000
2,2026-06-08T15:14:41.810103+00:00,NEAR,5.02134070,13732.60000000,17713.60000000,2.190650000000,-0.12659717,30083.32019000
2,2026-06-08T15:14:41.810103+00:00,DOGE,0.91660079,2276767.00000000,2100901.00000000,0.087279000000,0.04017344,183364.53837900
2,2026-06-08T15:14:41.810103+00:00,LTC,2.30033125,1906.04000000,1107.29000000,43.472000000000,0.26507220,48136.11088000
2,2026-06-08T15:14:41.810103+00:00,XRP,0.84570172,610150.00000000,434259.00000000,1.182450000000,0.16841199,513489.55455000
2,2026-06-08T15:14:41.810103+00:00,SUI,1.03629628,148331.00000000,118453.20000000,0.771980000000,0.11199239,91443.50133600
2,2026-06-08T15:14:41.810103+00:00,TON,0.56486006,22210.00000000,8136.90000000,1.770350000000,0.46374094,14405.16091500
2,2026-06-08T15:14:41.810103+00:00,LIT,8.34215677,1511.00000000,6134.00000000,1.558350000000,-0.60470896,2354.66685000
2,2026-06-08T15:14:41.810103+00:00,VVV,0.54946564,1379.31000000,423.26000000,18.199500000000,0.53038162,7703.12037000
2,2026-06-08T15:14:41.810103+00:00,ADA,1.75443726,237355.00000000,507486.00000000,0.170995000000,-0.36266935,40586.51822500
2,2026-06-08T15:14:41.810103+00:00,AVAX,1.16468670,7522.16000000,13939.81000000,6.868800000000,-0.29902427,51668.21260800
2,2026-06-08T15:14:41.810103+00:00,BNB,0.49520068,192.64400000,145.78100000,605.815000000000,0.13847381,88316.31651500
2,2026-06-08T15:14:41.810103+00:00,XMR,2.20489802,43.25500000,24.56700000,317.475000000000,0.27554481,7799.40832500
2,2026-06-08T15:14:41.810103+00:00,ENA,3.47851456,502611.00000000,507549.00000000,0.089118500000,-0.00488833,44791.93840350
