candidate_id,scope,context,asset,action,samples,hit_rate,mean_reward_bps,median_reward_bps,best_reward_bps,worst_reward_bps,score,decision,evidence,next_step
hype_unclassified_paper_short,asset_family_action,unclassified,HYPE,paper_short,1,0.00000000,-522.30066040,-522.30066040,-522.30066040,-522.30066040,-347.36710693,collect_more_labels,"samples=1, reward_range=-522.30..-522.30, examples=lane-hype-public-hypertracker-example-hype-wallet-flow-actionability",collect more labels for HYPE unclassified/paper_short; current sample count is 1
inj_volume_price_dislocation_paper_long,asset_family_action,volume_price_dislocation,INJ,paper_long,2,0.00000000,-54.99199146,-54.99199146,-54.99199146,-54.99199146,-69.98932195,reject_action_preference_candidate,"samples=2, reward_range=-54.99..-54.99, examples=paper-04-inj-volume-dislocation, paper-27-inj-policy-expansion",deprioritize INJ volume_price_dislocation/paper_long unless a new independent feature changes the reward profile
btc_unclassified_paper_short,asset_family_action,unclassified,BTC,paper_short,7,0.00000000,-59.28822593,-59.28822593,-59.28822593,-59.28822593,-103.57645186,reject_action_preference_candidate,"samples=7, reward_range=-59.29..-59.29, examples=paper-42-btc-basis-term-structure, lane-btc-btc-20260619-short-dated-delta-hedge-check, lane-btc-btc-20260612-short-dated-delta-hedge-check, lane-btc-crypto-equity-proxy-lead-short, lane-btc-exchange-beta-lead",deprioritize BTC unclassified/paper_short unless a new independent feature changes the reward profile
near_microstructure_flow_paper_long,asset_family_action,microstructure_flow,NEAR,paper_long,5,0.00000000,-72.39006684,-45.99089473,-30.70767227,-186.40652194,-105.88096157,reject_action_preference_candidate,"samples=5, reward_range=-186.41..-30.71, examples=lane-near-near-microstructure-flow-paper-probe, lane-near-near-microstructure-flow-probe, repeat-lane-near-near-microstructure-flow-paper-probe, repeat-lane-near-near-microstructure-flow-probe, repeat-paper-18-near-microstructure-flow",deprioritize NEAR microstructure_flow/paper_long unless a new independent feature changes the reward profile
eth_unclassified_paper_short,asset_family_action,unclassified,ETH,paper_short,5,0.00000000,-99.46671460,-99.46671460,-99.46671460,-99.46671460,-186.43342920,reject_action_preference_candidate,"samples=5, reward_range=-99.47..-99.47, examples=lane-eth-eth-20260619-short-dated-delta-hedge-check, lane-eth-crypto-equity-proxy-lead-short, lane-eth-exchange-beta-lead, lane-eth-eth-20260612-short-dated-delta-hedge-check, lane-eth-eth-2466411-event-crypto-hedge",deprioritize ETH unclassified/paper_short unless a new independent feature changes the reward profile
unclassified_paper_short,family_action,unclassified,,paper_short,17,0.00000000,-119.18558682,-99.46671460,-59.28822593,-522.30066040,-203.65230142,reject_action_preference_candidate,"samples=17, reward_range=-522.30..-59.29, examples=paper-42-btc-basis-term-structure, lane-btc-btc-20260619-short-dated-delta-hedge-check, lane-btc-btc-20260612-short-dated-delta-hedge-check, lane-btc-crypto-equity-proxy-lead-short, lane-btc-exchange-beta-lead",deprioritize unclassified/paper_short unless a new independent feature changes the reward profile
execution_edge_paper_long,family_action,execution_edge,,paper_long,6,0.33333333,-103.19861481,-186.40652194,63.21719944,-186.40652194,-266.27180342,reject_action_preference_candidate,"samples=6, reward_range=-186.41..63.22, examples=lane-sol-sol-maker-or-low-fee-small-execution-edge, lane-sol-sol-taker-small-execution-edge, paper-31-near-execution-edge, paper-33-near-execution-edge, lane-near-near-maker-or-low-fee-small-execution-edge",deprioritize execution_edge/paper_long unless a new independent feature changes the reward profile
sol_unclassified_paper_short,asset_family_action,unclassified,SOL,paper_short,3,0.00000000,-141.17152623,-153.55115582,-71.24743388,-198.71598899,-287.22268205,reject_action_preference_candidate,"samples=3, reward_range=-198.72..-71.25, examples=lane-sol-sol-2466411-event-crypto-hedge, lane-sol-sol-usdt-coinup.io-(futures)-positioning, repeat-lane-sol-sol-usdt-coinup.io-(futures)-positioning",deprioritize SOL unclassified/paper_short unless a new independent feature changes the reward profile
mega_microstructure_flow_paper_long,asset_family_action,microstructure_flow,MEGA,paper_long,2,0.00000000,-227.37264935,-227.37264935,-186.09378971,-268.65150898,-299.83019913,reject_action_preference_candidate,"samples=2, reward_range=-268.65..-186.09, examples=repeat-paper-05-mega-microstructure-flow, repeat-repeat-paper-05-mega-microstructure-flow",deprioritize MEGA microstructure_flow/paper_long unless a new independent feature changes the reward profile
intraday_derivatives_paper_short,family_action,intraday_derivatives,,paper_short,21,0.19047619,-165.62184758,-197.99560010,21.89905263,-275.86206897,-343.85554292,reject_action_preference_candidate,"samples=21, reward_range=-275.86..21.90, examples=lane-near-near-sum-top-long-short-ratio-intraday-derivatives-feature, lane-near-near-count-long-short-ratio-intraday-derivatives-feature, lane-near-near-count-top-long-short-ratio-intraday-derivatives-feature, lane-near-near-mean-sum-top-long-short-ratio-binance-derivatives-symbol-feature, paper-21-arb-intraday-derivatives",deprioritize intraday_derivatives/paper_short unless a new independent feature changes the reward profile
near_execution_edge_paper_long,asset_family_action,execution_edge,NEAR,paper_long,4,0.00000000,-186.40652194,-186.40652194,-186.40652194,-186.40652194,-362.81304388,reject_action_preference_candidate,"samples=4, reward_range=-186.41..-186.41, examples=paper-31-near-execution-edge, paper-33-near-execution-edge, lane-near-near-maker-or-low-fee-small-execution-edge, lane-near-near-taker-small-execution-edge",deprioritize NEAR execution_edge/paper_long unless a new independent feature changes the reward profile
arb_intraday_derivatives_paper_short,asset_family_action,intraday_derivatives,ARB,paper_short,16,0.00000000,-215.92275671,-197.99560010,-107.81344640,-275.86206897,-398.91835681,reject_action_preference_candidate,"samples=16, reward_range=-275.86..-107.81, examples=paper-21-arb-intraday-derivatives, paper-22-arb-intraday-derivatives, lane-arb-arb-count-long-short-ratio-short-opposite-intraday-paper-label, lane-arb-arb-count-top-long-short-ratio-short-opposite-intraday-paper-label, lane-arb-arb-count-long-short-ratio-repeat-intraday-derivatives-feature",deprioritize ARB intraday_derivatives/paper_short unless a new independent feature changes the reward profile
protocol_fee_paper_short,family_action,protocol_fee,,paper_short,5,0.00000000,-447.77670264,-500.60871682,-153.55115582,-561.81426332,-935.88541946,reject_action_preference_candidate,"samples=5, reward_range=-561.81..-153.55, examples=lane-sol-sol-protocol-fee-actionability, lane-hype-hype-protocol-fee-growth, lane-hype-hype-protocol-fee-actionability, repeat-lane-hype-hype-protocol-fee-actionability, repeat-lane-hype-hype-protocol-fee-growth",deprioritize protocol_fee/paper_short unless a new independent feature changes the reward profile
hype_protocol_fee_paper_short,asset_family_action,protocol_fee,HYPE,paper_short,4,0.00000000,-521.33308934,-511.45468861,-500.60871682,-561.81426332,-1022.78777795,reject_action_preference_candidate,"samples=4, reward_range=-561.81..-500.61, examples=lane-hype-hype-protocol-fee-growth, lane-hype-hype-protocol-fee-actionability, repeat-lane-hype-hype-protocol-fee-actionability, repeat-lane-hype-hype-protocol-fee-growth",deprioritize HYPE protocol_fee/paper_short unless a new independent feature changes the reward profile
token_unlock_paper_short,family_action,token_unlock,,paper_short,4,0.00000000,-527.61456727,-524.01764446,-500.60871682,-561.81426332,-1041.63221172,reject_action_preference_candidate,"samples=4, reward_range=-561.81..-500.61, examples=lane-hype-hype-unlock-actionability, paper-50-hype-token-unlock, repeat-paper-50-hype-token-unlock, repeat-lane-hype-hype-unlock-actionability",deprioritize token_unlock/paper_short unless a new independent feature changes the reward profile
hype_token_unlock_paper_short,asset_family_action,token_unlock,HYPE,paper_short,4,0.00000000,-527.61456727,-524.01764446,-500.60871682,-561.81426332,-1041.63221172,reject_action_preference_candidate,"samples=4, reward_range=-561.81..-500.61, examples=lane-hype-hype-unlock-actionability, paper-50-hype-token-unlock, repeat-paper-50-hype-token-unlock, repeat-lane-hype-hype-unlock-actionability",deprioritize HYPE token_unlock/paper_short unless a new independent feature changes the reward profile
