timestamp,category_id,category_name,category_action,category_change_24h,coin_id,symbol,coin_name,coin_market_cap,coin_volume_24h,direction,raw_return_15m,raw_return_1h,directional_return_15m,directional_return_1h,label_status,score
2026-06-08T12:37:00.058573+00:00,groypad-ecosystem,Groypad Ecosystem,sector_momentum_watch,37.54539778,gotta-go-fast,FAST,Gotta Go Fast,246776.0000,6244.1500,1,,,,,not_hyperliquid,41.13439338
2026-06-08T12:37:00.058573+00:00,groypad-ecosystem,Groypad Ecosystem,sector_momentum_watch,37.54539778,long-capital,LNG,Long Capital,183379.0000,1241.6900,1,,,,,not_hyperliquid,41.13432998
2026-06-08T12:37:00.058573+00:00,groypad-ecosystem,Groypad Ecosystem,sector_momentum_watch,37.54539778,durovs-dog,PYONYA,Durovs Dog,28836.0000,326.7500,1,,,,,not_hyperliquid,41.13417544
2026-06-08T12:37:00.058573+00:00,erc-404,ERC 404,sector_momentum_watch,35.82981657,pandora,PANDORA,Pandora,1648281.0000,44021.0000,1,,,,,tradable_pending_label,39.75048543
2026-06-08T12:37:00.058573+00:00,erc-404,ERC 404,sector_momentum_watch,35.82981657,defrogs,DEFROGS,DeFrogs,151647.0000,4.4200,1,,,,,not_hyperliquid,39.74898880
2026-06-08T12:37:00.058573+00:00,erc-404,ERC 404,sector_momentum_watch,35.82981657,pundi-x-purse,PURSE,Pundi X PURSE,88209.0000,1.5100,1,,,,,not_hyperliquid,39.74892536
2026-06-08T12:37:00.058573+00:00,market-making-solution,Market-Making Solution,sector_momentum_watch,32.83595138,milk-money,MM,Milk Money,1306951.0000,77017.0000,1,,,,,not_hyperliquid,36.62779759
2026-06-08T12:37:00.058573+00:00,market-making-solution,Market-Making Solution,sector_momentum_watch,32.83595138,human-protocol,HMT,HUMAN Protocol,1284548.0000,312.9700,1,,,,,not_hyperliquid,36.62777519
2026-06-08T12:37:00.058573+00:00,market-making-solution,Market-Making Solution,sector_momentum_watch,32.83595138,gamma-strategies,GAMMA,Gamma Strategies,40515.0000,1.4100,1,,,,,not_hyperliquid,36.62653116
2026-06-08T12:37:00.058573+00:00,privacy,Privacy,sector_momentum_watch,24.00920802,zcash,ZEC,Zcash,7046075468.0000,1068890778.0000,1,,,,,tradable_pending_label,35.84512910
2026-06-08T12:37:00.058573+00:00,privacy,Privacy,sector_momentum_watch,24.00920802,monero,XMR,Monero,5872047550.0000,105484491.0000,1,,,,,tradable_pending_label,34.67110118
2026-06-08T12:37:00.058573+00:00,privacy,Privacy,sector_momentum_watch,24.00920802,chainlink,LINK,Chainlink,5770978998.0000,311833847.0000,1,,,,,tradable_pending_label,34.57003263
2026-06-08T12:37:00.058573+00:00,nft-lending-borrowing,NFT Lending/Borrowing,sector_stress_watch,-28.14243957,alpha-quark-token,AQT,Alpha Quark,11714044.0000,2612019.0000,-1,,,,,not_hyperliquid,31.94969600
2026-06-08T12:37:00.058573+00:00,paal-ai,PAAL AI Launchpad,sector_momentum_watch,22.30788544,paal-ai,PAAL,PAAL AI,6275741.0000,378556.0000,1,,,,,not_hyperliquid,25.07668456
2026-06-08T12:37:00.058573+00:00,paal-ai,PAAL AI Launchpad,sector_momentum_watch,22.30788544,ait-protocol,AIT,AIT Protocol,88272.0000,234.5000,1,,,,,not_hyperliquid,25.07049709
2026-06-08T12:37:00.058573+00:00,paal-ai,PAAL AI Launchpad,sector_momentum_watch,22.30788544,vaulttech,$VAULT,Vault AI,30354.0000,2.9200,1,,,,,not_hyperliquid,25.07043917
2026-06-08T12:37:00.058573+00:00,gaming,Gaming (GameFi),sector_momentum_watch,19.45745825,audiera,BEAT,Audiera,1238060163.0000,91448476.0000,1,,,,,not_hyperliquid,24.28678130
2026-06-08T12:37:00.058573+00:00,quantum-resistant,Quantum-Resistant,sector_momentum_watch,13.99295396,zcash,ZEC,Zcash,7046075468.0000,1068890778.0000,1,,,,,tradable_pending_label,23.69465871
2026-06-08T12:37:00.058573+00:00,gaming,Gaming (GameFi),sector_momentum_watch,19.45745825,the9bit,9BIT,The9bit,382824309.0000,8219037.0000,1,,,,,not_hyperliquid,23.43154545
