asset,scenario,observations,long_venue,short_venue,mean_annualized_spread,positive_net_8h_rate,mean_net_8h_proxy,mean_net_24h_proxy,fee_round_trip_rate,net_8h_after_fee,net_24h_after_fee,mean_breakeven_hold_hours,mean_capacity_proxy_notional,survives_8h,survives_24h
VIRTUAL,one_bps_each,6,OkxSwap,HlPerp,0.16660157,0,-0.00118467,-0.00088037,0.0004,-0.00158467,-0.00128037,70.9778,12468.83114396,False,False
ONDO,low_fee,6,OkxSwap,HlPerp,0.13289084,0,-0.00134063,-0.0010979,0.0002,-0.00154063,-0.0012979,96.4801,120048.9306657,False,False
CHIP,one_bps_each,6,OkxSwap,HlPerp,0.27951219,0,-0.00141204,-0.00090152,0.0004,-0.00181204,-0.00130152,52.2635,9080.25199824,False,False
UNI,low_fee,6,OkxSwap,HlPerp,0.05129635,0,-0.00120367,-0.00110998,0.0002,-0.00140367,-0.00130998,213.3372,10508.26734573,False,False
XPL,one_bps_each,6,OkxSwap,HlPerp,0.3916159,0,-0.00164075,-0.00092547,0.0004,-0.00204075,-0.00132547,44.6962,77684.57472929,False,False
XLM,very_low_fee,6,OkxSwap,HlPerp,0.20792188,0,-0.00162805,-0.00124829,0.00008,-0.00170805,-0.00132829,76.5679,103414.999882,False,False
APT,low_fee,6,OkxSwap,HlPerp,0.20374438,0,-0.00150121,-0.00112907,0.0002,-0.00170121,-0.00132907,72.5549,16637.73939721,False,False
ARB,low_fee,6,OkxSwap,HlPerp,0.19188761,0,-0.00148258,-0.0011321,0.0002,-0.00168258,-0.0013321,75.6792,20326.59313177,False,False
INJ,one_bps_each,6,OkxSwap,HlPerp,0.45971813,0,-0.00177332,-0.00093365,0.0004,-0.00217332,-0.00133365,41.7929,20683.78607843,False,False
LDO,very_low_fee,6,OkxSwap,HlPerp,0.18284643,0,-0.00166699,-0.00133303,0.00008,-0.00174699,-0.00141303,87.8356,5998.80707144,False,False
TRUMP,very_low_fee,6,HlPerp,OkxSwap,0.05079019,0,-0.00144156,-0.00134879,0.00008,-0.00152156,-0.00142879,258.8802,12249.68972617,False,False
XLM,low_fee,6,OkxSwap,HlPerp,0.20792188,0,-0.00162805,-0.00124829,0.0002,-0.00182805,-0.00144829,76.5679,103414.999882,False,False
ASTER,one_bps_each,6,OkxSwap,HlPerp,0.01522668,0,-0.00107746,-0.00104965,0.0004,-0.00147746,-0.00144965,628.9469,44252.8508002,False,False
STRK,very_low_fee,6,HlPerp,OkxSwap,0.01865162,0,-0.00140797,-0.00137391,0.00008,-0.00148797,-0.00145391,1232.5673,8547.13177856,False,False
IP,one_bps_each,6,OkxSwap,HlPerp,0.3059329,0,-0.00162034,-0.00106155,0.0004,-0.00202034,-0.00146155,54.4441,3315.90538706,False,False
ZEN,very_low_fee,5,HlPerp,OkxSwap,0.35783706,0,-0.00203835,-0.00138477,0.00008,-0.00211835,-0.00146477,57.9969,3059.17632198,False,False
MEGA,very_low_fee,6,OkxSwap,HlPerp,0.45472407,0,-0.00222512,-0.00139457,0.00008,-0.00230512,-0.00147457,50.8304,9735.91110868,False,False
LIT,very_low_fee,6,OkxSwap,HlPerp,0.07718439,0,-0.00153779,-0.00139682,0.00008,-0.00161779,-0.00147682,182.4602,51686.2792,False,False
BERA,very_low_fee,6,OkxSwap,HlPerp,0.189249,0,-0.00174742,-0.00140176,0.00008,-0.00182742,-0.00148176,88.9143,2848.20334957,False,False
ONDO,one_bps_each,6,OkxSwap,HlPerp,0.13289084,0,-0.00134063,-0.0010979,0.0004,-0.00174063,-0.0014979,96.4801,120048.9306657,False,False
UNI,one_bps_each,6,OkxSwap,HlPerp,0.05129635,0,-0.00120367,-0.00110998,0.0004,-0.00160367,-0.00150998,213.3372,10508.26734573,False,False
APT,one_bps_each,6,OkxSwap,HlPerp,0.20374438,0,-0.00150121,-0.00112907,0.0004,-0.00190121,-0.00152907,72.5549,16637.73939721,False,False
ARB,one_bps_each,6,OkxSwap,HlPerp,0.19188761,0,-0.00148258,-0.0011321,0.0004,-0.00188258,-0.0015321,75.6792,20326.59313177,False,False
LDO,low_fee,6,OkxSwap,HlPerp,0.18284643,0,-0.00166699,-0.00133303,0.0002,-0.00186699,-0.00153303,87.8356,5998.80707144,False,False
TRUMP,low_fee,6,HlPerp,OkxSwap,0.05079019,0,-0.00144156,-0.00134879,0.0002,-0.00164156,-0.00154879,258.8802,12249.68972617,False,False
STRK,low_fee,6,HlPerp,OkxSwap,0.01865162,0,-0.00140797,-0.00137391,0.0002,-0.00160797,-0.00157391,1232.5673,8547.13177856,False,False
ZEN,low_fee,5,HlPerp,OkxSwap,0.35783706,0,-0.00203835,-0.00138477,0.0002,-0.00223835,-0.00158477,57.9969,3059.17632198,False,False
MEGA,low_fee,6,OkxSwap,HlPerp,0.45472407,0,-0.00222512,-0.00139457,0.0002,-0.00242512,-0.00159457,50.8304,9735.91110868,False,False
LIT,low_fee,6,OkxSwap,HlPerp,0.07718439,0,-0.00153779,-0.00139682,0.0002,-0.00173779,-0.00159682,182.4602,51686.2792,False,False
BERA,low_fee,6,OkxSwap,HlPerp,0.189249,0,-0.00174742,-0.00140176,0.0002,-0.00194742,-0.00160176,88.9143,2848.20334957,False,False
LAYER,very_low_fee,6,OkxSwap,HlPerp,0.26683939,0,-0.00201818,-0.0015308,0.00008,-0.00209818,-0.0016108,74.1693,1715.45434727,False,False
BIO,very_low_fee,6,OkxSwap,HlPerp,0.26790002,0,-0.00202468,-0.00153536,0.00008,-0.00210468,-0.00161536,75.0052,5817.24620817,False,False
SEI,very_low_fee,6,OkxSwap,HlPerp,0.13312528,0,-0.00180496,-0.0015618,0.00008,-0.00188496,-0.0016418,128.0463,9182.60748349,False,False
XLM,one_bps_each,6,OkxSwap,HlPerp,0.20792188,0,-0.00162805,-0.00124829,0.0004,-0.00202805,-0.00164829,76.5679,103414.999882,False,False
DOT,very_low_fee,5,OkxSwap,HlPerp,0.27670295,0,-0.00211395,-0.00160856,0.00008,-0.00219395,-0.00168856,74.9837,8770.76706437,False,False
LAYER,low_fee,6,OkxSwap,HlPerp,0.26683939,0,-0.00201818,-0.0015308,0.0002,-0.00221818,-0.0017308,74.1693,1715.45434727,False,False
LDO,one_bps_each,6,OkxSwap,HlPerp,0.18284643,0,-0.00166699,-0.00133303,0.0004,-0.00206699,-0.00173303,87.8356,5998.80707144,False,False
BIO,low_fee,6,OkxSwap,HlPerp,0.26790002,0,-0.00202468,-0.00153536,0.0002,-0.00222468,-0.00173536,75.0052,5817.24620817,False,False
CFX,very_low_fee,6,OkxSwap,HlPerp,0.25494659,0,-0.00212585,-0.0016602,0.00008,-0.00220585,-0.0017402,81.0507,4959.6473704,False,False
TRUMP,one_bps_each,6,HlPerp,OkxSwap,0.05079019,0,-0.00144156,-0.00134879,0.0004,-0.00184156,-0.00174879,258.8802,12249.68972617,False,False
SEI,low_fee,6,OkxSwap,HlPerp,0.13312528,0,-0.00180496,-0.0015618,0.0002,-0.00200496,-0.0017618,128.0463,9182.60748349,False,False
STRK,one_bps_each,6,HlPerp,OkxSwap,0.01865162,0,-0.00140797,-0.00137391,0.0004,-0.00180797,-0.00177391,1232.5673,8547.13177856,False,False
ZEN,one_bps_each,5,HlPerp,OkxSwap,0.35783706,0,-0.00203835,-0.00138477,0.0004,-0.00243835,-0.00178477,57.9969,3059.17632198,False,False
MEGA,one_bps_each,6,OkxSwap,HlPerp,0.45472407,0,-0.00222512,-0.00139457,0.0004,-0.00262512,-0.00179457,50.8304,9735.91110868,False,False
LIT,one_bps_each,6,OkxSwap,HlPerp,0.07718439,0,-0.00153779,-0.00139682,0.0004,-0.00193779,-0.00179682,182.4602,51686.2792,False,False
S,very_low_fee,6,OkxSwap,HlPerp,0.32177904,0,-0.0023046,-0.00171688,0.00008,-0.0023846,-0.00179688,71.2438,1602.60543083,False,False
BERA,one_bps_each,6,OkxSwap,HlPerp,0.189249,0,-0.00174742,-0.00140176,0.0004,-0.00214742,-0.00180176,88.9143,2848.20334957,False,False
DOT,low_fee,5,OkxSwap,HlPerp,0.27670295,0,-0.00211395,-0.00160856,0.0002,-0.00231395,-0.00180856,74.9837,8770.76706437,False,False
WIF,very_low_fee,6,HlPerp,OkxSwap,0.05721248,0,-0.00185126,-0.00174676,0.00008,-0.00193126,-0.00182676,297.5712,12289.77838927,False,False
ICP,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00174952,-0.00174952,0.00008,-0.00182952,-0.00182952,0,11510.64269177,False,False
CFX,low_fee,6,OkxSwap,HlPerp,0.25494659,0,-0.00212585,-0.0016602,0.0002,-0.00232585,-0.0018602,81.0507,4959.6473704,False,False
STABLE,very_low_fee,6,OkxSwap,HlPerp,0.29571594,0,-0.00233895,-0.00179882,0.00008,-0.00241895,-0.00187882,79.9313,11491.09580401,False,False
S,low_fee,6,OkxSwap,HlPerp,0.32177904,0,-0.0023046,-0.00171688,0.0002,-0.0025046,-0.00191688,71.2438,1602.60543083,False,False
LAYER,one_bps_each,6,OkxSwap,HlPerp,0.26683939,0,-0.00201818,-0.0015308,0.0004,-0.00241818,-0.0019308,74.1693,1715.45434727,False,False
BIO,one_bps_each,6,OkxSwap,HlPerp,0.26790002,0,-0.00202468,-0.00153536,0.0004,-0.00242468,-0.00193536,75.0052,5817.24620817,False,False
WIF,low_fee,6,HlPerp,OkxSwap,0.05721248,0,-0.00185126,-0.00174676,0.0002,-0.00205126,-0.00194676,297.5712,12289.77838927,False,False
ICP,low_fee,6,OkxSwap,HlPerp,0,0,-0.00174952,-0.00174952,0.0002,-0.00194952,-0.00194952,0,11510.64269177,False,False
SEI,one_bps_each,6,OkxSwap,HlPerp,0.13312528,0,-0.00180496,-0.0015618,0.0004,-0.00220496,-0.0019618,128.0463,9182.60748349,False,False
JUP,very_low_fee,6,OkxSwap,HlPerp,0.22435002,0,-0.00229322,-0.00188345,0.00008,-0.00237322,-0.00196345,97.7744,10931.94285637,False,False
ZRO,very_low_fee,3,OkxSwap,HlPerp,0,0,-0.00191401,-0.00191401,0.00008,-0.00199401,-0.00199401,0,24407.42678647,False,False
STABLE,low_fee,6,OkxSwap,HlPerp,0.29571594,0,-0.00233895,-0.00179882,0.0002,-0.00253895,-0.00199882,79.9313,11491.09580401,False,False
CC,very_low_fee,6,OkxSwap,HlPerp,0.20014425,0,-0.00229293,-0.00192737,0.00008,-0.00237293,-0.00200737,110.5101,35523.29506873,False,False
DOT,one_bps_each,5,OkxSwap,HlPerp,0.27670295,0,-0.00211395,-0.00160856,0.0004,-0.00251395,-0.00200856,74.9837,8770.76706437,False,False
