asset,scenario,observations,long_venue,short_venue,mean_annualized_spread,positive_net_8h_rate,mean_net_8h_proxy,mean_net_24h_proxy,fee_round_trip_rate,net_8h_after_fee,net_24h_after_fee,mean_breakeven_hold_hours,mean_capacity_proxy_notional,survives_8h,survives_24h
JTO,very_low_fee,6,OkxSwap,HlPerp,1.04707635,0,-0.00138767,0.0005248,0.00008,-0.00146767,0.0004448,19.6073,51289.301529,False,True
BABY,very_low_fee,6,HlPerp,OkxSwap,1.37613752,0,-0.00204432,0.00046917,0.00008,-0.00212432,0.00038917,21.0486,18227.15298962,False,True
JTO,low_fee,6,OkxSwap,HlPerp,1.04707635,0,-0.00138767,0.0005248,0.0002,-0.00158767,0.0003248,19.6073,51289.301529,False,True
ZEC,very_low_fee,6,OkxSwap,HlPerp,0.3456094,0,-0.00023688,0.00039437,0.00008,-0.00031688,0.00031437,14.0313,112828.19123333,False,True
BABY,low_fee,6,HlPerp,OkxSwap,1.37613752,0,-0.00204432,0.00046917,0.0002,-0.00224432,0.00026917,21.0486,18227.15298962,False,True
ZEC,low_fee,6,OkxSwap,HlPerp,0.3456094,0,-0.00023688,0.00039437,0.0002,-0.00043688,0.00019437,14.0313,112828.19123333,False,True
BTC,very_low_fee,6,OkxSwap,HlPerp,0.12639478,0.5,0.00000433,0.00023519,0.00008,-0.00007567,0.00015519,7.7035,493421.184865,False,True
JTO,one_bps_each,6,OkxSwap,HlPerp,1.04707635,0,-0.00138767,0.0005248,0.0004,-0.00178767,0.0001248,19.6073,51289.301529,False,True
BABY,one_bps_each,6,HlPerp,OkxSwap,1.37613752,0,-0.00204432,0.00046917,0.0004,-0.00244432,0.00006917,21.0486,18227.15298962,False,True
TIA,very_low_fee,6,OkxSwap,HlPerp,0.60950879,0,-0.00099793,0.00011533,0.00008,-0.00107793,0.00003533,22.3454,7005.96491417,False,True
BTC,low_fee,6,OkxSwap,HlPerp,0.12639478,0.5,0.00000433,0.00023519,0.0002,-0.00019567,0.00003519,7.7035,493421.184865,False,True
ZEC,one_bps_each,6,OkxSwap,HlPerp,0.3456094,0,-0.00023688,0.00039437,0.0004,-0.00063688,-0.00000563,14.0313,112828.19123333,False,False
SOL,very_low_fee,6,HlPerp,OkxSwap,0.12328213,0,-0.00017195,0.00005322,0.00008,-0.00025195,-0.00002678,20.0307,3123575.75932456,False,False
WLD,very_low_fee,6,OkxSwap,HlPerp,0.40568579,0,-0.00073907,0.00000191,0.00008,-0.00081907,-0.00007809,23.964,484440.98077761,False,False
TIA,low_fee,6,OkxSwap,HlPerp,0.60950879,0,-0.00099793,0.00011533,0.0002,-0.00119793,-0.00008467,22.3454,7005.96491417,False,False
HYPE,very_low_fee,6,OkxSwap,HlPerp,0.16984869,0,-0.0003201,-0.00000988,0.00008,-0.0004001,-0.00008988,24.4984,3679499.29666667,False,False
SOL,low_fee,6,HlPerp,OkxSwap,0.12328213,0,-0.00017195,0.00005322,0.0002,-0.00037195,-0.00014678,20.0307,3123575.75932456,False,False
BTC,one_bps_each,6,OkxSwap,HlPerp,0.12639478,0.5,0.00000433,0.00023519,0.0004,-0.00039567,-0.00016481,7.7035,493421.184865,False,False
DOGE,very_low_fee,6,OkxSwap,HlPerp,0.11563441,0,-0.00032755,-0.00011635,0.00008,-0.00040755,-0.00019635,32.718,98216.33029323,False,False
WLD,low_fee,6,OkxSwap,HlPerp,0.40568579,0,-0.00073907,0.00000191,0.0002,-0.00093907,-0.00019809,23.964,484440.98077761,False,False
HYPE,low_fee,6,OkxSwap,HlPerp,0.16984869,0,-0.0003201,-0.00000988,0.0002,-0.0005201,-0.00020988,24.4984,3679499.29666667,False,False
AI,very_low_fee,6,HlPerp,OkxSwap,0.1095,0,-0.00033113,-0.00013113,0.00008,-0.00041113,-0.00021113,34.4902,0,False,False
XRP,very_low_fee,6,OkxSwap,HlPerp,0.33076577,0,-0.00079738,-0.00019324,0.00008,-0.00087738,-0.00027324,29.1487,377843.363303,False,False
TIA,one_bps_each,6,OkxSwap,HlPerp,0.60950879,0,-0.00099793,0.00011533,0.0004,-0.00139793,-0.00028467,22.3454,7005.96491417,False,False
MON,very_low_fee,6,OkxSwap,HlPerp,0.63096696,0,-0.00135965,-0.0002072,0.00008,-0.00143965,-0.0002872,26.8651,24323.18599482,False,False
DOGE,low_fee,6,OkxSwap,HlPerp,0.11563441,0,-0.00032755,-0.00011635,0.0002,-0.00052755,-0.00031635,32.718,98216.33029323,False,False
AI,low_fee,6,HlPerp,OkxSwap,0.1095,0,-0.00033113,-0.00013113,0.0002,-0.00053113,-0.00033113,34.4902,0,False,False
SOL,one_bps_each,6,HlPerp,OkxSwap,0.12328213,0,-0.00017195,0.00005322,0.0004,-0.00057195,-0.00034678,20.0307,3123575.75932456,False,False
XRP,low_fee,6,OkxSwap,HlPerp,0.33076577,0,-0.00079738,-0.00019324,0.0002,-0.00099738,-0.00039324,29.1487,377843.363303,False,False
AAVE,very_low_fee,6,OkxSwap,HlPerp,0.27640342,0,-0.00082222,-0.00031737,0.00008,-0.00090222,-0.00039737,34.0415,52850.04995315,False,False
WLD,one_bps_each,6,OkxSwap,HlPerp,0.40568579,0,-0.00073907,0.00000191,0.0004,-0.00113907,-0.00039809,23.964,484440.98077761,False,False
MON,low_fee,6,OkxSwap,HlPerp,0.63096696,0,-0.00135965,-0.0002072,0.0002,-0.00155965,-0.0004072,26.8651,24323.18599482,False,False
HYPE,one_bps_each,6,OkxSwap,HlPerp,0.16984869,0,-0.0003201,-0.00000988,0.0004,-0.0007201,-0.00040988,24.4984,3679499.29666667,False,False
LINK,very_low_fee,6,OkxSwap,HlPerp,0.09890133,0,-0.00057942,-0.00039877,0.00008,-0.00065942,-0.00047877,59.2947,37261.22727268,False,False
BNB,very_low_fee,6,OkxSwap,HlPerp,0.05389454,0,-0.00050133,-0.00040289,0.00008,-0.00058133,-0.00048289,90.2971,66011.6493255,False,False
DOGE,one_bps_each,6,OkxSwap,HlPerp,0.11563441,0,-0.00032755,-0.00011635,0.0004,-0.00072755,-0.00051635,32.718,98216.33029323,False,False
AAVE,low_fee,6,OkxSwap,HlPerp,0.27640342,0,-0.00082222,-0.00031737,0.0002,-0.00102222,-0.00051737,34.0415,52850.04995315,False,False
MEW,very_low_fee,6,HlPerp,OkxSwap,0.1095,0,-0.00064465,-0.00044465,0.00008,-0.00072465,-0.00052465,59.5716,0,False,False
AI,one_bps_each,6,HlPerp,OkxSwap,0.1095,0,-0.00033113,-0.00013113,0.0004,-0.00073113,-0.00053113,34.4902,0,False,False
WLFI,very_low_fee,6,OkxSwap,HlPerp,0.22946558,0,-0.00092025,-0.00050113,0.00008,-0.00100025,-0.00058113,43.1387,10119.59146708,False,False
TAO,very_low_fee,6,OkxSwap,HlPerp,0.2532463,0,-0.00096741,-0.00050486,0.00008,-0.00104741,-0.00058486,41.4666,67605.44560385,False,False
ADA,very_low_fee,6,OkxSwap,HlPerp,0.24667052,0,-0.00095908,-0.00050854,0.00008,-0.00103908,-0.00058854,42.0485,139892.01186317,False,False
AVAX,very_low_fee,6,HlPerp,OkxSwap,0.00771093,0,-0.00052427,-0.00051019,0.00008,-0.00060427,-0.00059019,689.0728,96999.57145015,False,False
XRP,one_bps_each,6,OkxSwap,HlPerp,0.33076577,0,-0.00079738,-0.00019324,0.0004,-0.00119738,-0.00059324,29.1487,377843.363303,False,False
LINK,low_fee,6,OkxSwap,HlPerp,0.09890133,0,-0.00057942,-0.00039877,0.0002,-0.00077942,-0.00059877,59.2947,37261.22727268,False,False
BNB,low_fee,6,OkxSwap,HlPerp,0.05389454,0,-0.00050133,-0.00040289,0.0002,-0.00070133,-0.00060289,90.2971,66011.6493255,False,False
MON,one_bps_each,6,OkxSwap,HlPerp,0.63096696,0,-0.00135965,-0.0002072,0.0004,-0.00175965,-0.0006072,26.8651,24323.18599482,False,False
