sample_index,timestamp,source,action,asset,long_venue,short_venue,annualized_edge,net_8h_proxy,net_24h_proxy,liquidity_proxy,friction_proxy,reason
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,IO,HlPerp,cash_or_spot_proxy,0.60432787,,,780317.10320800,0.00239369,long_perp_receives_funding
2,2026-06-09T00:39:38.897201+00:00,hl_single_venue,current_funding_monitor,LAYER,HlPerp,cash_or_spot_proxy,11.34788358,,,2166628.82304000,0.00279550,long_perp_receives_funding
2,2026-06-09T00:39:38.897201+00:00,hl_single_venue,current_funding_monitor,STABLE,HlPerp,cash_or_spot_proxy,3.19114098,,,461685.31631000,0.00116726,long_perp_receives_funding
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,STABLE,BybitPerp,HlPerp,2.45263794,,,461685.31631000,0.00104548,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,hl_single_venue,current_funding_monitor,ZEC,HlPerp,cash_or_spot_proxy,1.93599854,,,312710937.68829989,0.00044759,long_perp_receives_funding
2,2026-06-09T00:39:38.897201+00:00,hl_single_venue,current_funding_monitor,MOVE,HlPerp,cash_or_spot_proxy,1.25817865,,,1622481.85382600,0.00281690,long_perp_receives_funding
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,ENA,BybitPerp,HlPerp,1.16915866,,,9683512.07961401,0.00073828,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,NIL,BybitPerp,HlPerp,1.08093757,,,543933.01184200,0.00290705,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,AERO,BybitPerp,HlPerp,1.06424890,,,669215.38530000,0.00270230,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,ALT,BybitPerp,HlPerp,1.05141900,,,182670.72412200,0.00369849,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,GMX,BybitPerp,HlPerp,0.94575150,,,182425.99640100,0.00410458,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,hl_single_venue,current_funding_monitor,AERO,HlPerp,cash_or_spot_proxy,0.90519358,,,669215.38530000,0.00270230,long_perp_receives_funding
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,ZEC,HlPerp,BinPerp,0.88891355,,,312706648.58319992,0.00068845,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,BABY,BybitPerp,HlPerp,0.84313248,,,831445.69340200,0.00310433,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,AXS,BybitPerp,HlPerp,0.84140588,,,124976.61097200,0.00315151,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,hl_single_venue,current_funding_monitor,AVNT,HlPerp,cash_or_spot_proxy,0.83257843,,,482897.35231100,0.00199352,long_perp_receives_funding
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,kBONK,BybitPerp,HlPerp,0.82749150,,,759151.94249300,0.00115580,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,AZTEC,BybitPerp,HlPerp,0.78702030,,,309530.50595700,0.00318803,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,hl_single_venue,current_funding_monitor,BABY,HlPerp,cash_or_spot_proxy,0.75608699,,,831463.38750200,0.00249477,long_perp_receives_funding
2,2026-06-09T00:39:38.897201+00:00,hl_single_venue,current_funding_monitor,S,HlPerp,cash_or_spot_proxy,0.73835324,,,205843.15111400,0.00201889,long_perp_receives_funding
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,kFLOKI,BybitPerp,HlPerp,0.71934930,,,114058.58752700,0.00100671,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,PENGU,BybitPerp,HlPerp,0.71455320,,,1596237.48192100,0.00091324,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,LAYER,BinPerp,HlPerp,0.65675297,,,2165329.93763200,0.00281064,mark/oracle dislocation
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,NEO,BybitPerp,HlPerp,0.65207250,,,104946.84240200,0.00446680,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,SAGA,HlPerp,BybitPerp,0.65177466,,,183755.19355800,0.00312500,Hyperliquid context available
2,2026-06-09T00:39:38.897201+00:00,predicted_cross_venue,current_funding_monitor,POL,BybitPerp,HlPerp,0.63327266,,,458909.13446800,0.00136761,Hyperliquid context available
