source,action,asset,long_venue,short_venue,annualized_edge,net_8h_proxy,net_24h_proxy,liquidity_proxy,friction_proxy,reason
okx_hl_current,blocked_by_cost_or_capacity,ATOM,OkxSwap,HlPerp,0.11271611,-0.00252906,-0.00232319,4408.18805365,0.00263200,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,HBAR,OkxSwap,HlPerp,0.11151830,-0.00107404,-0.00087035,11888.81425395,0.00117588,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,AI,HlPerp,OkxSwap,0.10950000,-0.00032946,-0.00012946,0.00000000,0.00042946,missing Hyperliquid context
okx_hl_current,blocked_by_cost_or_capacity,MEW,HlPerp,OkxSwap,0.10950000,-0.00045710,-0.00025710,0.00000000,0.00055710,missing Hyperliquid context
okx_hl_current,blocked_by_cost_or_capacity,STX,OkxSwap,HlPerp,0.10921127,-0.00216530,-0.00196583,2300.33497944,0.00226504,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,ARB,OkxSwap,HlPerp,0.10557362,-0.00100715,-0.00081432,19190.81278677,0.00110356,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,PYTH,HlPerp,OkxSwap,0.10362329,-0.00197422,-0.00178495,5336.67117060,0.00206885,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,SOL,OkxSwap,HlPerp,0.10232748,-0.00024450,-0.00005760,3366359.71297600,0.00033795,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,KAITO,HlPerp,OkxSwap,0.10077329,-0.00162412,-0.00144006,1609.78577060,0.00171615,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,ME,OkxSwap,HlPerp,0.10006681,-0.00243971,-0.00225694,1645.28241117,0.00253109,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,JTO,OkxSwap,HlPerp,0.09637772,-0.00111124,-0.00093521,64609.07296010,0.00119926,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,PENGU,OkxSwap,HlPerp,0.09604345,-0.00065533,-0.00047991,20733.04075331,0.00074304,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,OP,HlPerp,OkxSwap,0.09549921,-0.00275471,-0.00258029,7556.42588935,0.00284193,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,AVAX,OkxSwap,HlPerp,0.09345053,-0.00045501,-0.00028432,99229.96819523,0.00054035,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,SKY,OkxSwap,HlPerp,0.09110530,-0.00198558,-0.00181918,4730.47947897,0.00206879,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,AZTEC,OkxSwap,HlPerp,0.09106084,-0.00352466,-0.00335834,2561.75310587,0.00360782,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,AR,OkxSwap,HlPerp,0.08926839,-0.00288119,-0.00271814,11849.57968595,0.00296271,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,BNB,OkxSwap,HlPerp,0.08894638,-0.00027663,-0.00011417,70556.91954990,0.00035786,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,APT,HlPerp,OkxSwap,0.08875460,-0.00096574,-0.00080363,16269.60421014,0.00104680,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,APE,OkxSwap,HlPerp,0.08056008,-0.00212115,-0.00197401,5435.97487078,0.00219472,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,LIT,OkxSwap,HlPerp,0.07838179,-0.00202281,-0.00187965,44654.57710000,0.00209440,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,LDO,OkxSwap,HlPerp,0.06959977,-0.00133307,-0.00120595,5855.61289858,0.00139663,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,SEI,HlPerp,OkxSwap,0.05962490,-0.00162921,-0.00152030,9212.43906666,0.00168366,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,BCH,HlPerp,OkxSwap,0.05715426,-0.00090738,-0.00080299,24709.02047910,0.00095957,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,CRV,OkxSwap,HlPerp,0.05503229,-0.00115249,-0.00105197,24472.36561049,0.00120275,OKX and Hyperliquid context available
