timestamp,asset,long_venue,short_venue,annualized_spread,rough_round_trip_cost,breakeven_hold_hours,net_8h_proxy,net_24h_proxy,capacity_proxy_notional,notes
2026-06-07T11:52:44.620710+00:00,GRASS,OkxSwap,HlPerp,0.20700565,0.00230122,97.3825,-0.00211218,-0.00173408,6218.80756095,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,AXS,OkxSwap,HlPerp,0.24691743,0.00238521,84.6211,-0.00215971,-0.00170872,1320.61133560,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,STX,HlPerp,OkxSwap,0.08468017,0.00223868,231.5866,-0.00216134,-0.00200667,2378.44290501,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,SNX,HlPerp,OkxSwap,0.78323345,0.00288363,32.2516,-0.00216834,-0.00073778,2536.53016596,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,TRB,OkxSwap,HlPerp,0.00000000,0.00222640,0.0000,-0.00222640,-0.00222640,1120.80072630,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,ME,HlPerp,OkxSwap,0.40430055,0.00264795,57.3733,-0.00227873,-0.00154028,1638.55842621,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,GALA,HlPerp,OkxSwap,0.01257444,0.00230584,1606.3698,-0.00229436,-0.00227139,1454.61692559,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,AERO,OkxSwap,HlPerp,0.08087479,0.00238277,258.0907,-0.00230891,-0.00216119,3297.18530570,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,APE,OkxSwap,HlPerp,0.17382862,0.00250396,126.1856,-0.00234521,-0.00202771,8707.94694841,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,OP,OkxSwap,HlPerp,0.14899530,0.00248911,146.3443,-0.00235304,-0.00208090,7371.97315355,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,SPX,OkxSwap,HlPerp,0.00000000,0.00236167,0.0000,-0.00236167,-0.00236167,14120.31277513,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,ATOM,OkxSwap,HlPerp,0.37599746,0.00271935,63.3556,-0.00237598,-0.00168922,4457.90090610,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,0G,HlPerp,OkxSwap,0.19095048,0.00258905,118.7746,-0.00241466,-0.00206590,1674.46321430,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,PYTH,HlPerp,OkxSwap,0.14720392,0.00262106,155.9775,-0.00248663,-0.00221776,5226.63741990,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,SUSHI,HlPerp,OkxSwap,0.23247113,0.00271870,102.4462,-0.00250640,-0.00208179,1925.47437397,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,STABLE,OkxSwap,HlPerp,0.16286800,0.00265812,142.9695,-0.00250938,-0.00221191,11541.99793200,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,S,OkxSwap,HlPerp,0.09914899,0.00262395,231.8308,-0.00253340,-0.00235231,1551.82408971,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,GMX,OkxSwap,HlPerp,0.12490796,0.00264913,185.7875,-0.00253505,-0.00230691,2219.12130479,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,AR,OkxSwap,HlPerp,0.36999283,0.00288485,68.3021,-0.00254696,-0.00187117,11558.41649539,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,CFX,OkxSwap,HlPerp,0.23500209,0.00285313,106.3539,-0.00263851,-0.00220929,4755.34808115,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,SKY,OkxSwap,HlPerp,0.00000000,0.00266997,0.0000,-0.00266997,-0.00266997,5369.58393373,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,LINEA,OkxSwap,HlPerp,0.00000000,0.00279131,0.0000,-0.00279131,-0.00279131,2412.50281810,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,NEO,HlPerp,OkxSwap,0.19513165,0.00297873,133.7234,-0.00280053,-0.00244412,1090.14320495,OKX and Hyperliquid context available
