timestamp,asset,long_venue,short_venue,annualized_spread,hl_involved,hl_max_leverage,hl_open_interest,hl_day_notional_volume,hl_mark_oracle_abs_diff,hl_impact_spread,notes
2026-06-09T00:04:54.092480+00:00,BLUR,HlPerp,BinPerp,0.09559525,True,3.0000,29345888.00000000,180018.47675900,0.00140885,0.00191863,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,MINA,BinPerp,HlPerp,0.09487080,True,3.0000,9451482.00000000,143773.85901800,0.00122303,0.00263334,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,DYDX,BybitPerp,BinPerp,0.08386605,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,ONDO,HlPerp,BinPerp,0.08384546,True,10.0000,27138856.00000000,10235455.34173000,0.00063239,0.00091320,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,BTC,BinPerp,HlPerp,0.08096255,True,40.0000,30661.05402000,2814634904.56704426,0.00049185,0.00015239,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,kSHIB,BinPerp,HlPerp,0.07683002,True,10.0000,375674802.00000000,740214.88189400,0.00084854,0.00084926,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,CAKE,BinPerp,HlPerp,0.07010190,True,3.0000,570119.40000000,331485.60089000,0.00091394,0.00156250,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,AVAX,HlPerp,BinPerp,0.06979705,True,10.0000,3707846.10000000,6490858.18024700,0.00067972,0.00022178,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,CFX,BinPerp,HlPerp,0.06818565,True,5.0000,71566132.00000000,318300.72912200,0.00061484,0.00144842,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ZK,HlPerp,BinPerp,0.06656899,True,5.0000,104564296.00000000,713106.55793300,0.00192493,0.00337675,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,XRP,BybitPerp,HlPerp,0.06451258,True,20.0000,67502554.00000000,31879905.30889999,0.00059906,0.00023292,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ARK,BinPerp,HlPerp,0.06379470,True,3.0000,945078.00000000,51335.36333000,0.00008361,0.00263345,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,XPL,BinPerp,HlPerp,0.06296250,True,10.0000,202553196.00000000,7351813.72790400,0.00084286,0.00071487,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,APT,BybitPerp,BinPerp,0.06279825,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,NEAR,BinPerp,HlPerp,0.06056445,True,10.0000,38480155.79999998,82706652.45799997,0.00018778,0.00080238,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,SPX,BinPerp,HlPerp,0.05733420,True,5.0000,8545788.60000000,986237.67607100,0.00085070,0.00081852,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ZEN,HlPerp,BinPerp,0.05598954,True,5.0000,68948.22000000,229218.32785000,0.00085489,0.00083283,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,HBAR,BinPerp,HlPerp,0.05299800,True,5.0000,44781466.00000000,520737.91435800,0.00072674,0.00085043,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,SUI,BinPerp,HlPerp,0.04690980,True,10.0000,43510173.00000000,31373308.54241999,0.00003980,0.00031840,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,SKY,BybitPerp,BinPerp,0.04568340,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,PAXG,BinPerp,HlPerp,0.04364670,True,10.0000,4598.56600000,7852225.06120000,0.00013921,0.00015871,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,BERA,HlPerp,BybitPerp,0.03949096,True,5.0000,5667724.00000000,823325.70418300,0.00101167,0.00120627,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,0G,BinPerp,HlPerp,0.02882040,True,3.0000,908364.00000000,96735.04959000,0.00129178,0.00255191,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,TIA,BinPerp,HlPerp,0.02750640,True,5.0000,6317472.00000000,964460.65543500,0.00078839,0.00100975,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,CC,BybitPerp,BinPerp,0.02735310,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,PENDLE,BinPerp,HlPerp,0.02361915,True,5.0000,5354354.00000000,1074093.41550000,0.00086580,0.00142553,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,AR,BinPerp,HlPerp,0.02228325,True,5.0000,640954.42000000,1458600.05694700,0.00067392,0.00186683,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,UNI,BinPerp,HlPerp,0.01559280,True,10.0000,2410028.20000000,1284921.30881000,0.00067772,0.00080182,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,RSR,BinPerp,HlPerp,0.01494675,True,3.0000,95952172.00000000,16886.06445200,0.00071994,0.00432277,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,2Z,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,ACE,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,ANIME,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,APEX,HlPerp,HlPerp,0.00000000,True,3.0000,4761578.00000000,67716.29173000,0.00015751,0.00271303,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ASTER,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,BCH,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,BIGTIME,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,BIO,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,CHIP,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,DOOD,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,DYM,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,FARTCOIN,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,FOGO,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,GAS,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,GRASS,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,GRIFFAIN,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,IOTA,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,IP,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,KAS,BinPerp,BinPerp,0.00000000,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
