snapshot_timestamp,venue,token_symbol,action,direction,directional_return_15m,annualized_funding,funding_support,liquidity_usd,friction_bps,okx_liquidation_action,okx_liquidation_score,context_score,note
2026-06-07T17:52:58.484701+00:00,OKX,BTC,chain_flow_reversal_watch,1,0.00141498,0.00963477,-0.00963477,6478769526.52832031,0.01607954,short_liquidation_squeeze_watch,0.00059717,0.13703095,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,STX,chain_flow_reversal_watch,1,0.00107875,,,,,,,0.10787500,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,SEI,chain_flow_reversal_watch,1,0.00101688,,,,,,,0.10168800,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,APT,chain_flow_reversal_watch,1,0.00194378,0.01920559,-0.01920559,10905819.95250000,1.49131310,,,0.10060676,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,BNB,chain_flow_reversal_watch,1,0.00218194,0.07965044,-0.07965044,75988377.61600000,1.67546285,,,0.05477042,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,ARB,chain_flow_reversal_watch,1,0.00110011,-0.00013278,0.00013278,12017489.28666000,1.22047965,,,0.04911980,price label positive; funding helps direction
2026-06-07T17:52:58.484701+00:00,HL,MON,chain_flow_reversal_watch,1,0.00557129,0.10950000,-0.10950000,3281232.18357900,8.21280285,,,0.03698886,price label positive
2026-06-07T17:52:58.484701+00:00,HL,BTC,chain_flow_reversal_watch,1,0.00141620,0.10950000,-0.10950000,2193204500.50032091,0.16075749,short_liquidation_squeeze_watch,0.00059717,0.03005383,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,ADA,chain_flow_reversal_watch,1,0.00122850,-0.16470644,0.16470644,65693602.65600000,6.12557427,short_liquidation_squeeze_watch,0.00044604,-0.01426187,price label positive; funding helps direction
2026-06-07T17:52:58.484701+00:00,OKX,TON,chain_flow_reversal_watch,1,-0.00115407,0.03393936,-0.03393936,70259286.65600000,5.77200577,short_liquidation_squeeze_watch,0.04191457,-0.01880095,has recent liquidation context
2026-06-07T17:52:58.484701+00:00,HL,BNB,chain_flow_reversal_watch,1,0.00172830,0.10950000,-0.10950000,8150954.13080000,2.11028765,,,-0.04218438,price label positive
2026-06-07T17:52:58.484701+00:00,OKX,OP,chain_flow_reversal_watch,1,0.00420610,-0.01300102,0.01300102,9814121.77150000,10.46572475,,,-0.06638898,price label positive; funding helps direction
2026-06-07T17:52:58.484701+00:00,OKX,SUI,chain_flow_reversal_watch,1,0.00040021,0.06427009,-0.06427009,75841612.80560000,1.33413381,short_liquidation_squeeze_watch,0.00155074,-0.07544838,price label positive
2026-06-07T18:20:55.974186+00:00,OKX,SOL,chain_flow_reversal_watch,1,-0.00214198,-0.38248296,0.38248296,703863000.42240000,1.53174542,,,0.09169769,funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,MON,chain_flow_reversal_watch,1,,-0.79807481,0.79807481,7766150.04720000,4.55477112,,,0.27226144,funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,ETH,chain_flow_reversal_watch,1,0.00088840,-0.15704855,0.15704855,6915479767.85633945,0.06135628,short_liquidation_squeeze_watch,0.01030080,0.34582874,price label positive; funding helps direction; has recent liquidation context
2026-06-07T18:20:55.974186+00:00,HL,ETH,chain_flow_reversal_watch,1,0.00091906,-0.18074245,0.18074245,654293613.56603932,0.61359104,short_liquidation_squeeze_watch,0.01030080,0.34497690,price label positive; funding helps direction; has recent liquidation context
2026-06-07T18:20:55.974186+00:00,HL,SOL,chain_flow_reversal_watch,1,-0.00206473,-0.17098206,0.17098206,303734387.71923000,0.15312411,,,-0.04314715,funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,MEGA,chain_flow_reversal_watch,1,-0.00145349,-0.23267659,0.23267659,7542695.46560000,2.06932230,,,-0.01613853,funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,KAT,chain_flow_reversal_watch,1,-0.00311405,,,,,,,-0.31140500,weak current context
2026-06-07T18:20:55.974186+00:00,OKX,MOVE,chain_flow_reversal_watch,1,-0.00085251,,,,,,,-0.08525100,weak current context
2026-06-07T18:20:55.974186+00:00,OKX,BERA,chain_flow_reversal_watch,1,-0.00289256,,,,,,,-0.28925600,weak current context
2026-06-07T18:20:55.974186+00:00,OKX,STX,chain_flow_reversal_watch,1,-0.00216216,,,,,,,-0.21621600,weak current context
2026-06-07T18:20:55.974186+00:00,OKX,SEI,chain_flow_reversal_watch,1,-0.00325402,,,,,,,-0.32540200,weak current context
2026-06-07T18:20:55.974186+00:00,OKX,POL,chain_flow_reversal_watch,1,0.00126247,,,,,,,0.12624700,price label positive
2026-06-07T18:20:55.974186+00:00,OKX,STRK,chain_outflow_stress_watch,-1,-0.00059916,,,,,,,-0.05991600,weak current context
2026-06-07T18:20:55.974186+00:00,OKX,HYPE,chain_flow_reversal_watch,1,-0.00336757,-0.06815595,0.06815595,401033018.49000001,1.68506193,mixed_liquidation_flow_watch,0.00146531,-0.33820105,funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,BTC,chain_flow_reversal_watch,1,-0.00069463,0.00598260,-0.00598260,6477616970.73072052,0.01609118,short_liquidation_squeeze_watch,0.00047763,-0.07147386,weak current context
2026-06-07T18:20:55.974186+00:00,OKX,ARB,chain_flow_reversal_watch,1,-0.00110227,-0.00848212,0.00848212,11973871.07281000,1.22256862,,,-0.16287331,funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,APT,chain_flow_reversal_watch,1,-0.00299133,0.02741399,-0.02741399,10879875.89250000,1.49465660,,,-0.40127982,weak current context
2026-06-07T18:20:55.974186+00:00,OKX,XLM,chain_flow_reversal_watch,1,0.00241779,-0.13558706,0.13558706,67935572.19000000,4.83208504,long_liquidation_cascade_watch,0.00031521,0.13891391,price label positive; funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,NEAR,chain_flow_reversal_watch,1,,-0.03880284,0.03880284,135808899.90000001,4.88878025,long_liquidation_cascade_watch,0.00983723,-0.10726387,funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,SUI,chain_flow_reversal_watch,1,0.00026731,0.06464509,-0.06464509,75677855.09989999,1.33680904,short_liquidation_squeeze_watch,0.00155231,-0.08923144,price label positive
2026-06-07T18:20:55.974186+00:00,HL,AVAX,chain_outflow_stress_watch,-1,0.00095665,0.00289868,0.00289868,10279983.12183500,2.83955045,,,-0.04341384,price label positive; funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,ADA,chain_flow_reversal_watch,1,-0.00123229,-0.16319057,0.16319057,65310653.28200001,6.14439324,short_liquidation_squeeze_watch,0.00044734,-0.26278469,funding helps direction
2026-06-07T18:20:55.974186+00:00,OKX,AVAX,chain_outflow_stress_watch,-1,0.00104603,-0.08609638,-0.08609638,25267193.81830000,1.49488004,,,-0.05623738,price label positive
2026-06-07T18:20:55.974186+00:00,HL,HYPE,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,603221747.12067962,1.32945156,mixed_liquidation_flow_watch,0.00146531,-0.16131948,weak current context
2026-06-07T18:20:55.974186+00:00,OKX,BNB,chain_flow_reversal_watch,1,-0.00167476,0.08573098,-0.08573098,75975632.10600001,1.67714885,,,-0.33706442,weak current context
2026-06-07T18:20:55.974186+00:00,HL,SUI,chain_flow_reversal_watch,1,0.00028040,0.10950000,-0.10950000,32607527.68067701,4.00705241,short_liquidation_squeeze_watch,0.00155231,-0.26628952,price label positive
2026-06-07T18:20:55.974186+00:00,HL,BTC,chain_flow_reversal_watch,1,-0.00083585,0.10950000,-0.10950000,2175401666.99958944,1.81805018,short_liquidation_squeeze_watch,0.00047763,-0.27921121,weak current context
2026-06-07T18:20:55.974186+00:00,HL,BNB,chain_flow_reversal_watch,1,-0.00162433,0.10950000,-0.10950000,8396463.30891000,2.76588077,,,-0.41022704,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,ETH,chain_flow_reversal_watch,1,,-0.15704855,0.15704855,6915479767.85633945,0.06135628,short_liquidation_squeeze_watch,0.02754692,0.42944994,funding helps direction; has recent liquidation context
2026-06-08T00:05:42.042449+00:00,OKX,SOL,chain_flow_reversal_watch,1,,-0.38248296,0.38248296,703863000.42240000,1.53174542,,,0.30589569,funding helps direction
2026-06-08T00:05:42.042449+00:00,OKX,MON,chain_flow_reversal_watch,1,,-0.79807481,0.79807481,7766150.04720000,4.55477112,,,0.27226144,funding helps direction
2026-06-08T00:05:42.042449+00:00,OKX,BTC,chain_flow_reversal_watch,1,,0.00598260,-0.00598260,6477616970.73072052,0.01609118,short_liquidation_squeeze_watch,0.02457470,0.23895984,has recent liquidation context
2026-06-08T00:05:42.042449+00:00,HL,ETH,chain_flow_reversal_watch,1,,0.06873709,-0.06873709,904303544.36544967,0.59317258,short_liquidation_squeeze_watch,0.02754692,0.17707348,has recent liquidation context
2026-06-08T00:05:42.042449+00:00,HL,BTC,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,2955236332.03062201,0.49038606,short_liquidation_squeeze_watch,0.02457470,0.11172770,has recent liquidation context
2026-06-08T00:05:42.042449+00:00,HL,SOL,chain_flow_reversal_watch,1,,-0.05121359,0.05121359,365059594.30375999,0.60512084,,,0.02095755,funding helps direction
2026-06-08T00:05:42.042449+00:00,OKX,MOVE,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,BERA,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,STX,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,SEI,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,POL,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,STRK,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,HYPE,chain_flow_reversal_watch,1,,-0.06815595,0.06815595,401033018.49000001,1.68506193,long_liquidation_cascade_watch,0.00032885,-0.01280865,funding helps direction
2026-06-08T00:05:42.042449+00:00,OKX,ARB,chain_flow_reversal_watch,1,,-0.00848212,0.00848212,11973871.07281000,1.22256862,,,-0.05264631,funding helps direction
2026-06-08T00:05:42.042449+00:00,OKX,APT,chain_flow_reversal_watch,1,,0.02741399,-0.02741399,10879875.89250000,1.49465660,,,-0.10214682,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,SUI,chain_flow_reversal_watch,1,,0.06464509,-0.06464509,75677855.09989999,1.33680904,mixed_liquidation_flow_watch,0.00284028,-0.10308274,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,ADA,chain_flow_reversal_watch,1,,-0.16319057,0.16319057,65310653.28200001,6.14439324,,,-0.14402909,funding helps direction
2026-06-08T00:05:42.042449+00:00,OKX,AVAX,chain_outflow_stress_watch,-1,,-0.08609638,-0.08609638,25267193.81830000,1.49488004,,,-0.16084038,weak current context
2026-06-08T00:05:42.042449+00:00,OKX,BNB,chain_flow_reversal_watch,1,,0.08573098,-0.08573098,75975632.10600001,1.67714885,,,-0.16958842,weak current context
2026-06-08T00:05:42.042449+00:00,HL,AVAX,chain_outflow_stress_watch,-1,,0.00531469,0.00531469,11902130.52410500,4.13168263,,,-0.20126944,funding helps direction
