date,symbol,metrics_rows,premium_rows,close,oi_value_change,next_return,mean_open_interest_value,mean_count_top_long_short_ratio,mean_sum_top_long_short_ratio,mean_count_long_short_ratio,mean_sum_taker_long_short_vol_ratio,mean_premium_close,max_abs_premium_close
2024-01-15,AVAXUSDT,288,1440,35.60200000,-0.01979520,-0.000983090838,84907840.63506657,2.78022796,1.32777387,3.29740254,1.01058366,0.000102709236,0.001263230000
2024-01-15,BTCUSDT,288,1440,42515.00000000,-0.00608031,0.014536046101,3233240766.48068142,2.22102881,1.31994833,2.64426189,1.07221311,0.000094989153,0.001152180000
2024-01-15,DOGEUSDT,288,1440,0.08108000,-0.01912934,0.003453379378,106799256.61857638,3.91087039,2.46629344,4.28637797,1.02647827,0.000124457299,0.001179630000
2024-01-15,ETHUSDT,288,1440,2512.21000000,-0.00196431,0.029929822746,2296645783.43010664,2.34816482,1.92198968,2.32525041,1.04985950,0.000294594458,0.001402630000
2024-01-15,LINKUSDT,288,1440,15.18500000,0.13332941,0.005531774778,86882852.55403830,1.82934446,1.50908521,1.85073568,1.06744294,0.000180521646,0.001494300000
2024-01-15,SOLUSDT,288,1440,94.35900000,-0.03397479,0.034739664473,437939471.63085765,3.15654918,1.80310214,3.67491231,1.03682746,0.000186406708,0.001381620000
2024-01-15,XRPUSDT,288,1440,0.57570000,0.01950342,0.000173701581,156602659.89308101,4.39210460,2.05176854,4.93570172,1.05925184,0.000179072924,0.001026840000
2024-01-16,AVAXUSDT,288,1440,35.56700000,-0.00036996,0.013945511289,84876427.85627446,2.83896065,1.34903896,3.36819213,1.00442238,0.000035730465,0.000921190000
2024-01-16,BTCUSDT,288,1440,43133.00000000,-0.00963537,-0.008105163100,3202087287.10756731,2.16905940,1.31889428,2.46079554,1.03474653,-0.000021483278,0.001919000000
2024-01-16,DOGEUSDT,288,1440,0.08136000,0.02381811,-0.009341199607,109343013.33241969,3.95669086,2.56847883,4.15122381,1.04922453,0.000147976438,0.001190660000
2024-01-16,ETHUSDT,288,1440,2587.40000000,0.00252552,-0.021944809461,2302446015.44010353,2.30026317,1.84996519,2.18238108,1.02274673,0.000090470812,0.001174460000
2024-01-16,LINKUSDT,288,1440,15.26900000,-0.04922921,0.032222149453,82605678.73274586,2.25203248,1.48437857,2.37898611,1.01151146,0.000017823722,0.001200810000
2024-01-16,SOLUSDT,288,1440,97.63700000,0.03117153,0.046273441421,451590713.39736122,3.13048972,1.88839311,3.54179015,1.03353720,0.000190950000,0.000939100000
2024-01-16,XRPUSDT,288,1440,0.57580000,-0.00882271,-0.012156998958,155220999.87476096,4.85290724,2.08963362,5.29931938,1.07270320,0.000069457583,0.000962810000
2024-01-17,AVAXUSDT,288,1440,36.06300000,0.03790673,-0.068657626931,88093815.75115919,2.93215335,1.38378697,3.45397160,0.97857999,0.000154414590,0.001196130000
2024-01-17,BTCUSDT,288,1440,42783.40000000,0.00583947,-0.034132397145,3220785775.90668869,2.20392486,1.33860069,2.43515352,1.10063623,-0.000005270944,0.001061470000
2024-01-17,DOGEUSDT,288,1440,0.08060000,0.00103204,-0.031141439206,109455860.17872953,4.20447986,2.54999575,4.47831497,1.00248261,0.000158694118,0.001114100000
2024-01-17,ETHUSDT,288,1440,2530.62000000,0.00321734,-0.023444847508,2309853763.78202009,2.18421012,1.82430119,1.95697304,1.08763900,-0.000018021743,0.000982450000
2024-01-17,LINKUSDT,288,1440,15.76100000,0.17098025,-0.070300107861,96729618.42298503,1.76590274,1.57949859,1.73247189,1.07131256,0.000197466993,0.001576110000
2024-01-17,SOLUSDT,288,1440,102.15500000,0.13277515,-0.076021731682,511550738.34672427,2.82962762,1.98469107,2.86741477,1.03143542,0.000269058201,0.001654700000
2024-01-17,XRPUSDT,288,1440,0.56880000,0.02857380,-0.029360056259,159656254.04630613,4.99544845,2.00990842,5.64400454,1.04551751,0.000035436278,0.000628550000
2024-01-18,AVAXUSDT,288,1440,33.58700000,0.01133627,-0.025724238545,89092471.42331280,3.07682701,1.38870749,3.50983970,0.94171836,-0.000058202764,0.003083800000
2024-01-18,BTCUSDT,288,1440,41323.10000000,0.00578165,0.008206063921,3239407224.20724583,2.32280307,1.33581109,2.57546217,1.02656584,0.000061203333,0.001581850000
2024-01-18,DOGEUSDT,288,1440,0.07809000,-0.01098254,0.006274811115,108253756.60271738,4.40025481,2.74885470,4.48618493,0.96650452,0.000126986319,0.001128180000
2024-01-18,ETHUSDT,288,1440,2471.29000000,-0.01201671,0.008566376265,2282096922.64164495,2.55135873,1.86631663,2.44568144,1.03951738,0.000150624750,0.000829830000
2024-01-18,LINKUSDT,288,1440,14.65300000,-0.06520643,0.100184262608,90422225.32911138,2.39755087,1.60573260,2.49043168,1.06439810,0.000013681167,0.001255790000
2024-01-18,SOLUSDT,288,1440,94.38900000,0.04971732,-0.008401402706,536983668.76012433,3.42043190,2.09153325,3.55287679,1.01125272,0.000140636743,0.001130680000
2024-01-18,XRPUSDT,288,1440,0.55210000,-0.00105814,-0.014127875385,159487314.81998241,5.07212655,1.99777581,5.97068187,1.07045401,0.000101578708,0.001331400000
2024-01-19,AVAXUSDT,288,1440,32.72300000,-0.03126687,0.004858967699,86306828.79440035,2.85212638,1.29296303,3.33352053,1.00996967,-0.000124660069,0.001769480000
2024-01-19,BTCUSDT,288,1440,41662.20000000,-0.00843755,0.000710476163,3212074548.07633591,2.40429032,1.29946725,2.72025970,1.06644763,0.000004084257,0.001611390000
2024-01-19,DOGEUSDT,288,1440,0.07858000,-0.00660394,0.116823619242,107538854.97332454,3.93371942,2.71109362,4.36980440,1.09456844,0.000051098229,0.001423430000
2024-01-19,ETHUSDT,288,1440,2492.46000000,0.00847292,-0.008100430900,2301432945.22053909,2.52677812,1.95847192,2.46896329,1.06745700,0.000145708924,0.001281890000
2024-01-19,LINKUSDT,288,1440,16.12100000,-0.01815398,-0.021028472179,88780701.62339137,1.94029455,1.51567965,1.95835944,1.04969224,0.000102802035,0.002490790000
2024-01-19,SOLUSDT,288,1440,93.59600000,-0.05720144,-0.007436215223,506267427.88190168,3.61548704,1.95991855,4.27190481,0.99874717,0.000062541729,0.001755820000
2024-01-19,XRPUSDT,288,1440,0.54430000,-0.01090920,0.016902443505,157747435.11104357,4.82782646,1.90576489,5.68026628,1.09416176,0.000039016063,0.001582010000
2024-01-20,AVAXUSDT,288,1440,32.88200000,-0.01399789,-0.010583297853,85098715.58798666,2.80614954,1.25271047,3.39701430,1.03678970,-0.000078058549,0.000898530000
2024-01-20,BTCUSDT,288,1440,41691.80000000,-0.03333729,-0.002681582469,3104992682.20669842,2.25999721,1.31814073,2.41737701,1.08504117,0.000006726444,0.001268220000
2024-01-20,DOGEUSDT,288,1440,0.08776000,0.11117063,-0.026093892434,119494017.32709529,3.27483397,2.65782152,3.62451807,1.06104105,0.000181536021,0.002384530000
2024-01-20,ETHUSDT,288,1440,2472.27000000,-0.00649627,-0.006168420116,2286482222.89383221,2.59215827,2.03729687,2.41336915,1.10602028,0.000123838729,0.000582160000
2024-01-20,LINKUSDT,288,1440,15.78200000,0.26583335,-0.024458243569,112381573.06749612,1.71748740,1.72575678,1.58352013,1.05079942,0.000360923243,0.001913450000
2024-01-20,SOLUSDT,288,1440,92.90000000,-0.03492582,-0.019321851453,488585623.82955426,3.60358064,2.00859568,4.03074097,0.99932199,0.000185154660,0.001131960000
2024-01-20,XRPUSDT,288,1440,0.55350000,-0.03065686,-0.012646793135,152911393.96841499,4.43618248,1.96540351,5.13745016,1.20043057,0.000071869708,0.001056300000
2024-01-21,AVAXUSDT,288,1440,32.53400000,0.01168410,-0.092180488105,86093017.35850252,2.76162717,1.26185108,3.30909239,1.02337942,-0.000101657014,0.000904240000
2024-01-21,BTCUSDT,288,1440,41580.00000000,0.00273894,-0.048412698413,3113497077.27081490,2.20289054,1.29543265,2.35737077,1.25979402,-0.000046609132,0.000740730000
2024-01-21,DOGEUSDT,288,1440,0.08547000,0.37548329,-0.057564057564,164362023.88116175,3.00590111,2.39444102,2.80256422,1.08268011,0.000085119340,0.001719630000
2024-01-21,ETHUSDT,288,1440,2457.02000000,-0.00197434,-0.058074415349,2281967933.39320946,2.59707305,2.02909640,2.48498351,1.15664082,0.000037539444,0.000570730000
2024-01-21,LINKUSDT,288,1440,15.39600000,-0.08296339,-0.052156404261,103058016.51917541,2.10755968,1.84333791,2.10402572,1.13261296,0.000115802937,0.001168940000
2024-01-21,SOLUSDT,288,1440,91.10500000,-0.01551472,-0.079271170627,481005355.20374137,3.43223991,2.07407648,3.87865461,1.02265228,0.000180751403,0.000918810000
2024-01-21,XRPUSDT,288,1440,0.54650000,0.02624203,-0.034583714547,156924098.76131254,4.37791005,2.00101705,5.07718519,1.20617139,0.000092476215,0.000586730000
2024-01-22,AVAXUSDT,288,1440,29.53500000,-0.05275024,0.036329778229,81551590.34689626,2.75748748,1.26510731,3.20551251,1.01732885,0.000000189083,0.001466130000
2024-01-22,BTCUSDT,288,1440,39567.00000000,0.00377068,0.008163368464,3125237064.21280575,2.40461944,1.30560874,2.56533819,1.05035911,-0.000059108062,0.001639310000
2024-01-22,DOGEUSDT,288,1440,0.08055000,-0.10699679,-0.029546865301,146775815.44745591,4.40107820,2.74569435,4.10193401,1.07929914,0.000058322167,0.002050090000
2024-01-22,ETHUSDT,288,1440,2314.33000000,-0.01006899,-0.031395695514,2258990825.53022003,2.83719279,2.01284418,2.81710029,1.03606461,0.000030399729,0.001259380000
2024-01-22,LINKUSDT,288,1440,14.59300000,-0.05520714,-0.020626327691,97368478.47832543,2.07708215,1.88208390,2.20120393,1.04068009,0.000167735111,0.001586890000
2024-01-22,SOLUSDT,288,1440,83.88300000,-0.02703631,0.005269244066,468000745.56775838,3.43319458,2.04216041,3.95585998,1.02011021,0.000176818528,0.001837890000
2024-01-22,XRPUSDT,288,1440,0.52760000,-0.03568105,-0.018195602729,151324881.55371231,4.81298593,1.92499983,5.42635592,1.05499726,0.000022450465,0.001899750000
2024-01-23,AVAXUSDT,288,1440,30.60800000,-0.04971764,0.018655253528,77497037.46577981,2.51885792,1.18747681,2.96100298,1.00493986,-0.000264186896,0.001915570000
