symbol,feature,status,historical_bucket,recent_bucket,historical_score,recent_score,combined_score,historical_mean_edge,recent_mean_edge,historical_hit_edge,recent_hit_edge,next_step
SOLUSDT,mean_funding_rate,weak_or_unconfirmed,high,high,142.13210505,19.51156791,22.42875591,0.013225973575,0.000988207103,0.12065217,0.17647058,keep SOLUSDT mean_funding_rate as context only
LTCUSDT,max_abs_premium_close,weak_or_unconfirmed,high_mean_only,low,55.89616386,93.98899800,20.65650605,0.004663107454,-0.008574151431,-0.08695652,-0.05882353,keep LTCUSDT max_abs_premium_close as context only
UNIUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,high,high,21.55210587,80.87848548,20.11425262,0.001581563435,0.007343445499,0.04347826,0.05882353,keep UNIUSDT mean_sum_taker_long_short_vol_ratio as context only
DOGEUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,high_mean_only,high_mean_only,27.50879108,75.82358361,18.91340622,0.001966090388,0.006967591517,-0.13043478,-0.05882353,keep DOGEUSDT mean_sum_taker_long_short_vol_ratio as context only
SOLUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,high,low,16.93216071,111.79226388,18.59122777,0.001108981991,-0.009941007673,0.04347826,-0.17647058,keep SOLUSDT mean_count_long_short_ratio as context only
OPUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,low_mean_only,low,24.35267183,76.75103793,18.41160979,-0.001681621593,-0.006857692108,0.08695652,-0.15441176,keep OPUSDT mean_count_long_short_ratio as context only
OPUSDT,max_abs_premium_close,weak_or_unconfirmed,low,high,116.51704596,57.24146490,17.98791827,-0.011052749188,0.005128917088,-0.04347826,0.08823529,keep OPUSDT max_abs_premium_close as context only
XRPUSDT,oi_value_change,weak_or_unconfirmed,low,high,178.20620299,23.82496821,17.85840038,-0.016793497771,0.001588449166,-0.13043478,0.11764705,keep XRPUSDT oi_value_change as context only
ETCUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,low_mean_only,high,149.35308134,37.50911998,16.65450646,-0.014019431188,0.003360226925,0.13043478,0.00000000,keep ETCUSDT mean_sum_taker_long_short_vol_ratio as context only
ETCUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,low,high,88.45626424,67.55614623,14.87118753,-0.008087056485,0.005856776716,-0.08695652,0.11764705,keep ETCUSDT mean_sum_top_long_short_ratio as context only
AVAXUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,high,high_mean_only,132.89778548,8.57954459,12.09092890,0.012363060239,0.000333092570,0.13043478,-0.05882353,keep AVAXUSDT mean_count_long_short_ratio as context only
INJUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,high,low,110.31710519,48.12653162,9.89323237,0.010343409422,-0.004024244253,0.04347826,-0.17647058,keep INJUSDT mean_count_long_short_ratio as context only
INJUSDT,oi_value_change,weak_or_unconfirmed,high,low_mean_only,150.35679538,25.65571496,9.30109311,0.014238841108,-0.001895125511,0.08695652,0.05882353,keep INJUSDT oi_value_change as context only
BTCUSDT,max_abs_premium_close,weak_or_unconfirmed,low,low,33.58875024,55.97073207,8.13703843,-0.002538956919,-0.004374455588,-0.08695652,-0.17647059,keep BTCUSDT max_abs_premium_close as context only
DOTUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,high,low,132.19936178,32.21431639,7.20908228,0.012039916537,-0.002676438633,0.21739130,-0.05882353,keep DOTUSDT mean_sum_top_long_short_ratio as context only
AVAXUSDT,mean_count_top_long_short_ratio,weak_or_unconfirmed,high,low,81.16961997,58.43081309,6.38939550,0.007350910317,-0.005097147741,0.04347826,-0.11764705,keep AVAXUSDT mean_count_top_long_short_ratio as context only
LTCUSDT,oi_value_change,weak_or_unconfirmed,low_mean_only,high_mean_only,90.29631976,52.58110847,5.78143242,-0.008225515481,0.004386195096,0.04347826,-0.11764705,keep LTCUSDT oi_value_change as context only
LINKUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,low,low,90.99294212,18.02353493,3.56282745,-0.008158679217,-0.001266984090,-0.13043478,-0.05882353,keep LINKUSDT mean_sum_top_long_short_ratio as context only
XRPUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,high,low,30.02599244,81.51439598,3.49345474,0.002333609537,-0.007429065692,0.08695652,0.00000000,keep XRPUSDT mean_sum_top_long_short_ratio as context only
DOTUSDT,mean_count_top_long_short_ratio,weak_or_unconfirmed,high_mean_only,low,29.04420749,80.56359507,2.53180942,0.002293441990,-0.006820009701,-0.04347826,-0.29411764,keep DOTUSDT mean_count_top_long_short_ratio as context only
OPUSDT,sum_funding_rate,weak_or_unconfirmed,low,high,112.54485776,29.89885590,-1.17504345,-0.010652659010,0.002441987930,-0.02675585,0.02205882,keep OPUSDT sum_funding_rate as context only
OPUSDT,mean_funding_rate,weak_or_unconfirmed,low,high,112.54485776,29.89885589,-1.17504346,-0.010652659010,0.002441987930,-0.02675585,0.02205882,keep OPUSDT mean_funding_rate as context only
UNIUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,low_mean_only,high,22.30085230,76.31276864,-2.59140208,-0.001219126019,0.006843552977,0.17391304,0.11764706,keep UNIUSDT mean_count_long_short_ratio as context only
BTCUSDT,oi_value_change,weak_or_unconfirmed,high,high,19.23068545,46.84609117,-2.81930083,0.001321997548,0.003626801908,0.04347826,0.17647059,keep BTCUSDT oi_value_change as context only
ARBUSDT,mean_count_top_long_short_ratio,weak_or_unconfirmed,low,high,91.63137093,37.43387537,-3.59700118,-0.008345604589,0.003021575507,-0.04347826,0.09191176,keep ARBUSDT mean_count_top_long_short_ratio as context only
APTUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,high,low,96.55318202,30.10877228,-6.63568431,0.008602486461,-0.002593687116,0.13043478,0.00000000,keep APTUSDT mean_sum_top_long_short_ratio as context only
SOLUSDT,mean_premium_close,weak_or_unconfirmed,high,low_mean_only,128.35171189,12.08613247,-7.22091473,0.011934092398,-0.000383453192,0.13043479,0.11764706,keep SOLUSDT mean_premium_close as context only
ETHUSDT,mean_funding_rate,weak_or_unconfirmed,low,low,55.05538249,19.37331371,-8.13796222,-0.004869327932,-0.001298202854,-0.05603865,-0.11764705,keep ETHUSDT mean_funding_rate as context only
ETHUSDT,sum_funding_rate,weak_or_unconfirmed,low,low,55.05538249,19.37331371,-8.13796222,-0.004869327932,-0.001298202854,-0.05603865,-0.11764705,keep ETHUSDT sum_funding_rate as context only
UNIUSDT,mean_premium_close,weak_or_unconfirmed,low,low,46.66918860,23.45883567,-8.41754080,-0.003875869339,-0.001642039584,-0.08695652,-0.05882353,keep UNIUSDT mean_premium_close as context only
ARBUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,low_mean_only,low_mean_only,15.27798760,33.88564990,-12.62703190,-0.000903065856,-0.002826248269,0.04347826,0.08455882,keep ARBUSDT mean_sum_taker_long_short_vol_ratio as context only
ADAUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,low,high_mean_only,55.62234261,42.65088791,-12.80910294,-0.004894615645,0.003422626182,-0.08695652,-0.17647059,keep ADAUSDT mean_sum_top_long_short_ratio as context only
ETCUSDT,mean_count_top_long_short_ratio,weak_or_unconfirmed,high_mean_only,high,47.97204957,13.62526506,-14.35336036,0.003947530080,0.000916917280,-0.13043478,0.00000000,keep ETCUSDT mean_count_top_long_short_ratio as context only
XRPUSDT,mean_premium_close,weak_or_unconfirmed,high_mean_only,high,13.64873135,26.98787009,-17.68082847,0.000769858268,0.001792530037,-0.04347826,0.17647058,keep XRPUSDT mean_premium_close as context only
AVAXUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,high_mean_only,low,44.90753455,29.56687856,-25.06389184,0.003795357476,-0.001981090407,-0.08695652,-0.17647058,keep AVAXUSDT mean_sum_top_long_short_ratio as context only
DOGEUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,high,high,14.64592598,14.29124019,-25.58461978,0.000887461136,0.000941815565,0.00000000,0.00000000,keep DOGEUSDT mean_sum_top_long_short_ratio as context only
ETCUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,high_mean_only,low,56.78975371,18.56727579,-28.05485694,0.004920923561,-0.001414883555,-0.08695652,0.00000000,keep ETCUSDT mean_count_long_short_ratio as context only
ARBUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,low_mean_only,high,14.81020665,39.71518136,-29.00155979,-0.000702834709,0.003142423726,0.04347826,0.09191176,keep ARBUSDT mean_count_long_short_ratio as context only
ETHUSDT,oi_value_change,weak_or_unconfirmed,high,low_mean_only,16.11732598,36.84958483,-30.40670577,0.000807841863,-0.002687845330,0.08695652,0.17647059,keep ETHUSDT oi_value_change as context only
XRPUSDT,mean_funding_rate,weak_or_unconfirmed,high_mean_only,low_mean_only,19.69783230,25.68723292,-36.40905730,0.001347909805,-0.001963153619,-0.05302227,0.05882352,keep XRPUSDT mean_funding_rate as context only
XRPUSDT,sum_funding_rate,weak_or_unconfirmed,high_mean_only,low_mean_only,19.69783230,25.68723292,-36.40905730,0.001347909805,-0.001963153619,-0.05302227,0.05882352,keep XRPUSDT sum_funding_rate as context only
UNIUSDT,mean_count_top_long_short_ratio,weak_or_unconfirmed,low_mean_only,high,10.05256542,27.38703505,-38.68002932,-0.000258952776,0.002089113256,0.08695652,0.05882353,keep UNIUSDT mean_count_top_long_short_ratio as context only
UNIUSDT,mean_funding_rate,weak_or_unconfirmed,high_mean_only,low_mean_only,7.92939414,24.36062210,-41.39030769,0.000194224740,-0.001685792543,-0.02371542,0.11764706,keep UNIUSDT mean_funding_rate as context only
UNIUSDT,sum_funding_rate,weak_or_unconfirmed,high_mean_only,low_mean_only,7.92939414,24.36062210,-41.39030769,0.000194224740,-0.001685792543,-0.02371542,0.11764706,keep UNIUSDT sum_funding_rate as context only
