symbol,feature,status,preferred_bucket,observations,low_bucket_mean_next_return,low_bucket_hit_rate,high_bucket_mean_next_return,high_bucket_hit_rate,correlation_to_next_return,edge_score,next_step
APTUSDT,mean_sum_top_long_short_ratio,weak_symbol_feature_context,low,66,-0.008012866647,0.35294118,-0.010606553763,0.35294118,-0.04359506,30.10877228,"rerun APTUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
OPUSDT,sum_funding_rate,weak_symbol_feature_context,high,64,-0.009226326020,0.35294118,-0.006784338090,0.37500000,0.08637530,29.89885590,"rerun OPUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
OPUSDT,mean_funding_rate,weak_symbol_feature_context,high,64,-0.009226326020,0.35294118,-0.006784338090,0.37500000,0.08637530,29.89885589,"rerun OPUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
AVAXUSDT,mean_sum_top_long_short_ratio,weak_symbol_feature_context,low,66,-0.003249358187,0.52941176,-0.005230448594,0.35294118,-0.10221049,29.56687856,"rerun AVAXUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
BCHUSDT,mean_sum_taker_long_short_vol_ratio,weak_symbol_feature_context,high_mean_only,66,-0.013886190153,0.58823529,-0.012167286721,0.29411765,0.00802840,28.00254350,"rerun BCHUSDT mean_sum_taker_long_short_vol_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
UNIUSDT,mean_count_top_long_short_ratio,weak_symbol_feature_context,high,65,0.002003772502,0.41176471,0.004092885758,0.47058824,0.08876571,27.38703505,"rerun UNIUSDT mean_count_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
XRPUSDT,mean_premium_close,weak_symbol_feature_context,high,66,-0.003177948958,0.35294118,-0.001385418921,0.52941176,0.06754025,26.98787009,"rerun XRPUSDT mean_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
FILUSDT,mean_sum_top_long_short_ratio,weak_symbol_feature_context,high_mean_only,66,0.005627572146,0.52941176,0.007666398025,0.47058824,0.08526297,26.86410640,"rerun FILUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
XRPUSDT,sum_funding_rate,weak_symbol_feature_context,low_mean_only,66,0.000808142224,0.47058824,-0.001155011395,0.52941176,0.06425542,25.68723292,"rerun XRPUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
XRPUSDT,mean_funding_rate,weak_symbol_feature_context,low_mean_only,66,0.000808142224,0.47058824,-0.001155011395,0.52941176,0.06425542,25.68723292,"rerun XRPUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
INJUSDT,oi_value_change,weak_symbol_feature_context,low_mean_only,66,0.004814412660,0.41176471,0.002919287149,0.47058824,0.09669358,25.65571496,"rerun INJUSDT oi_value_change on recent windows, then test funding PnL, fees, spread, and regime split"
UNIUSDT,sum_funding_rate,weak_symbol_feature_context,low_mean_only,65,-0.005885033799,0.35294118,-0.007570826342,0.47058824,0.06557601,24.36062210,"rerun UNIUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
UNIUSDT,mean_funding_rate,weak_symbol_feature_context,low_mean_only,65,-0.005885033799,0.35294118,-0.007570826342,0.47058824,0.06557601,24.36062210,"rerun UNIUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
XRPUSDT,oi_value_change,weak_symbol_feature_context,high,66,-0.004305065049,0.41176471,-0.002716615883,0.52941176,0.08496500,23.82496821,"rerun XRPUSDT oi_value_change on recent windows, then test funding PnL, fees, spread, and regime split"
UNIUSDT,mean_premium_close,weak_symbol_feature_context,low,65,0.000531663209,0.47058824,-0.001110376375,0.41176471,-0.11589258,23.45883567,"rerun UNIUSDT mean_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
SOLUSDT,sum_funding_rate,weak_symbol_feature_context,high,65,0.001327516279,0.41176471,0.002315723382,0.58823529,0.09838661,19.51156792,"rerun SOLUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
SOLUSDT,mean_funding_rate,weak_symbol_feature_context,high,65,0.001327516279,0.41176471,0.002315723382,0.58823529,0.09838661,19.51156791,"rerun SOLUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
ETHUSDT,sum_funding_rate,weak_symbol_feature_context,low,66,-0.001250707451,0.52941176,-0.002548910305,0.41176471,-0.00750544,19.37331371,"rerun ETHUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
ETHUSDT,mean_funding_rate,weak_symbol_feature_context,low,66,-0.001250707451,0.52941176,-0.002548910305,0.41176471,-0.00750544,19.37331371,"rerun ETHUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
ETCUSDT,mean_count_long_short_ratio,weak_symbol_feature_context,low,66,-0.002250659991,0.47058824,-0.003665543546,0.47058824,0.05592201,18.56727579,"rerun ETCUSDT mean_count_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
LINKUSDT,mean_sum_top_long_short_ratio,weak_symbol_feature_context,low,66,-0.003719087953,0.47058824,-0.004986072043,0.41176471,-0.02915529,18.02353493,"rerun LINKUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
DOGEUSDT,mean_sum_top_long_short_ratio,weak_symbol_feature_context,high,66,-0.003918374476,0.47058824,-0.002976558911,0.47058824,0.07865423,14.29124019,"rerun DOGEUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
BNBUSDT,mean_premium_close,weak_symbol_feature_context,high,66,-0.000025010446,0.47058824,0.000630557429,0.58823529,-0.07321879,14.26123100,"rerun BNBUSDT mean_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
ETCUSDT,mean_count_top_long_short_ratio,weak_symbol_feature_context,high,66,-0.002609615172,0.47058824,-0.001692697892,0.47058824,0.05780461,13.62526506,"rerun ETCUSDT mean_count_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
LTCUSDT,mean_sum_taker_long_short_vol_ratio,weak_symbol_feature_context,low,66,-0.009070514166,0.41176471,-0.009453997838,0.23529412,-0.03315967,12.20979480,"rerun LTCUSDT mean_sum_taker_long_short_vol_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
SOLUSDT,mean_premium_close,weak_symbol_feature_context,low_mean_only,65,-0.008523217256,0.35294118,-0.008906670448,0.47058824,0.10302120,12.08613247,"rerun SOLUSDT mean_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
AVAXUSDT,mean_count_long_short_ratio,weak_symbol_feature_context,high_mean_only,66,-0.004577128902,0.47058824,-0.004244036332,0.41176471,-0.02390153,8.57954459,"rerun AVAXUSDT mean_count_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
