symbol,feature,status,preferred_bucket,observations,low_bucket_mean_next_1h_return,low_bucket_hit_rate,high_bucket_mean_next_1h_return,high_bucket_hit_rate,correlation_to_next_1h_return,edge_score,next_step
DOGEUSDT,sum_top_long_short_ratio,intraday_feature_watch,high,4917,-0.000610046963,0.47154472,0.000419463286,0.50325203,0.05271476,119.95653973,"repeat DOGEUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ARBUSDT,count_top_long_short_ratio,intraday_feature_watch,low,4732,0.000450564103,0.52787162,-0.000545411492,0.50887574,-0.03148800,115.79719603,"repeat ARBUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
UNIUSDT,abs_premium_close,intraday_feature_watch,high,4831,-0.000156712760,0.48096026,0.000745196282,0.53559603,0.03588432,107.54766360,"repeat UNIUSDT abs_premium_close 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
UNIUSDT,premium_close,intraday_feature_watch,low,4831,0.000746736389,0.53559603,-0.000151723667,0.48178808,-0.03577088,107.17566162,"repeat UNIUSDT premium_close 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
NEARUSDT,sum_taker_long_short_vol_ratio,intraday_feature_watch,low,4755,0.001012931992,0.54835997,0.000162028597,0.50798991,-0.03516891,102.00481958,"repeat NEARUSDT sum_taker_long_short_vol_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
BCHUSDT,count_long_short_ratio,intraday_feature_watch,low,4928,-0.000196291166,0.44038929,-0.001046513691,0.43262987,-0.05980745,101.45118421,"repeat BCHUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
DOGEUSDT,count_top_long_short_ratio,intraday_feature_watch,low,4917,0.000641366806,0.51951220,-0.000190701969,0.50406504,-0.03791154,99.42852294,"repeat DOGEUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ADAUSDT,count_long_short_ratio,intraday_feature_watch,low,4741,0.000657158817,0.53119730,-0.000135941219,0.48735245,-0.02363484,96.09804603,"repeat ADAUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
DOGEUSDT,premium_close,intraday_feature_watch,low,4917,0.000284746306,0.53170732,-0.000406231186,0.44146341,-0.03306008,87.46626775,"repeat DOGEUSDT premium_close 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
DOGEUSDT,abs_premium_close,intraday_feature_watch,high,4917,-0.000399579573,0.44146341,0.000273557428,0.53089431,0.03212253,85.63907748,"repeat DOGEUSDT abs_premium_close 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ADAUSDT,sum_top_long_short_ratio,intraday_feature_watch,low,4741,0.000256375575,0.51979781,-0.000396350299,0.47554806,-0.04875012,82.57508225,"repeat ADAUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
DOGEUSDT,count_long_short_ratio,intraday_feature_watch,low_mean_only,4917,0.000448800039,0.48780488,-0.000188661357,0.50894309,-0.03842399,80.14876578,"repeat DOGEUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
NEARUSDT,oi_value_change,weak_intraday_feature_context,low,4755,0.000927141772,0.52228764,0.000285505097,0.50462574,-0.00927860,79.87909656,"repeat NEARUSDT oi_value_change 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
NEARUSDT,sum_top_long_short_ratio,weak_intraday_feature_context,low_mean_only,4755,0.000986668932,0.54415475,0.000397637302,0.55508831,-0.02137425,74.65865482,"repeat NEARUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ADAUSDT,premium_close,weak_intraday_feature_context,high,4741,-0.000013074537,0.50421585,0.000548600983,0.54047218,0.03367141,72.92866992,"repeat ADAUSDT premium_close 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ADAUSDT,abs_premium_close,weak_intraday_feature_context,low,4741,0.000542085035,0.53962901,-0.000013074537,0.50421585,-0.03365344,72.25142061,"repeat ADAUSDT abs_premium_close 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
UNIUSDT,sum_taker_long_short_vol_ratio,weak_intraday_feature_context,high,4831,-0.000135413235,0.50662252,0.000351313889,0.51407285,0.01383519,64.17292621,"repeat UNIUSDT sum_taker_long_short_vol_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
