ticket_id,opened_at,checked_at,horizon,checkpoint_status,outcome,asset,venue,decision,side,entry_mark,stop_bps,first_candle_at,last_candle_at,candle_count,max_favorable_bps,max_adverse_bps,close_return_bps,stop_status,evidence,next_step
broad-fill-audit-zro-short-50bps-stop,2026-06-08T20:57:51+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_stop_loss,ZRO,,paper_short,short,0.858370000000,50.00,2026-06-08T20:58:00+00:00,2026-06-08T21:11:59+00:00,14,5.82838892,-65.04704916,-54.57199796,stop_triggered,candles=14; first=2026-06-08T20:58:00+00:00; last=2026-06-08T21:11:59+00:00; entry=0.858370000000,do not promote ZRO short; fresh fill audit hit the stop
broad-fill-audit-zro-short-50bps-stop,2026-06-08T20:57:51+00:00,2026-06-08T22:14:10+00:00,1h,ready,paper_fill_audit_stop_loss,ZRO,,paper_short,short,0.858370000000,50.00,2026-06-08T20:58:00+00:00,2026-06-08T21:56:59+00:00,59,5.82838892,-276.40268700,-47.30709027,stop_triggered,candles=59; first=2026-06-08T20:58:00+00:00; last=2026-06-08T21:56:59+00:00; entry=0.858370000000,do not promote ZRO short; fresh fill audit hit the stop
broad-fill-audit-sui-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_loss,SUI,,paper_long,long,0.767800000000,50.00,2026-06-08T21:17:00+00:00,2026-06-08T21:30:59+00:00,14,2.60484501,-46.49648346,-10.41938005,stop_survived,candles=14; first=2026-06-08T21:17:00+00:00; last=2026-06-08T21:30:59+00:00; entry=0.767800000000,do not promote SUI long; fresh fill audit failed at 15m
broad-fill-audit-sui-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,1h,pending,pending,SUI,,paper_long,long,0.767800000000,50.00,2026-06-08T21:17:00+00:00,2026-06-08T22:13:59+00:00,57,15.62907007,-122.68820005,-109.66397499,stop_triggered,candles=57; first=2026-06-08T21:17:00+00:00; last=2026-06-08T22:13:59+00:00; entry=0.767800000000,wait for 1h fill-audit checkpoint for SUI long
broad-fill-audit-fet-long-50bps-stop,2026-06-08T21:13:17+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_stop_loss,FET,,paper_long,long,0.215370000000,50.00,2026-06-08T21:14:00+00:00,2026-06-08T21:27:59+00:00,14,22.75154385,-86.36300320,-18.57268886,stop_triggered,candles=14; first=2026-06-08T21:14:00+00:00; last=2026-06-08T21:27:59+00:00; entry=0.215370000000,do not promote FET long; fresh fill audit hit the stop
broad-fill-audit-fet-long-50bps-stop,2026-06-08T21:13:17+00:00,2026-06-08T22:14:10+00:00,1h,ready,paper_fill_audit_stop_loss,FET,,paper_long,long,0.215370000000,50.00,2026-06-08T21:14:00+00:00,2026-06-08T22:12:59+00:00,59,22.75154385,-188.97710916,-172.72600641,stop_triggered,candles=59; first=2026-06-08T21:14:00+00:00; last=2026-06-08T22:12:59+00:00; entry=0.215370000000,do not promote FET long; fresh fill audit hit the stop
broad-fill-audit-hype-long-50bps-stop,2026-06-08T20:47:41+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_win,HYPE,,paper_long,long,63.761000000000,50.00,2026-06-08T20:48:00+00:00,2026-06-08T21:01:59+00:00,14,29.95561550,-11.44900488,7.37127711,stop_survived,candles=14; first=2026-06-08T20:48:00+00:00; last=2026-06-08T21:01:59+00:00; entry=63.761000000000,compare HYPE long fill audit against prior broad paper path before promotion
broad-fill-audit-hype-long-50bps-stop,2026-06-08T20:47:41+00:00,2026-06-08T22:14:10+00:00,1h,ready,paper_fill_audit_win,HYPE,,paper_long,long,63.761000000000,50.00,2026-06-08T20:48:00+00:00,2026-06-08T21:46:59+00:00,59,109.62814260,-11.44900488,84.69126896,stop_survived,candles=59; first=2026-06-08T20:48:00+00:00; last=2026-06-08T21:46:59+00:00; entry=63.761000000000,compare HYPE long fill audit against prior broad paper path before promotion
broad-fill-audit-sol-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_loss,SOL,,paper_long,long,67.961000000000,50.00,2026-06-08T21:17:00+00:00,2026-06-08T21:30:59+00:00,14,0.73571607,-41.20010006,-26.48577861,stop_survived,candles=14; first=2026-06-08T21:17:00+00:00; last=2026-06-08T21:30:59+00:00; entry=67.961000000000,do not promote SOL long; fresh fill audit failed at 15m
broad-fill-audit-sol-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,1h,pending,pending,SOL,,paper_long,long,67.961000000000,50.00,2026-06-08T21:17:00+00:00,2026-06-08T22:13:59+00:00,57,0.73571607,-135.51890055,-135.51890055,stop_triggered,candles=57; first=2026-06-08T21:17:00+00:00; last=2026-06-08T22:13:59+00:00; entry=67.961000000000,wait for 1h fill-audit checkpoint for SOL long
broad-fill-audit-allo-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_stop_loss,ALLO,OKX,paper_long,long,0.39914,50.00,2026-06-08T21:17:00+00:00,2026-06-08T21:31:00+00:00,14,200.18038783,-75.16159743,186.90183895,stop_triggered,candles=14; first=2026-06-08T21:17:00+00:00; last=2026-06-08T21:31:00+00:00; entry=0.39914,do not promote ALLO long; fresh fill audit hit the stop
broad-fill-audit-allo-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,1h,pending,pending,ALLO,OKX,paper_long,long,0.39914,50.00,2026-06-08T21:17:00+00:00,2026-06-08T22:14:00+00:00,57,544.92158140,-75.16159743,179.88675653,stop_triggered,candles=57; first=2026-06-08T21:17:00+00:00; last=2026-06-08T22:14:00+00:00; entry=0.39914,wait for 1h fill-audit checkpoint for ALLO long
broad-fill-audit-apt-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_loss,APT,,paper_long,long,0.684600000000,50.00,2026-06-08T21:17:00+00:00,2026-06-08T21:30:59+00:00,14,0.00000000,-45.28191645,-8.76424189,stop_survived,candles=14; first=2026-06-08T21:17:00+00:00; last=2026-06-08T21:30:59+00:00; entry=0.684600000000,do not promote APT long; fresh fill audit failed at 15m
broad-fill-audit-apt-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,1h,pending,pending,APT,,paper_long,long,0.684600000000,50.00,2026-06-08T21:17:00+00:00,2026-06-08T22:13:59+00:00,57,5.84282793,-128.54221443,-128.54221443,stop_triggered,candles=57; first=2026-06-08T21:17:00+00:00; last=2026-06-08T22:13:59+00:00; entry=0.684600000000,wait for 1h fill-audit checkpoint for APT long
