priority,ticket_id,action,asset,opportunity,decision,directional_return_bps,outcome,reason,next_step
50.00000000,broad-paper-xrp-paper-long,wait_for_checkpoint,XRP,seed_wallet_flow:public_live_bot_example_xrp_wallet_flow_actionability,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-sol-paper-short,wait_for_checkpoint,SOL,seed_wallet_flow:public_live_bot_example_sol_wallet_flow_actionability,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-arbusdt-paper-short,wait_for_checkpoint,ARBUSDT,intraday_derivatives:ARBUSDT:count_long_short_ratio:short_opposite,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-arbusdt-paper-long,wait_for_checkpoint,ARBUSDT,intraday_derivatives:ARBUSDT:count_long_short_ratio:long_preferred_short_opposite,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-btc-paper-long,wait_for_checkpoint,BTC,event_pressure:BTC:multi_source_event_pressure,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-deus-paper-long,wait_for_checkpoint,DEUS,event_pressure:DEUS:single_event_context,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-wld-paper-short,wait_for_checkpoint,WLD,event_pressure:WLD:single_event_context,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-pengu-paper-long,wait_for_checkpoint,PENGU,event_pressure:PENGU:single_event_context,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-fet-paper-long,wait_for_checkpoint,FET,market_breadth:FET:long_reversal,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-fartcoin-paper-long,wait_for_checkpoint,FARTCOIN,market_breadth:FARTCOIN:long_reversal,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-ub-paper-long,wait_for_checkpoint,UB,market_breadth:UB:long_reversal,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-siren-paper-short,wait_for_checkpoint,SIREN,market_breadth:SIREN:wait_or_fade_watch,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-eth-option-paper-observe-options-volatility-eth-2026-06-10,wait_for_checkpoint,ETH-OPTION,options_volatility:ETH:2026-06-10,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-eth-option-paper-observe-options-volatility-eth-2026-06-12,wait_for_checkpoint,ETH-OPTION,options_volatility:ETH:2026-06-12,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-eth-option-paper-observe-options-volatility-eth-2026-06-26,wait_for_checkpoint,ETH-OPTION,options_volatility:ETH:2026-06-26,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-eth-option-paper-observe-options-volatility-eth-2026-06-11,wait_for_checkpoint,ETH-OPTION,options_volatility:ETH:2026-06-11,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-eth-option-paper-observe-options-volatility-eth-2026-06-19,wait_for_checkpoint,ETH-OPTION,options_volatility:ETH:2026-06-19,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-btc-option-paper-observe-options-volatility-btc-2026-06-10,wait_for_checkpoint,BTC-OPTION,options_volatility:BTC:2026-06-10,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-btc-option-paper-observe-options-volatility-btc-2026-06-12,wait_for_checkpoint,BTC-OPTION,options_volatility:BTC:2026-06-12,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-btc-option-paper-observe-options-volatility-btc-2026-06-11,wait_for_checkpoint,BTC-OPTION,options_volatility:BTC:2026-06-11,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-arb-paper-long,wait_for_checkpoint,ARB,stablecoin_proxy:stablecoin-flow-arbitrum-arb,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-crv-paper-long,wait_for_checkpoint,CRV,protocol_fee:Curve DEX,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-morpho-paper-long,wait_for_checkpoint,MORPHO,protocol_fee:Morpho Blue,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-event-paper-long-event-probability-1962237-yes,wait_for_checkpoint,EVENT,event_probability:1962237:Yes,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-event-paper-long-event-probability-2296152-yes,wait_for_checkpoint,EVENT,event_probability:2296152:Yes,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-event-paper-long-event-probability-947269-no,wait_for_checkpoint,EVENT,event_probability:947269:No,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
20.78822575,broad-paper-aave-paper-long,deprioritize_or_repeat_once,AAVE,market_breadth:AAVE:long_reversal,paper_long,-4.21177425,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
16.11058433,broad-paper-eth-paper-long,deprioritize_or_repeat_once,ETH,seed_wallet_flow:public_hypertracker_example_eth_wallet_flow_actionability,paper_long,-8.88941567,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
11.74681687,broad-paper-jto-paper-short,deprioritize_or_repeat_once,JTO,market_breadth:JTO:long_momentum_watch,paper_short,-13.25318313,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
3.47222222,broad-paper-xpl-paper-long,deprioritize_or_repeat_once,XPL,market_breadth:XPL:long_reversal,paper_long,-21.52777778,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
-9.97902741,broad-paper-sol-paper-long,deprioritize_or_repeat_once,SOL,lane_repeat:sol_volume_price_dislocation,paper_long,-34.97902741,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
-10.26004282,broad-paper-allo-paper-long,deprioritize_or_repeat_once,ALLO,liquidation_intensity:ALLO:long_liquidation_cascade_watch,paper_long,-35.26004282,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
-15.46989166,broad-paper-hype-paper-short,deprioritize_or_repeat_once,HYPE,seed_wallet_flow:public_hypertracker_example_hype_wallet_flow_actionability,paper_short,-40.46989166,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
-21.92082111,broad-paper-apt-paper-long,deprioritize_or_repeat_once,APT,seed_wallet_flow:public_hypertracker_example_apt_wallet_flow_actionability,paper_long,-46.92082111,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
-57.39812088,broad-paper-bera-paper-long,deprioritize_or_repeat_once,BERA,promotion_frontier:cost_candidate:promoted_repeat:repeat-paper-22-bera-microstructure-flow,paper_long,-82.39812088,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
-63.41894171,broad-paper-near-paper-long,deprioritize_or_repeat_once,NEAR,cost_survival_cross_section:near_paper_long,paper_long,-88.41894171,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
